date,나인티데이즈
2020-03-20,46.75324
2020-03-21,35.71428
2020-03-22,42.85714
2020-03-23,37.66233
2020-03-24,13.63636
2020-03-25,20.12987
2020-03-26,38.96103
2020-03-27,48.70129
2020-03-28,31.16883
2020-03-29,17.53246
2020-03-30,12.98701
2020-03-31,26.62337
2020-04-01,22.72727
2020-04-02,16.23376
2020-04-03,14.93506
2020-04-04,18.18181
2020-04-05,25.97402
2020-04-06,24.67532
2020-04-07,25.32467
2020-04-08,38.96103
2020-04-09,24.02597
2020-04-10,10.38961
2020-04-11,16.23376
2020-04-12,19.48051
2020-04-13,31.16883
2020-04-14,33.76623
2020-04-15,22.07792
2020-04-16,36.36363
2020-04-17,20.12987
2020-04-18,8.44155
2020-04-19,5.1948
2020-04-20,29.87012
2020-04-21,34.41558
2020-04-22,45.45454
2020-04-23,33.76623
2020-04-24,24.02597
2020-04-25,20.12987
2020-04-26,19.48051
2020-04-27,37.01298
2020-04-28,14.28571
2020-04-29,24.67532
2020-04-30,9.0909
2020-05-01,3.8961
2020-05-02,9.0909
2020-05-03,11.68831
2020-05-04,21.42857
2020-05-05,4.54545
2020-05-06,27.27272
2020-05-07,24.67532
2020-05-08,34.41558
2020-05-09,43.50649
2020-05-10,37.01298
2020-05-11,48.70129
2020-05-12,38.31168
2020-05-13,18.18181
2020-05-14,19.48051
2020-05-15,20.12987
2020-05-16,4.54545
2020-05-17,5.84415
2020-05-18,14.28571
2020-05-19,12.98701
2020-05-20,17.53246
2020-05-21,20.77922
2020-05-22,14.28571
2020-05-23,3.8961
2020-05-25,24.67532
2020-05-26,14.93506
2020-05-27,25.32467
2020-05-28,14.28571
2020-05-29,18.83116
2020-05-30,3.24675
2020-06-01,38.96103
2020-06-02,16.88311
2020-06-03,20.77922
2020-06-04,18.83116
2020-06-05,10.38961
2020-06-06,12.98701
2020-06-08,20.77922
2020-06-09,12.98701
2020-06-10,5.84415
2020-06-11,11.68831
2020-06-12,17.53246
2020-06-13,5.1948
2020-06-14,5.1948
2020-06-15,25.97402
2020-06-16,18.18181
2020-06-17,12.98701
2020-06-18,16.23376
2020-06-19,14.93506
2020-06-20,5.1948
2020-06-21,12.33766
2020-06-22,16.88311
2020-06-23,6.4935
2020-06-24,17.53246
2020-06-25,9.0909
2020-06-26,11.68831
2020-06-29,18.18181
2020-06-30,16.23376
2020-07-01,25.97402
2020-07-02,11.68831
2020-07-03,10.38961
2020-07-04,6.4935
2020-07-06,9.0909
2020-07-07,13.63636
2020-07-08,12.33766
2020-07-09,13.63636
2020-07-10,3.8961
2020-07-13,8.44155
2020-07-14,13.63636
2020-07-15,12.98701
2020-07-16,25.97402
2020-07-17,18.18181
2020-07-20,17.53246
2020-07-21,33.76623
2020-07-22,11.03896
2020-07-23,19.48051
2020-07-24,13.63636
2020-07-25,6.4935
2020-07-27,15.58441
2020-07-28,37.01298
2020-07-29,16.88311
2020-07-30,14.28571
2020-07-31,18.83116
2020-08-02,8.44155
2020-08-03,15.58441
2020-08-04,14.28571
2020-08-05,37.66233
2020-08-06,29.22077
2020-08-07,14.28571
2020-08-08,13.63636
2020-08-09,10.38961
2020-08-10,20.12987
2020-08-11,14.93506
2020-08-12,11.68831
2020-08-13,11.68831
2020-08-14,18.83116
2020-08-15,5.84415
2020-08-16,7.7922
2020-08-17,3.8961
2020-08-18,23.37662
2020-08-19,22.07792
2020-08-20,22.72727
2020-08-21,24.02597
2020-08-24,14.28571
2020-08-25,13.63636
2020-08-26,22.72727
2020-08-27,25.32467
2020-08-28,23.37662
2020-08-30,4.54545
2020-08-31,15.58441
2020-09-01,14.28571
2020-09-02,11.03896
2020-09-03,16.23376
2020-09-04,13.63636
2020-09-07,14.93506
2020-09-08,14.93506
2020-09-09,14.93506
2020-09-10,7.14285
2020-09-11,11.68831
2020-09-13,3.24675
2020-09-14,15.58441
2020-09-15,16.23376
2020-09-16,20.77922
2020-09-17,11.03896
2020-09-18,16.88311
2020-09-19,3.8961
2020-09-20,3.24675
2020-09-21,10.38961
2020-09-22,14.93506
2020-09-23,4.54545
2020-09-24,4.54545
2020-09-25,14.93506
2020-09-26,5.84415
2020-09-27,3.8961
2020-09-28,12.98701
2020-09-29,16.23376
2020-10-05,21.42857
2020-10-06,20.12987
2020-10-07,22.07792
2020-10-08,19.48051
2020-10-09,3.24675
2020-10-10,3.24675
2020-10-11,3.24675
2020-10-12,15.58441
2020-10-13,16.23376
2020-10-14,14.28571
2020-10-15,21.42857
2020-10-16,16.88311
2020-10-19,18.18181
2020-10-20,15.58441
2020-10-21,8.44155
2020-10-22,11.68831
2020-10-23,9.74025
2020-10-26,18.83116
2020-10-27,14.93506
2020-10-28,11.03896
2020-10-29,7.7922
2020-10-30,8.44155
2020-11-02,16.88311
2020-11-03,12.33766
2020-11-04,6.4935
2020-11-05,20.12987
2020-11-06,12.33766
2020-11-09,12.33766
2020-11-10,11.68831
2020-11-11,5.84415
2020-11-12,12.33766
2020-11-13,10.38961
2020-11-14,3.8961
2020-11-15,3.24675
2020-11-16,24.02597
2020-11-17,12.98701
2020-11-18,20.77922
2020-11-19,19.48051
2020-11-20,11.68831
2020-11-23,14.93506
2020-11-24,14.28571
2020-11-25,17.53246
2020-11-26,14.28571
2020-11-27,12.98701
2020-11-30,13.63636
2020-12-01,14.93506
2020-12-02,13.63636
2020-12-03,16.23376
2020-12-04,18.83116
2020-12-05,9.74025
2020-12-06,3.8961
2020-12-07,15.58441
2020-12-08,11.03896
2020-12-09,15.58441
2020-12-10,17.53246
2020-12-11,12.33766
2020-12-12,4.54545
2020-12-14,17.53246
2020-12-15,28.57142
2020-12-16,16.23376
2020-12-17,9.0909
2020-12-18,7.14285
2020-12-20,3.8961
2020-12-21,14.28571
2020-12-22,9.0909
2020-12-23,12.98701
2020-12-24,11.68831
2020-12-25,3.8961
2020-12-28,15.58441
2020-12-29,9.74025
2020-12-30,12.98701
2020-12-31,6.4935
2021-01-04,13.63636
2021-01-05,18.83116
2021-01-06,8.44155
2021-01-07,3.8961
2021-01-08,3.24675
2021-01-09,4.54545
2021-01-10,5.84415
2021-01-11,12.33766
2021-01-12,12.98701
2021-01-13,10.38961
2021-01-14,12.33766
2021-01-15,15.58441
2021-01-16,4.54545
2021-01-18,16.88311
2021-01-19,9.74025
2021-01-20,14.93506
2021-01-21,12.33766
2021-01-22,11.68831
2021-01-24,3.8961
2021-01-25,9.74025
2021-01-26,9.74025
2021-01-27,7.14285
2021-01-28,3.24675
2021-01-29,13.63636
2021-02-01,13.63636
2021-02-02,5.84415
2021-02-03,7.14285
2021-02-04,20.77922
2021-02-05,10.38961
2021-02-08,27.92207
2021-02-09,11.03896
2021-02-10,12.33766
2021-02-15,7.14285
2021-02-16,7.14285
2021-02-17,12.33766
2021-02-18,9.74025
2021-02-19,16.23376
2021-02-20,6.4935
2021-02-21,4.54545
2021-02-22,3.8961
2021-02-23,11.03896
2021-02-24,6.4935
2021-02-25,9.74025
2021-02-26,8.44155
2021-02-27,3.8961
2021-02-28,3.8961
2021-03-01,3.8961
2021-03-02,7.14285
2021-03-03,15.58441
2021-03-04,11.03896
2021-03-05,17.53246
2021-03-06,9.74025
2021-03-07,4.54545
2021-03-08,29.87012
2021-03-09,31.16883
2021-03-10,22.07792
2021-03-11,18.18181
2021-03-12,14.93506
2021-03-13,7.14285
2021-03-15,15.58441
2021-03-16,11.03896
2021-03-17,11.03896
2021-03-18,16.23376
2021-03-19,16.88311
2021-03-20,5.1948
2021-03-21,3.8961
2021-03-22,12.98701
2021-03-23,8.44155
2021-03-24,3.8961
2021-03-25,12.98701
2021-03-26,11.03896
2021-03-27,3.24675
2021-03-28,7.7922
2021-03-29,11.03896
2021-03-30,15.58441
2021-03-31,20.77922
2021-04-01,12.98701
2021-04-02,11.03896
2021-04-03,4.54545
2021-04-04,3.24675
2021-04-05,9.0909
2021-04-06,15.58441
2021-04-07,14.93506
2021-04-08,16.23376
2021-04-09,5.1948
2021-04-12,10.38961
2021-04-13,13.63636
2021-04-14,11.03896
2021-04-15,10.38961
2021-04-16,5.1948
2021-04-17,3.24675
2021-04-19,7.7922
2021-04-20,5.1948
2021-04-21,11.03896
2021-04-22,7.14285
2021-04-23,10.38961
2021-04-24,3.24675
2021-04-26,11.03896
2021-04-27,9.74025
2021-04-28,9.0909
2021-04-29,8.44155
2021-04-30,9.74025
2021-05-01,8.44155
2021-05-02,3.24675
2021-05-03,3.24675
2021-05-04,16.88311
2021-05-06,14.93506
2021-05-07,6.4935
2021-05-08,5.84415
2021-05-10,12.98701
2021-05-11,9.74025
2021-05-12,10.38961
2021-05-13,11.68831
2021-05-14,12.33766
2021-05-15,3.8961
2021-05-17,19.48051
2021-05-18,15.58441
2021-05-19,3.24675
2021-05-20,12.98701
2021-05-21,16.23376
2021-05-22,3.24675
2021-05-23,4.54545
2021-05-24,11.68831
2021-05-25,12.98701
2021-05-26,14.28571
2021-05-27,14.28571
2021-05-28,14.93506
2021-05-29,3.24675
2021-05-31,14.28571
2021-06-01,11.03896
2021-06-02,9.0909
