date,기업은행주가
2020-03-20,48.65268
2020-03-21,9.13752
2020-03-22,6.88111
2020-03-23,46.48018
2020-03-24,47.84149
2020-03-25,52.84848
2020-03-26,57.41724
2020-03-27,53.47319
2020-03-28,11.12354
2020-03-29,9.20279
2020-03-30,54.26573
2020-03-31,52.74592
2020-04-01,53.7902
2020-04-02,50.39627
2020-04-03,45.22144
2020-04-04,7.21678
2020-04-05,5.37995
2020-04-06,43.37529
2020-04-07,51.82284
2020-04-08,48.33566
2020-04-09,46.74125
2020-04-10,53.87412
2020-04-11,9.88344
2020-04-12,7.41258
2020-04-13,56.1958
2020-04-14,51.90675
2020-04-15,9.72494
2020-04-16,51.09557
2020-04-17,53.68764
2020-04-18,8.9324
2020-04-19,6.58275
2020-04-20,55.12354
2020-04-21,58.16317
2020-04-22,53.48251
2020-04-23,53.04428
2020-04-24,44.50349
2020-04-25,6.54545
2020-04-26,5.38927
2020-04-27,61.11888
2020-04-28,66.49883
2020-04-29,61.84615
2020-04-30,8.79254
2020-05-01,8.70862
2020-05-02,4.20512
2020-05-03,5.06293
2020-05-04,47.28205
2020-05-05,6.92773
2020-05-06,49.20279
2020-05-07,41.65967
2020-05-08,41.04428
2020-05-09,4.96969
2020-05-10,4.91375
2020-05-11,39.64568
2020-05-12,39.68298
2020-05-13,38.89976
2020-05-14,35.83216
2020-05-15,40.4662
2020-05-16,5.13752
2020-05-17,3.89743
2020-05-18,38.0606
2020-05-19,46.89976
2020-05-20,39.7296
2020-05-21,38.75058
2020-05-22,35.60839
2020-05-23,4.41958
2020-05-24,3.4592
2020-05-25,35.83216
2020-05-26,41.65967
2020-05-27,51.08624
2020-05-28,63.37529
2020-05-29,49.58508
2020-05-30,6.13519
2020-05-31,4.55011
2020-06-01,51.40326
2020-06-02,74.71328
2020-06-03,92.63403
2020-06-04,81.43589
2020-06-05,69.76223
2020-06-06,8.88578
2020-06-07,6.64801
2020-06-08,62.34965
2020-06-09,61.44522
2020-06-10,55.4592
2020-06-11,60.41958
2020-06-12,55.71095
2020-06-13,6.54545
2020-06-14,4.80186
2020-06-15,53.8275
2020-06-16,58.04195
2020-06-17,51.50582
2020-06-18,45.60372
2020-06-19,44.79254
2020-06-20,5.23076
2020-06-21,4.07459
2020-06-22,43.19813
2020-06-23,45.33333
2020-06-24,43.23543
2020-06-25,40.95104
2020-06-26,42.0979
2020-06-27,5.07226
2020-06-28,3.44055
2020-06-29,38.92773
2020-06-30,37.99533
2020-07-01,38.53613
2020-07-02,38.47086
2020-07-03,34.23776
2020-07-04,3.94405
2020-07-05,3.43123
2020-07-06,38.96503
2020-07-07,37.99533
2020-07-08,32.9324
2020-07-09,33.76223
2020-07-10,35.17948
2020-07-11,4.27972
2020-07-12,3.10489
2020-07-13,39.34731
2020-07-14,34.81585
2020-07-15,37.90209
2020-07-16,37.40792
2020-07-17,32.9324
2020-07-18,4.33566
2020-07-19,3.17016
2020-07-20,34.78787
2020-07-21,38.20979
2020-07-22,43.4592
2020-07-23,33.8275
2020-07-24,32.8578
2020-07-25,4.0
2020-07-26,3.61771
2020-07-27,38.36829
2020-07-28,37.40792
2020-07-29,38.30303
2020-07-30,36.27972
2020-07-31,33.24009
2020-08-01,4.25174
2020-08-02,2.993
2020-08-03,32.95104
2020-08-04,36.03729
2020-08-05,34.86247
2020-08-06,39.34731
2020-08-07,34.35897
2020-08-08,4.29836
2020-08-09,3.48717
2020-08-10,38.64801
2020-08-11,50.62004
2020-08-12,51.81351
2020-08-13,47.86013
2020-08-14,38.91841
2020-08-15,4.44755
2020-08-16,3.41258
2020-08-17,7.11421
2020-08-18,35.48717
2020-08-19,35.9254
2020-08-20,37.19347
2020-08-21,37.51048
2020-08-22,3.9627
2020-08-23,3.44055
2020-08-24,33.51048
2020-08-25,34.58275
2020-08-26,33.92074
2020-08-27,32.56876
2020-08-28,32.26107
2020-08-29,3.71095
2020-08-30,4.31701
2020-08-31,30.89976
2020-09-01,33.33333
2020-09-02,32.65268
2020-09-03,34.66666
2020-09-04,30.28438
2020-09-05,4.51282
2020-09-06,3.37529
2020-09-07,31.55244
2020-09-08,34.15384
2020-09-09,31.41258
2020-09-10,30.993
2020-09-11,29.37062
2020-09-12,4.12121
2020-09-13,3.74825
2020-09-14,31.18881
2020-09-15,30.97435
2020-09-16,28.1585
2020-09-17,29.10955
2020-09-18,28.35431
2020-09-19,4.48484
2020-09-20,3.56177
2020-09-21,29.13752
2020-09-22,31.9627
2020-09-23,28.70862
2020-09-24,31.76689
2020-09-25,30.83449
2020-09-26,4.86713
2020-09-27,4.09324
2020-09-28,28.98834
2020-09-29,27.60839
2020-09-30,3.42191
2020-10-01,2.50815
2020-10-02,3.10489
2020-10-03,2.51748
2020-10-04,2.30303
2020-10-05,32.06526
2020-10-06,29.83682
2020-10-07,28.51282
2020-10-08,28.10256
2020-10-09,4.21445
2020-10-10,2.70396
2020-10-11,2.58275
2020-10-12,28.82051
2020-10-13,30.07925
2020-10-14,26.57342
2020-10-15,26.11655
2020-10-16,25.62237
2020-10-17,3.18881
2020-10-18,2.67599
2020-10-19,32.10256
2020-10-20,31.17016
2020-10-21,31.15151
2020-10-22,39.17016
2020-10-23,49.78088
2020-10-24,5.8275
2020-10-25,4.78321
2020-10-26,40.76456
2020-10-27,34.76923
2020-10-28,35.46853
2020-10-29,33.74358
2020-10-30,31.75757
2020-10-31,3.73892
