date,달러인덱스
2020-11-07,3.90243
2020-11-08,2.83771
2020-11-09,8.02063
2020-11-10,9.29643
2020-11-11,8.4803
2020-11-12,8.15666
2020-11-13,6.84803
2020-11-14,3.69136
2020-11-15,2.39212
2020-11-16,6.68386
2020-11-17,7.04502
2020-11-18,7.3499
2020-11-19,8.22701
2020-11-20,6.65572
2020-11-21,3.69606
2020-11-22,2.45309
2020-11-23,5.77861
2020-11-24,6.97467
2020-11-25,7.67354
2020-11-26,7.4484
2020-11-27,6.13977
2020-11-28,3.60694
2020-11-29,2.52345
2020-11-30,5.75046
2020-12-01,6.06472
2020-12-02,7.31707
2020-12-03,9.66697
2020-12-04,10.65196
2020-12-05,5.27673
2020-12-06,3.95872
2020-12-07,8.35834
2020-12-08,8.10037
2020-12-09,8.18011
2020-12-10,7.89868
2020-12-11,7.21857
2020-12-12,3.88367
2020-12-13,3.07692
2020-12-14,6.49155
2020-12-15,7.33114
2020-12-16,7.27485
2020-12-17,8.48499
2020-12-18,11.77767
2020-12-19,5.51125
2020-12-20,4.54502
2020-12-21,10.65196
2020-12-22,12.13414
2020-12-23,10.31894
2020-12-24,7.92682
2020-12-25,4.39962
2020-12-26,3.15666
2020-12-27,3.13789
2020-12-28,6.74015
2020-12-29,7.33583
2020-12-30,8.07223
2020-12-31,6.3227
2021-01-01,4.11819
2021-01-02,3.75703
2021-01-03,4.07129
2021-01-04,9.18386
2021-01-05,9.62476
2021-01-06,9.65759
2021-01-07,9.73733
2021-01-08,9.97654
2021-01-09,5.99437
2021-01-10,4.22138
2021-01-11,14.80769
2021-01-12,18.64915
2021-01-13,14.64352
2021-01-14,11.81519
2021-01-15,11.2711
2021-01-16,7.67823
2021-01-17,5.51594
2021-01-18,14.68105
2021-01-19,13.53658
2021-01-20,10.89587
2021-01-21,11.909
2021-01-22,11.4681
2021-01-23,5.63789
2021-01-24,3.66322
2021-01-25,8.2317
2021-01-26,10.09849
2021-01-27,10.53939
2021-01-28,15.17354
2021-01-29,14.11819
2021-01-30,8.8227
2021-01-31,4.31519
2021-02-01,10.96622
2021-02-02,10.36585
2021-02-03,9.07598
2021-02-04,7.92213
2021-02-05,9.32457
2021-02-06,5.45966
2021-02-07,3.22232
2021-02-08,7.04502
2021-02-09,7.01688
2021-02-10,6.64634
2021-02-11,4.07129
2021-02-12,4.02908
2021-02-13,3.78986
2021-02-14,2.89399
2021-02-15,6.10225
2021-02-16,6.58536
2021-02-17,7.34521
2021-02-18,8.2833
2021-02-19,6.24765
2021-02-20,3.15196
2021-02-21,2.34052
2021-02-22,6.03658
2021-02-23,7.77673
2021-02-24,7.13883
2021-02-25,7.21857
2021-02-26,9.77016
2021-02-27,4.52157
2021-02-28,2.59849
2021-03-01,5.55347
2021-03-02,7.50938
2021-03-03,7.15759
2021-03-04,6.70262
2021-03-05,8.34896
2021-03-06,3.93058
2021-03-07,2.48592
2021-03-08,8.40994
2021-03-09,9.74671
2021-03-10,8.6257
2021-03-11,7.37335
2021-03-12,6.45872
2021-03-13,3.50844
2021-03-14,2.19512
2021-03-15,4.89212
2021-03-16,4.80769
2021-03-17,5.0469
2021-03-18,6.53846
2021-03-19,5.81144
2021-03-20,3.00187
2021-03-21,1.68855
2021-03-22,4.40431
2021-03-23,4.69512
2021-03-24,5.82551
2021-03-25,5.60037
2021-03-26,6.21013
2021-03-27,2.92682
2021-03-28,1.9606
2021-03-29,5.17823
2021-03-30,6.77298
2021-03-31,7.42495
2021-04-01,6.60881
2021-04-02,5.80675
2021-04-03,2.51407
2021-04-04,1.72607
2021-04-05,5.20168
2021-04-06,6.24296
2021-04-07,6.68855
2021-04-08,6.2242
2021-04-09,6.75891
2021-04-10,2.80487
2021-04-11,1.62288
2021-04-12,5.46904
2021-04-13,6.64634
2021-04-14,7.29362
2021-04-15,7.10131
2021-04-16,6.3696
2021-04-17,2.38742
2021-04-18,1.69793
2021-04-19,5.95215
2021-04-20,7.85647
2021-04-21,8.63039
2021-04-22,7.92213
2021-04-23,7.38742
2021-04-24,2.93621
2021-04-25,1.85272
2021-04-26,6.6651
2021-04-27,8.02063
2021-04-28,7.15759
2021-04-29,8.04878
2021-04-30,7.59849
2021-05-01,3.59287
2021-05-02,2.33583
2021-05-03,7.91275
2021-05-04,9.06191
2021-05-05,6.94652
2021-05-06,9.56378
2021-05-07,8.83208
2021-05-08,4.64352
2021-05-09,2.4484
2021-05-10,10.72701
2021-05-11,11.46341
2021-05-12,11.50093
2021-05-13,12.57504
2021-05-14,9.29174
2021-05-15,3.85084
2021-05-16,2.19981
2021-05-17,10.2908
2021-05-18,12.71575
2021-05-19,11.01313
2021-05-20,12.9878
2021-05-21,11.52908
2021-05-22,5.25797
2021-05-23,2.96904
2021-05-24,9.91557
2021-05-25,11.94183
2021-05-26,14.04784
2021-05-27,14.22607
2021-05-28,11.60881
2021-05-29,4.76547
2021-05-30,2.67823
2021-05-31,10.43621
2021-06-01,12.4484
2021-06-02,11.7636
2021-06-03,11.712
2021-06-04,11.94652
2021-06-05,4.70919
2021-06-06,2.35928
2021-06-07,10.69418
2021-06-08,11.2711
2021-06-09,11.37429
2021-06-10,11.14915
2021-06-11,9.98592
2021-06-12,4.35741
2021-06-13,2.12945
2021-06-14,9.58724
2021-06-15,9.58255
2021-06-16,9.45121
2021-06-17,16.48217
2021-06-18,16.36491
2021-06-19,7.66885
2021-06-20,4.09005
2021-06-21,15.54409
2021-06-22,15.5347
2021-06-23,15.54878
2021-06-24,13.05816
2021-06-25,11.02251
2021-06-26,4.63883
2021-06-27,2.61726
2021-06-28,9.15572
2021-06-29,11.07879
2021-06-30,11.79643
2021-07-01,12.26078
2021-07-02,11.98405
2021-07-03,4.98123
2021-07-04,2.57973
2021-07-05,9.20731
2021-07-06,10.22045
2021-07-07,12.93151
2021-07-08,16.79643
2021-07-09,15.56754
2021-07-10,5.72701
2021-07-11,2.96435
2021-07-12,11.49155
2021-07-13,13.25046
2021-07-14,14.22607
2021-07-15,14.12288
2021-07-16,12.35459
2021-07-17,4.82176
2021-07-18,2.36397
2021-07-19,12.55628
2021-07-20,16.04596
2021-07-21,15.61913
2021-07-22,15.18761
2021-07-23,13.12382
2021-07-24,4.85928
2021-07-25,2.31707
2021-07-26,10.90056
2021-07-27,13.66791
2021-07-28,13.90712
2021-07-29,13.59287
2021-07-30,12.87992
2021-07-31,4.69981
2021-08-01,2.37804
2021-08-02,9.98123
2021-08-03,12.3499
2021-08-04,11.98405
2021-08-05,12.35459
2021-08-06,11.20544
2021-08-07,5.1454
2021-08-08,2.6454
2021-08-09,12.27016
2021-08-10,14.64821
2021-08-11,16.41181
2021-08-12,16.77298
2021-08-13,17.93621
2021-08-14,6.73545
2021-08-15,3.32082
2021-08-16,11.28048
2021-08-17,19.72326
2021-08-18,18.45684
2021-08-19,19.80769
2021-08-20,19.62007
2021-08-21,7.22795
2021-08-22,3.5741
2021-08-23,14.24015
2021-08-24,16.4212
2021-08-25,15.90056
2021-08-26,15.2908
2021-08-27,15.24859
2021-08-28,7.17636
2021-08-29,3.37242
2021-08-30,12.29831
2021-08-31,14.48405
2021-09-01,14.29174
2021-09-02,14.14634
2021-09-03,13.03001
2021-09-04,5.17823
2021-09-05,2.85178
2021-09-06,10.29549
2021-09-07,12.78611
2021-09-08,14.65759
2021-09-09,15.52063
2021-09-10,12.91275
2021-09-11,5.30956
2021-09-12,2.60787
2021-09-13,12.31707
