date,패시브인컴
2020-03-20,0.96923
2020-03-21,0.63211
2020-03-22,0.75853
2020-03-23,0.33712
2020-03-24,0.54782
2020-03-25,0.75853
2020-03-26,0.29498
2020-03-27,0.58997
2020-03-28,1.01137
2020-03-29,0.50568
2020-03-30,1.01137
2020-03-31,0.50568
2020-04-01,0.25284
2020-04-02,0.80067
2020-04-03,0.71639
2020-04-04,0.54782
2020-04-05,0.46354
2020-04-06,0.84281
2020-04-07,1.1378
2020-04-08,1.01137
2020-04-09,0.75853
2020-04-10,0.88495
2020-04-11,0.67425
2020-04-12,1.30636
2020-04-13,1.30636
2020-04-14,0.88495
2020-04-15,0.58997
2020-04-16,0.84281
2020-04-17,0.88495
2020-04-18,0.54782
2020-04-19,1.47492
2020-04-20,1.85419
2020-04-21,3.4134
2020-04-22,3.87694
2020-04-23,5.94184
2020-04-24,3.32911
2020-04-25,2.61272
2020-04-26,2.82343
2020-04-27,3.8348
2020-04-28,2.94985
2020-04-29,3.53982
2020-04-30,2.86557
2020-05-01,3.70838
2020-05-02,2.73914
2020-05-03,2.94985
2020-05-04,10.87231
2020-05-05,6.53181
2020-05-06,5.39401
2020-05-07,3.49768
2020-05-08,3.20269
2020-05-09,3.6241
2020-05-10,7.50105
2020-05-11,5.73114
2020-05-12,4.84618
2020-05-13,3.20269
2020-05-14,3.11841
2020-05-15,2.4863
2020-05-16,2.697
2020-05-17,2.31774
2020-05-18,4.34049
2020-05-19,4.5512
2020-05-20,4.12979
2020-05-21,3.58196
2020-05-22,5.26759
2020-05-23,2.90771
2020-05-24,2.78128
2020-05-25,3.4134
2020-05-26,4.12979
2020-05-27,2.94985
2020-05-28,3.4134
2020-05-29,2.44416
2020-05-30,1.47492
2020-05-31,2.78128
2020-06-01,4.9726
2020-06-02,2.99199
2020-06-03,3.53982
2020-06-04,3.75052
2020-06-05,2.99199
2020-06-06,1.98061
2020-06-07,1.68563
2020-06-08,3.16055
2020-06-09,3.07627
2020-06-10,1.98061
2020-06-11,1.81205
2020-06-12,2.14917
2020-06-13,3.28697
2020-06-14,8.63885
2020-06-15,3.6241
2020-06-16,3.03413
2020-06-17,4.34049
2020-06-18,3.03413
2020-06-19,2.44416
2020-06-20,2.44416
2020-06-21,1.93847
2020-06-22,2.52844
2020-06-23,2.94985
2020-06-24,2.86557
2020-06-25,3.37126
2020-06-26,2.52844
2020-06-27,2.10703
2020-06-28,2.19131
2020-06-29,2.57058
2020-06-30,2.82343
2020-07-01,2.73914
2020-07-02,2.19131
2020-07-03,2.31774
2020-07-04,1.5592
2020-07-05,2.73914
2020-07-06,3.07627
2020-07-07,2.19131
2020-07-08,2.52844
2020-07-09,2.94985
2020-07-10,2.10703
2020-07-11,1.81205
2020-07-12,2.10703
2020-07-13,3.24483
2020-07-14,5.30973
2020-07-15,3.70838
2020-07-16,3.20269
2020-07-17,3.16055
2020-07-18,2.14917
2020-07-19,3.49768
2020-07-20,3.58196
2020-07-21,4.21407
2020-07-22,2.99199
2020-07-23,3.24483
2020-07-24,3.28697
2020-07-25,2.2756
2020-07-26,2.90771
2020-07-27,3.20269
2020-07-28,2.23345
2020-07-29,2.73914
2020-07-30,2.19131
2020-07-31,1.72777
2020-08-01,1.43278
2020-08-02,1.81205
2020-08-03,2.44416
2020-08-04,2.14917
2020-08-05,1.76991
2020-08-06,1.89633
2020-08-07,2.40202
2020-08-08,2.14917
2020-08-09,1.98061
2020-08-10,2.78128
2020-08-11,2.73914
2020-08-12,2.40202
2020-08-13,2.99199
2020-08-14,2.19131
2020-08-15,1.72777
2020-08-16,1.72777
2020-08-17,2.23345
2020-08-18,2.10703
2020-08-19,1.93847
2020-08-20,1.64348
2020-08-21,2.2756
2020-08-22,1.1378
2020-08-23,1.3485
2020-08-24,2.06489
2020-08-25,1.76991
2020-08-26,2.40202
2020-08-27,1.64348
2020-08-28,2.02275
2020-08-29,2.697
2020-08-30,3.70838
2020-08-31,3.03413
2020-09-01,2.57058
2020-09-02,3.07627
2020-09-03,3.20269
2020-09-04,2.94985
2020-09-05,2.19131
2020-09-06,2.14917
2020-09-07,2.697
2020-09-08,2.57058
2020-09-09,2.19131
2020-09-10,2.86557
2020-09-11,2.78128
2020-09-12,1.98061
2020-09-13,2.65486
2020-09-14,2.14917
2020-09-15,3.28697
2020-09-16,2.14917
2020-09-17,3.11841
2020-09-18,1.81205
2020-09-19,1.5592
2020-09-20,1.72777
2020-09-21,2.2756
2020-09-22,2.31774
2020-09-23,2.31774
2020-09-24,2.35988
2020-09-25,2.06489
2020-09-26,1.76991
2020-09-27,2.02275
2020-09-28,2.44416
2020-09-29,1.76991
2020-09-30,1.43278
2020-10-01,1.89633
2020-10-02,1.60134
2020-10-03,1.89633
2020-10-04,2.23345
2020-10-05,2.14917
2020-10-06,2.10703
2020-10-07,2.14917
2020-10-08,2.23345
2020-10-09,1.68563
2020-10-10,1.68563
2020-10-11,2.06489
2020-10-12,2.19131
2020-10-13,1.76991
2020-10-14,1.43278
2020-10-15,1.43278
2020-10-16,1.09565
2020-10-17,1.30636
2020-10-18,1.39064
2020-10-19,2.61272
2020-10-20,1.89633
2020-10-21,1.76991
2020-10-22,1.17994
2020-10-23,1.60134
2020-10-24,1.85419
2020-10-25,1.76991
2020-10-26,2.31774
2020-10-27,1.98061
2020-10-28,2.2756
2020-10-29,1.85419
2020-10-30,1.81205
2020-10-31,1.3485
2020-11-01,2.06489
2020-11-02,2.94985
2020-11-03,2.31774
2020-11-04,2.10703
2020-11-05,1.22208
2020-11-06,1.22208
2020-11-07,1.01137
2020-11-08,1.47492
2020-11-09,1.81205
2020-11-10,1.81205
2020-11-11,3.58196
2020-11-12,4.63548
2020-11-13,2.697
2020-11-14,3.37126
2020-11-15,4.08765
2020-11-16,2.65486
2020-11-17,3.58196
2020-11-18,2.86557
2020-11-19,2.61272
2020-11-20,1.89633
2020-11-21,2.02275
2020-11-22,1.68563
2020-11-23,3.32911
2020-11-24,2.86557
2020-11-25,2.73914
2020-11-26,3.07627
2020-11-27,2.697
2020-11-28,2.06489
2020-11-29,2.06489
2020-11-30,3.03413
2020-12-01,2.2756
2020-12-02,1.98061
2020-12-03,3.03413
2020-12-04,2.78128
2020-12-05,2.82343
2020-12-06,2.2756
2020-12-07,2.94985
2020-12-08,3.16055
2020-12-09,3.45554
2020-12-10,3.6241
2020-12-11,2.82343
2020-12-12,1.98061
2020-12-13,2.40202
2020-12-14,4.04551
2020-12-15,3.70838
2020-12-16,3.53982
2020-12-17,3.16055
2020-12-18,2.31774
2020-12-19,2.4863
2020-12-20,3.37126
2020-12-21,3.45554
2020-12-22,4.5512
2020-12-23,2.697
2020-12-24,2.78128
2020-12-25,2.44416
2020-12-26,1.51706
2020-12-27,2.06489
2020-12-28,2.02275
2020-12-29,2.2756
2020-12-30,3.32911
2020-12-31,3.16055
2021-01-01,3.32911
2021-01-02,3.45554
2021-01-03,4.7619
2021-01-04,5.60471
2021-01-05,100.0
2021-01-06,23.93594
2021-01-07,10.11378
2021-01-08,7.45891
2021-01-09,5.01474
2021-01-10,4.67762
2021-01-11,7.41677
2021-01-12,4.25621
2021-01-13,4.12979
2021-01-14,4.00337
2021-01-15,4.42477
2021-01-16,2.94985
2021-01-17,3.28697
2021-01-18,3.20269
2021-01-19,3.75052
2021-01-20,3.6241
2021-01-21,3.4134
2021-01-22,3.28697
2021-01-23,3.53982
2021-01-24,2.61272
2021-01-25,2.73914
2021-01-26,3.07627
2021-01-27,3.11841
2021-01-28,3.75052
2021-01-29,2.40202
2021-01-30,2.35988
2021-01-31,2.61272
2021-02-01,2.73914
2021-02-02,3.70838
2021-02-03,2.86557
2021-02-04,3.75052
2021-02-05,2.44416
2021-02-06,2.23345
2021-02-07,2.99199
2021-02-08,2.86557
2021-02-09,3.79266
2021-02-10,2.73914
2021-02-11,1.76991
2021-02-12,1.68563
2021-02-13,3.24483
2021-02-14,3.4134
2021-02-15,4.04551
2021-02-16,3.79266
2021-02-17,4.21407
2021-02-18,3.8348
2021-02-19,2.40202
2021-02-20,3.07627
2021-02-21,2.4863
2021-02-22,4.00337
2021-02-23,3.32911
2021-02-24,5.39401
2021-02-25,3.32911
2021-02-26,2.78128
2021-02-27,2.94985
2021-02-28,2.90771
2021-03-01,3.45554
2021-03-02,3.16055
2021-03-03,3.37126
2021-03-04,3.45554
2021-03-05,3.58196
2021-03-06,3.07627
2021-03-07,3.58196
2021-03-08,4.67762
2021-03-09,3.58196
2021-03-10,3.45554
2021-03-11,3.49768
2021-03-12,3.28697
2021-03-13,2.44416
2021-03-14,2.99199
2021-03-15,3.45554
2021-03-16,2.82343
2021-03-17,3.66624
2021-03-18,2.86557
2021-03-19,2.697
2021-03-20,2.10703
2021-03-21,3.03413
2021-03-22,2.78128
2021-03-23,2.78128
2021-03-24,3.49768
2021-03-25,2.44416
2021-03-26,2.4863
2021-03-27,2.10703
2021-03-28,2.57058
2021-03-29,3.07627
2021-03-30,2.99199
2021-03-31,2.65486
2021-04-01,2.65486
2021-04-02,2.61272
2021-04-03,2.65486
2021-04-04,2.2756
2021-04-05,3.37126
2021-04-06,2.73914
2021-04-07,2.78128
2021-04-08,2.86557
2021-04-09,2.90771
2021-04-10,2.65486
2021-04-11,2.40202
2021-04-12,3.28697
2021-04-13,3.58196
2021-04-14,2.90771
2021-04-15,4.59334
2021-04-16,3.70838
2021-04-17,2.61272
2021-04-18,3.20269
2021-04-19,3.58196
2021-04-20,2.35988
2021-04-21,2.65486
2021-04-22,2.78128
2021-04-23,2.4863
2021-04-24,2.73914
