date,새마을금고예금
2020-03-20,8.42598
2020-03-21,4.38853
2020-03-22,4.00819
2020-03-23,8.7478
2020-03-24,8.48449
2020-03-25,9.04037
2020-03-26,8.7478
2020-03-27,7.51901
2020-03-28,4.21299
2020-03-29,4.30076
2020-03-30,11.05909
2020-03-31,10.21064
2020-04-01,8.36746
2020-04-02,7.43124
2020-04-03,5.61732
2020-04-04,2.80866
2020-04-05,3.07197
2020-04-06,7.22644
2020-04-07,6.58279
2020-04-08,5.90988
2020-04-09,6.20245
2020-04-10,6.49502
2020-04-11,3.07197
2020-04-12,4.0667
2020-04-13,7.84084
2020-04-14,7.60678
2020-04-15,2.89643
2020-04-16,8.30895
2020-04-17,6.1732
2020-04-18,2.39906
2020-04-19,3.71562
2020-04-20,9.3622
2020-04-21,7.69455
2020-04-22,6.46576
2020-04-23,7.2557
2020-04-24,6.37799
2020-04-25,2.80866
2020-04-26,4.0667
2020-04-27,7.95787
2020-04-28,6.14394
2020-04-29,6.31948
2020-04-30,3.01345
2020-05-01,3.13048
2020-05-02,2.45757
2020-05-03,4.00819
2020-05-04,8.71854
2020-05-05,3.71562
2020-05-06,6.78759
2020-05-07,4.91515
2020-05-08,5.26623
2020-05-09,2.83791
2020-05-10,4.30076
2020-05-11,8.30895
2020-05-12,8.19192
2020-05-13,7.28496
2020-05-14,7.0509
2020-05-15,5.88063
2020-05-16,3.42305
2020-05-17,4.30076
2020-05-18,8.92334
2020-05-19,8.543
2020-05-20,7.81158
2020-05-21,7.02165
2020-05-22,6.61205
2020-05-23,4.50555
2020-05-24,5.09069
2020-05-25,12.20011
2020-05-26,9.88882
2020-05-27,7.69455
2020-05-28,8.19192
2020-05-29,6.14394
2020-05-30,2.95494
2020-05-31,3.97893
2020-06-01,7.87009
2020-06-02,5.9684
2020-06-03,6.67056
2020-06-04,5.41252
2020-06-05,5.44177
2020-06-06,3.01345
2020-06-07,2.9842
2020-06-08,7.19719
2020-06-09,6.81685
2020-06-10,5.99765
2020-06-11,6.46576
2020-06-12,6.40725
2020-06-13,2.48683
2020-06-14,3.39379
2020-06-15,7.22644
2020-06-16,5.5588
2020-06-17,6.05617
2020-06-18,4.88589
2020-06-19,4.97366
2020-06-20,2.51609
2020-06-21,2.80866
2020-06-22,5.64657
2020-06-23,6.02691
2020-06-24,5.44177
2020-06-25,5.99765
2020-06-26,5.7636
2020-06-27,2.66237
2020-06-28,4.18373
2020-06-29,6.8461
2020-06-30,5.90988
2020-07-01,7.92861
2020-07-02,5.41252
2020-07-03,6.08543
2020-07-04,2.45757
2020-07-05,3.6571
2020-07-06,7.13867
2020-07-07,6.52428
2020-07-08,5.93914
2020-07-09,4.71035
2020-07-10,5.67583
2020-07-11,2.69163
2020-07-12,3.68636
2020-07-13,6.49502
2020-07-14,5.90988
2020-07-15,6.29022
2020-07-16,4.94441
2020-07-17,5.14921
2020-07-18,2.04798
2020-07-19,3.10122
2020-07-20,6.02691
2020-07-21,5.00292
2020-07-22,6.61205
2020-07-23,5.32475
2020-07-24,5.17846
2020-07-25,2.92568
2020-07-26,3.59859
2020-07-27,6.67056
2020-07-28,6.61205
2020-07-29,4.82738
2020-07-30,5.29549
2020-07-31,5.73434
2020-08-01,2.80866
2020-08-02,3.01345
2020-08-03,5.93914
2020-08-04,5.52954
2020-08-05,5.5588
2020-08-06,4.24224
2020-08-07,3.56933
2020-08-08,1.87244
2020-08-09,2.66237
2020-08-10,5.32475
2020-08-11,5.9684
2020-08-12,5.50029
2020-08-13,5.20772
2020-08-14,4.0667
2020-08-15,1.98946
2020-08-16,2.34055
2020-08-17,2.63311
2020-08-18,5.14921
2020-08-19,5.23698
2020-08-20,5.73434
2020-08-21,3.94967
2020-08-22,1.72615
2020-08-23,1.98946
2020-08-24,5.50029
2020-08-25,6.99239
2020-08-26,5.5588
2020-08-27,5.61732
2020-08-28,4.50555
2020-08-29,2.25277
2020-08-30,2.86717
2020-08-31,6.23171
2020-09-01,6.23171
2020-09-02,5.00292
2020-09-03,5.09069
2020-09-04,5.20772
2020-09-05,2.34055
2020-09-06,2.42832
2020-09-07,4.79812
2020-09-08,5.20772
2020-09-09,4.62258
2020-09-10,5.26623
2020-09-11,4.62258
2020-09-12,2.13575
2020-09-13,2.31129
2020-09-14,5.38326
2020-09-15,5.09069
2020-09-16,5.32475
2020-09-17,4.76887
2020-09-18,4.88589
2020-09-19,1.78466
2020-09-20,2.7794
2020-09-21,5.50029
2020-09-22,4.24224
2020-09-23,4.4763
2020-09-24,4.0667
2020-09-25,6.26097
2020-09-26,2.75014
2020-09-27,2.9842
2020-09-28,6.34874
2020-09-29,5.29549
2020-09-30,2.10649
2020-10-01,2.34055
2020-10-02,2.07723
2020-10-03,2.45757
2020-10-04,2.51609
2020-10-05,6.49502
2020-10-06,4.6811
2020-10-07,4.21299
2020-10-08,4.4763
2020-10-09,2.54534
2020-10-10,2.28203
2020-10-11,2.48683
2020-10-12,4.79812
2020-10-13,4.30076
2020-10-14,4.41778
2020-10-15,4.85664
2020-10-16,5.29549
2020-10-17,2.04798
2020-10-18,2.7794
2020-10-19,5.85137
2020-10-20,5.41252
2020-10-21,5.11995
2020-10-22,4.2715
2020-10-23,4.6811
2020-10-24,2.10649
2020-10-25,3.04271
2020-10-26,5.73434
2020-10-27,4.6811
2020-10-28,4.79812
