date,저신용자대출
2020-03-20,48.25796
2020-03-21,21.57153
2020-03-22,16.60489
2020-03-23,45.44106
2020-03-24,77.31653
2020-03-25,54.70719
2020-03-26,43.7361
2020-03-27,37.13862
2020-03-28,13.12083
2020-03-29,11.71237
2020-03-30,36.76797
2020-03-31,35.65604
2020-04-01,35.65604
2020-04-02,28.53965
2020-04-03,22.90585
2020-04-04,8.67309
2020-04-05,9.85915
2020-04-06,41.88287
2020-04-07,34.76649
2020-04-08,29.50333
2020-04-09,30.98591
2020-04-10,34.24759
2020-04-11,13.26908
2020-04-12,12.97257
2020-04-13,39.43661
2020-04-14,36.8421
2020-04-15,16.30837
2020-04-16,39.80726
2020-04-17,34.98888
2020-04-18,17.49444
2020-04-19,13.86212
2020-04-20,39.21423
2020-04-21,32.98739
2020-04-22,31.28243
2020-04-23,33.80281
2020-04-24,29.13269
2020-04-25,11.2676
2020-04-26,12.97257
2020-04-27,33.5063
2020-04-28,34.0252
2020-04-29,28.53965
2020-04-30,12.23128
2020-05-01,12.67605
2020-05-02,9.93328
2020-05-03,9.85915
2020-05-04,29.20681
2020-05-05,16.16011
2020-05-06,32.98739
2020-05-07,28.16901
2020-05-08,25.57449
2020-05-09,12.52779
2020-05-10,13.63973
2020-05-11,35.50778
2020-05-12,33.95107
2020-05-13,32.17197
2020-05-14,29.35507
2020-05-15,27.42772
2020-05-16,10.7487
2020-05-17,12.23128
2020-05-18,36.91623
2020-05-19,29.87398
2020-05-20,28.24314
2020-05-21,24.24017
2020-05-22,21.79392
2020-05-23,9.63676
2020-05-24,10.82283
2020-05-25,33.13565
2020-05-26,25.94514
2020-05-27,24.38843
2020-05-28,23.64714
2020-05-29,20.45959
2020-05-30,6.52335
2020-05-31,7.41289
2020-06-01,25.94514
2020-06-02,20.90437
2020-06-03,20.68198
2020-06-04,18.53224
2020-06-05,17.42031
2020-06-06,6.74573
2020-06-07,9.41438
2020-06-08,25.50037
2020-06-09,21.64566
2020-06-10,18.45811
2020-06-11,20.38547
2020-06-12,15.04818
2020-06-13,6.1527
2020-06-14,6.22683
2020-06-15,23.57301
2020-06-16,19.49592
2020-06-17,18.97702
2020-06-18,19.1994
2020-06-19,18.6805
2020-06-20,7.78354
2020-06-21,7.85767
2020-06-22,25.79688
2020-06-23,24.09191
2020-06-24,21.20088
2020-06-25,19.27353
2020-06-26,18.45811
2020-06-27,6.74573
2020-06-28,9.63676
2020-06-29,20.16308
2020-06-30,22.31282
2020-07-01,21.94217
2020-07-02,21.05263
2020-07-03,15.49295
2020-07-04,6.96812
2020-07-05,7.04225
2020-07-06,22.23869
2020-07-07,17.79095
2020-07-08,17.64269
2020-07-09,15.12231
2020-07-10,15.12231
2020-07-11,9.11786
2020-07-12,11.19347
2020-07-13,20.45959
