date,오늘의주식
2020-03-20,78.41287
2020-03-21,9.54495
2020-03-22,6.93673
2020-03-23,70.69922
2020-03-24,71.14317
2020-03-25,67.2031
2020-03-26,71.14317
2020-03-27,67.81354
2020-03-28,8.65704
2020-03-29,4.77247
2020-03-30,59.26748
2020-03-31,51.22086
2020-04-01,62.93007
2020-04-02,59.87791
2020-04-03,52.60821
2020-04-04,6.82574
2020-04-05,3.66259
2020-04-06,48.33518
2020-04-07,53.66259
2020-04-08,52.49722
2020-04-09,48.05771
2020-04-10,49.16759
2020-04-11,5.49389
2020-04-12,2.83018
2020-04-13,50.61043
2020-04-14,45.94894
2020-04-15,13.37402
2020-04-16,50.27746
2020-04-17,44.06215
2020-04-18,4.05105
2020-04-19,2.27524
2020-04-20,40.34406
2020-04-21,55.3829
2020-04-22,51.10987
2020-04-23,44.56159
2020-04-24,46.44839
2020-04-25,4.27302
2020-04-26,2.55271
2020-04-27,38.06881
2020-04-28,42.56381
2020-04-29,34.68368
2020-04-30,8.1021
2020-05-01,15.31631
2020-05-02,3.38512
2020-05-03,2.21975
2020-05-04,41.17647
2020-05-05,6.3263
2020-05-06,34.79467
2020-05-07,30.46614
2020-05-08,26.47058
2020-05-09,3.49611
2020-05-10,1.72031
2020-05-11,32.51942
2020-05-12,36.3485
2020-05-13,33.96226
2020-05-14,32.6859
2020-05-15,32.63041
2020-05-16,4.21753
2020-05-17,2.38623
2020-05-18,34.40621
2020-05-19,38.23529
2020-05-20,34.96115
2020-05-21,36.40399
2020-05-22,37.12541
2020-05-23,3.77358
2020-05-24,2.55271
2020-05-25,35.34961
2020-05-26,37.29189
2020-05-27,42.56381
2020-05-28,49.38956
2020-05-29,36.90344
2020-05-30,4.93895
2020-05-31,2.27524
2020-06-01,39.28967
2020-06-02,39.0122
2020-06-03,44.11764
2020-06-04,42.34184
2020-06-05,38.79023
2020-06-06,4.27302
2020-06-07,3.44062
2020-06-08,45.22752
2020-06-09,44.22863
2020-06-10,41.7869
2020-06-11,53.32963
2020-06-12,58.93451
2020-06-13,6.82574
2020-06-14,3.27413
2020-06-15,100.0
2020-06-16,67.31409
2020-06-17,62.6526
2020-06-18,49.55604
2020-06-19,45.61598
2020-06-20,5.66037
2020-06-21,3.32963
2020-06-22,42.50832
2020-06-23,47.11431
2020-06-24,41.67591
2020-06-25,54.77247
2020-06-26,39.73362
2020-06-27,7.2697
2020-06-28,3.44062
2020-06-29,51.05438
2020-06-30,39.45615
2020-07-01,42.73029
2020-07-02,34.5172
2020-07-03,37.34739
2020-07-04,5.4384
2020-07-05,2.99667
2020-07-06,40.12208
2020-07-07,43.22974
2020-07-08,39.40066
2020-07-09,38.1798
