date,아파트전세
2020-11-07,54.82728
2020-11-08,63.15323
2020-11-09,74.49069
2020-11-10,66.25332
2020-11-11,67.40478
2020-11-12,63.41895
2020-11-13,60.31886
2020-11-14,51.99291
2020-11-15,62.62178
2020-11-16,72.27635
2020-11-17,64.12754
2020-11-18,70.59344
2020-11-19,80.51372
2020-11-20,58.45881
2020-11-21,54.56155
2020-11-22,54.47298
2020-11-23,71.39061
2020-11-24,62.26749
2020-11-25,57.30735
2020-11-26,60.93888
2020-11-27,51.37289
2020-11-28,53.94154
2020-11-29,56.15589
2020-11-30,72.0992
2020-12-01,63.06465
2020-12-02,61.38175
2020-12-03,61.73604
2020-12-04,56.42161
2020-12-05,52.52435
2020-12-06,56.95305
2020-12-07,71.03631
2020-12-08,68.64481
2020-12-09,59.69884
2020-12-10,55.62444
2020-12-11,51.90434
2020-12-12,51.81576
2020-12-13,52.96722
2020-12-14,63.15323
2020-12-15,63.95039
2020-12-16,61.91319
2020-12-17,57.66164
2020-12-18,55.18157
2020-12-19,55.62444
2020-12-20,54.91585
2020-12-21,65.89902
2020-12-22,58.8131
2020-12-23,54.7387
2020-12-24,47.20992
2020-12-25,43.57838
2020-12-26,50.04428
2020-12-27,59.07883
2020-12-28,66.78476
2020-12-29,58.28166
2020-12-30,57.39592
2020-12-31,42.5155
2021-01-01,45.43844
2021-01-02,54.82728
2021-01-03,61.5589
2021-01-04,72.18777
2021-01-05,68.73339
2021-01-06,62.53321
2021-01-07,58.8131
2021-01-08,55.71302
2021-01-09,65.01328
2021-01-10,71.56775
2021-01-11,84.05668
2021-01-12,71.47918
2021-01-13,71.30203
2021-01-14,72.36492
2021-01-15,62.00177
2021-01-16,62.79893
2021-01-17,71.47918
2021-01-18,78.2108
2021-01-19,75.64216
2021-01-20,65.54472
2021-01-21,71.21346
2021-01-22,69.44198
2021-01-23,68.37909
2021-01-24,73.25066
2021-01-25,84.6767
2021-01-26,73.7821
2021-01-27,73.7821
2021-01-28,67.49335
2021-01-29,59.34455
2021-01-30,70.85916
2021-01-31,74.40212
2021-02-01,75.8193
2021-02-02,71.03631
2021-02-03,69.26483
2021-02-04,70.062
2021-02-05,60.85031
2021-02-06,64.03897
2021-02-07,68.46767
2021-02-08,68.99911
2021-02-09,62.62178
2021-02-10,57.21877
2021-02-11,45.52701
2021-02-12,51.19574
2021-02-13,61.73604
2021-02-14,74.22497
2021-02-15,91.76262
2021-02-16,86.09388
2021-02-17,73.07351
2021-02-18,75.11071
2021-02-19,75.11071
2021-02-20,76.35075
2021-02-21,76.88219
2021-02-22,86.53675
2021-02-23,77.05934
2021-02-24,79.18511
2021-02-25,64.21612
2021-02-26,56.7759
2021-02-27,64.21612
2021-02-28,61.02745
2021-03-01,86.53675
2021-03-02,72.01062
2021-03-03,71.39061
2021-03-04,74.22497
2021-03-05,66.43046
2021-03-06,64.30469
2021-03-07,69.35341
2021-03-08,79.53941
2021-03-09,75.46501
2021-03-10,70.59344
2021-03-11,66.78476
2021-03-12,60.93888
2021-03-13,60.58458
2021-03-14,67.22763
2021-03-15,86.80248
2021-03-16,74.66784
2021-03-17,68.99911
2021-03-18,70.062
2021-03-19,64.21612
2021-03-20,64.92471
2021-03-21,70.68201
2021-03-22,84.76527
2021-03-23,72.18777
2021-03-24,69.44198
2021-03-25,65.01328
2021-03-26,62.71036
2021-03-27,53.58724
2021-03-28,68.11337
2021-03-29,74.49069
2021-03-30,73.07351
2021-03-31,63.86182
2021-04-01,57.48449
2021-04-02,55.97874
2021-04-03,65.36758
2021-04-04,63.15323
2021-04-05,70.77059
2021-04-06,69.35341
2021-04-07,66.60761
2021-04-08,64.03897
2021-04-09,56.51018
2021-04-10,56.51018
2021-04-11,62.88751
2021-04-12,68.99911
2021-04-13,69.26483
2021-04-14,64.92471
2021-04-15,62.62178
2021-04-16,55.18157
2021-04-17,53.94154
2021-04-18,57.57307
2021-04-19,64.74756
2021-04-20,65.98759
2021-04-21,61.11603
2021-04-22,56.59875
2021-04-23,57.30735
2021-04-24,53.94154
2021-04-25,57.83879
2021-04-26,64.83613
2021-04-27,60.58458
2021-04-28,52.52435
2021-04-29,54.11868
2021-04-30,47.20992
2021-05-01,53.58724
2021-05-02,51.46147
2021-05-03,56.95305
2021-05-04,48.53852
2021-05-05,46.76705
2021-05-06,50.93002
2021-05-07,44.64127
2021-05-08,49.42426
2021-05-09,54.82728
2021-05-10,70.59344
2021-05-11,59.34455
2021-05-12,56.68733
2021-05-13,49.06997
2021-05-14,51.37289
2021-05-15,51.46147
2021-05-16,56.15589
2021-05-17,58.28166
2021-05-18,50.39858
2021-05-19,58.63596
2021-05-20,58.72453
2021-05-21,53.49867
2021-05-22,48.44995
2021-05-23,53.94154
2021-05-24,60.14171
2021-05-25,64.21612
2021-05-26,50.84145
2021-05-27,52.43578
2021-05-28,50.31
2021-05-29,55.71302
2021-05-30,56.51018
2021-05-31,74.84499
2021-06-01,64.92471
2021-06-02,58.19309
2021-06-03,57.30735
2021-06-04,58.72453
2021-06-05,51.72719
2021-06-06,53.85296
2021-06-07,68.20194
2021-06-08,60.85031
2021-06-09,55.62444
2021-06-10,54.82728
2021-06-11,52.3472
2021-06-12,48.89282
2021-06-13,47.38706
2021-06-14,60.76173
2021-06-15,58.54738
2021-06-16,53.41009
2021-06-17,52.43578
2021-06-18,46.85562
2021-06-19,52.17006
2021-06-20,54.47298
2021-06-21,57.83879
2021-06-22,58.45881
2021-06-23,61.38175
2021-06-24,51.81576
2021-06-25,45.08414
2021-06-26,52.52435
2021-06-27,53.76439
2021-06-28,62.71036
2021-06-29,53.32152
2021-06-30,54.47298
2021-07-01,50.84145
2021-07-02,47.29849
2021-07-03,44.5527
2021-07-04,50.48715
2021-07-05,63.2418
2021-07-06,61.29317
2021-07-07,52.52435
2021-07-08,50.31
2021-07-09,45.96988
2021-07-10,50.31
2021-07-11,54.20726
2021-07-12,61.11603
2021-07-13,61.82462
2021-07-14,55.62444
2021-07-15,56.06731
2021-07-16,50.04428
2021-07-17,52.17006
2021-07-18,49.33569
2021-07-19,62.00177
2021-07-20,55.44729
2021-07-21,62.71036
2021-07-22,56.33303
2021-07-23,56.33303
2021-07-24,51.37289
2021-07-25,51.90434
2021-07-26,56.68733
2021-07-27,63.06465
2021-07-28,55.62444
2021-07-29,56.86448
2021-07-30,46.94419
2021-07-31,50.22143
2021-08-01,46.05845
2021-08-02,61.64747
2021-08-03,61.11603
2021-08-04,53.85296
2021-08-05,55.71302
2021-08-06,50.13286
2021-08-07,53.41009
2021-08-08,55.53587
2021-08-09,65.01328
2021-08-10,64.57041
2021-08-11,62.97608
2021-08-12,64.57041
2021-08-13,58.01594
2021-08-14,55.80159
2021-08-15,54.29583
2021-08-16,69.17626
2021-08-17,70.77059
2021-08-18,68.0248
2021-08-19,64.30469
2021-08-20,59.78742
2021-08-21,60.05314
2021-08-22,63.06465
2021-08-23,66.87333
2021-08-24,60.49601
2021-08-25,59.25597
2021-08-26,64.12754
2021-08-27,55.62444
2021-08-28,52.87865
2021-08-29,53.76439
2021-08-30,70.85916
2021-08-31,58.28166
2021-09-01,54.29583
2021-09-02,54.29583
2021-09-03,51.19574
2021-09-04,51.46147
2021-09-05,57.92736
2021-09-06,65.98759
2021-09-07,58.45881
2021-09-08,54.20726
2021-09-09,50.6643
2021-09-10,48.71567
2021-09-11,41.45261
2021-09-12,55.62444
2021-09-13,58.72453
2021-09-14,46.67847
2021-09-15,52.79007
2021-09-16,48.00708
2021-09-17,36.66961
2021-09-18,36.0496
2021-09-19,35.60673
2021-09-20,34.36669
2021-09-21,36.49247
2021-09-22,51.28432
2021-09-23,67.40478
2021-09-24,56.86448
2021-09-25,52.96722
2021-09-26,56.42161
2021-09-27,64.30469
2021-09-28,67.75907
2021-09-29,57.75022
2021-09-30,51.90434
2021-10-01,50.57573
2021-10-02,45.96988
