date,절세
2020-03-20,19.52662
2020-03-21,14.00394
2020-03-22,10.65088
2020-03-23,22.4852
2020-03-24,18.73767
2020-03-25,20.31558
2020-03-26,18.14595
2020-03-27,17.55424
2020-03-28,12.03155
2020-03-29,14.20118
2020-03-30,20.11834
2020-03-31,22.68244
2020-04-01,23.07692
2020-04-02,27.81065
2020-04-03,24.26035
2020-04-04,13.41222
2020-04-05,12.62327
2020-04-06,20.71005
2020-04-07,20.90729
2020-04-08,19.52662
2020-04-09,24.45759
2020-04-10,21.49901
2020-04-11,13.41222
2020-04-12,13.21499
2020-04-13,21.49901
2020-04-14,20.51282
2020-04-15,15.38461
2020-04-16,22.68244
2020-04-17,19.52662
2020-04-18,13.21499
2020-04-19,15.38461
2020-04-20,23.4714
2020-04-21,26.42998
2020-04-22,58.38264
2020-04-23,29.78303
2020-04-24,24.65483
2020-04-25,16.17357
2020-04-26,13.60946
2020-04-27,24.26035
2020-04-28,28.79684
2020-04-29,20.90729
2020-04-30,18.93491
2020-05-01,19.52662
2020-05-02,17.15976
2020-05-03,14.39842
2020-05-04,21.89349
2020-05-05,20.31558
2020-05-06,27.41617
2020-05-07,31.95266
2020-05-08,27.81065
2020-05-09,14.99013
2020-05-10,16.3708
2020-05-11,29.58579
2020-05-12,27.81065
2020-05-13,23.86587
2020-05-14,25.0493
2020-05-15,22.09072
2020-05-16,14.59566
2020-05-17,18.73767
2020-05-18,29.98027
2020-05-19,28.40236
2020-05-20,30.57199
2020-05-21,21.49901
2020-05-22,21.30177
2020-05-23,16.17357
2020-05-24,19.9211
2020-05-25,28.20512
2020-05-26,30.37475
2020-05-27,22.68244
2020-05-28,23.66863
2020-05-29,23.27416
2020-05-30,15.97633
2020-05-31,17.15976
2020-06-01,26.42998
2020-06-02,23.27416
2020-06-03,26.42998
2020-06-04,23.07692
2020-06-05,22.4852
2020-06-06,15.38461
2020-06-07,15.58185
2020-06-08,23.66863
2020-06-09,27.41617
2020-06-10,18.14595
2020-06-11,19.52662
2020-06-12,17.15976
2020-06-13,16.96252
2020-06-14,17.357
2020-06-15,22.68244
2020-06-16,23.86587
2020-06-17,21.49901
2020-06-18,23.86587
2020-06-19,20.71005
2020-06-20,15.38461
2020-06-21,19.72386
2020-06-22,23.66863
2020-06-23,21.69625
2020-06-24,19.9211
2020-06-25,26.23274
2020-06-26,19.52662
2020-06-27,16.3708
2020-06-28,16.76528
2020-06-29,23.66863
2020-06-30,23.4714
2020-07-01,16.96252
2020-07-02,18.14595
2020-07-03,14.99013
2020-07-04,33.72781
2020-07-05,28.40236
2020-07-06,23.07692
2020-07-07,27.81065
2020-07-08,33.92504
2020-07-09,31.75542
2020-07-10,22.4852
2020-07-11,19.13214
2020-07-12,15.97633
2020-07-13,24.26035
2020-07-14,22.09072
2020-07-15,24.06311
2020-07-16,21.10453
2020-07-17,18.93491
2020-07-18,14.00394
2020-07-19,26.82445
2020-07-20,29.38856
2020-07-21,22.4852
2020-07-22,37.47534
2020-07-23,33.33333
2020-07-24,28.5996
2020-07-25,23.07692
2020-07-26,17.94871
2020-07-27,32.1499
2020-07-28,22.4852
2020-07-29,21.89349
2020-07-30,23.4714
2020-07-31,19.52662
2020-08-01,14.39842
2020-08-02,12.82051
2020-08-03,16.17357
2020-08-04,21.49901
2020-08-05,17.94871
2020-08-06,16.96252
2020-08-07,18.34319
2020-08-08,16.76528
2020-08-09,14.00394
2020-08-10,18.73767
2020-08-11,23.27416
2020-08-12,21.69625
2020-08-13,19.32938
2020-08-14,16.17357
2020-08-15,11.2426
2020-08-16,10.84812
2020-08-17,13.41222
2020-08-18,15.18737
2020-08-19,28.20512
2020-08-20,22.68244
2020-08-21,17.55424
2020-08-22,13.60946
2020-08-23,17.357
2020-08-24,18.14595
2020-08-25,59.96055
2020-08-26,65.08875
2020-08-27,18.54043
2020-08-28,19.72386
2020-08-29,10.84812
2020-08-30,17.75147
2020-08-31,23.86587
2020-09-01,19.9211
2020-09-02,19.9211
2020-09-03,18.93491
2020-09-04,20.71005
2020-09-05,12.22879
2020-09-06,15.38461
2020-09-07,24.06311
2020-09-08,27.02169
2020-09-09,26.23274
2020-09-10,25.83826
2020-09-11,18.93491
2020-09-12,14.39842
2020-09-13,13.8067
2020-09-14,15.58185
2020-09-15,15.18737
2020-09-16,25.0493
2020-09-17,25.24654
2020-09-18,24.85207
2020-09-19,17.55424
2020-09-20,14.99013
2020-09-21,16.96252
2020-09-22,20.51282
2020-09-23,16.17357
2020-09-24,17.357
2020-09-25,18.14595
2020-09-26,9.86193
2020-09-27,15.18737
2020-09-28,15.97633
2020-09-29,21.30177
2020-09-30,15.58185
2020-10-01,14.20118
2020-10-02,11.83431
2020-10-03,31.1637
2020-10-04,32.34714
2020-10-05,20.71005
2020-10-06,25.24654
2020-10-07,25.64102
2020-10-08,19.52662
2020-10-09,12.82051
2020-10-10,17.15976
2020-10-11,18.54043
2020-10-12,25.24654
2020-10-13,19.72386
2020-10-14,100.0
2020-10-15,39.05325
2020-10-16,21.69625
2020-10-17,17.15976
2020-10-18,21.30177
2020-10-19,24.45759
2020-10-20,15.77909
2020-10-21,21.10453
2020-10-22,20.90729
2020-10-23,21.10453
2020-10-24,14.59566
2020-10-25,14.00394
2020-10-26,24.65483
2020-10-27,22.4852
2020-10-28,24.85207
2020-10-29,23.27416
2020-10-30,20.51282
2020-10-31,13.60946
2020-11-01,18.34319
2020-11-02,19.13214
2020-11-03,21.69625
2020-11-04,16.17357
2020-11-05,21.10453
2020-11-06,18.14595
2020-11-07,12.42603
2020-11-08,19.9211
2020-11-09,17.75147
2020-11-10,20.90729
2020-11-11,20.51282
2020-11-12,17.15976
2020-11-13,17.94871
2020-11-14,14.99013
2020-11-15,18.14595
2020-11-16,20.71005
2020-11-17,22.68244
2020-11-18,19.13214
2020-11-19,21.49901
2020-11-20,22.87968
2020-11-21,20.71005
2020-11-22,18.93491
2020-11-23,26.0355
2020-11-24,26.62721
2020-11-25,23.4714
2020-11-26,25.64102
2020-11-27,24.06311
2020-11-28,14.99013
2020-11-29,15.77909
2020-11-30,25.83826
2020-12-01,24.26035
2020-12-02,29.19132
2020-12-03,21.30177
2020-12-04,21.10453
2020-12-05,13.8067
2020-12-06,22.4852
2020-12-07,24.26035
2020-12-08,31.95266
2020-12-09,36.48915
2020-12-10,24.06311
2020-12-11,20.51282
2020-12-12,20.31558
2020-12-13,19.52662
2020-12-14,22.87968
2020-12-15,24.45759
2020-12-16,25.24654
2020-12-17,23.27416
2020-12-18,21.69625
2020-12-19,16.56804
2020-12-20,20.11834
2020-12-21,22.68244
2020-12-22,30.57199
2020-12-23,24.45759
2020-12-24,19.32938
2020-12-25,14.79289
2020-12-26,15.38461
2020-12-27,18.73767
