date,삼성디스플레이주가
2020-03-20,19.42474
2020-03-21,7.58471
2020-03-22,8.07722
2020-03-23,14.89361
2020-03-24,12.25374
2020-03-25,11.09141
2020-03-26,9.57446
2020-03-27,9.33806
2020-03-28,5.02364
2020-03-29,5.59495
2020-03-30,12.43104
2020-03-31,31.14657
2020-04-01,14.6375
2020-04-02,7.68321
2020-04-03,9.41686
2020-04-04,4.66903
2020-04-05,4.27501
2020-04-06,6.48148
2020-04-07,9.81087
2020-04-08,8.35303
2020-04-09,11.09141
2020-04-10,7.99842
2020-04-11,7.05279
2020-04-12,7.2498
2020-04-13,9.31836
2020-04-14,6.30417
2020-04-15,5.57525
2020-04-16,5.37825
2020-04-17,6.12687
2020-04-18,3.7628
2020-04-19,5.35855
2020-04-20,6.26477
2020-04-21,9.71237
2020-04-22,7.86052
2020-04-23,8.43183
2020-04-24,4.19621
2020-04-25,2.93538
2020-04-26,2.40346
2020-04-27,4.53112
2020-04-28,5.10244
2020-04-29,6.59968
2020-04-30,2.40346
2020-05-01,15.34672
2020-05-02,3.881
2020-05-03,2.30496
2020-05-04,3.13238
2020-05-05,4.47202
2020-05-06,5.77226
2020-05-07,3.8613
2020-05-08,4.11741
2020-05-09,3.25059
2020-05-10,3.27029
2020-05-11,2.63987
2020-05-12,3.32939
2020-05-13,5.37825
2020-05-14,4.41292
2020-05-15,3.05358
2020-05-16,1.98975
2020-05-17,5.39795
2020-05-18,15.22852
2020-05-19,14.97241
2020-05-20,13.69188
2020-05-21,15.54373
2020-05-22,8.62884
2020-05-23,5.18124
2020-05-24,6.81639
2020-05-25,12.37194
2020-05-26,12.47044
2020-05-27,13.29787
2020-05-28,10.7368
2020-05-29,7.93932
2020-05-30,4.11741
2020-05-31,2.73837
2020-06-01,4.43262
2020-06-02,5.75256
2020-06-03,7.2695
2020-06-04,7.3483
2020-06-05,5.73286
2020-06-06,3.23089
2020-06-07,2.89598
2020-06-08,5.26004
2020-06-09,4.88573
2020-06-10,6.00866
2020-06-11,5.18124
2020-06-12,3.881
2020-06-13,2.28526
2020-06-14,1.87155
2020-06-15,3.50669
2020-06-16,3.03388
2020-06-17,3.97951
2020-06-18,4.05831
2020-06-19,3.40819
2020-06-20,2.02915
2020-06-21,1.91095
2020-06-22,2.26556
2020-06-23,2.69897
2020-06-24,3.13238
2020-06-25,3.50669
2020-06-26,3.13238
2020-06-27,1.16233
2020-06-28,1.61544
2020-06-29,2.40346
2020-06-30,2.77777
2020-07-01,6.22537
2020-07-02,4.80693
2020-07-03,3.19148
2020-07-04,2.20646
2020-07-05,1.77304
2020-07-06,3.8416
2020-07-07,4.57052
2020-07-08,8.80614
2020-07-09,5.29944
2020-07-10,5.47675
2020-07-11,4.03861
2020-07-12,4.41292
2020-07-13,6.16627
2020-07-14,29.07801
2020-07-15,21.90701
2020-07-16,8.25453
2020-07-17,10.08668
2020-07-18,6.93459
2020-07-19,11.74152
2020-07-20,10.18518
2020-07-21,10.57919
2020-07-22,7.2498
2020-07-23,6.91489
2020-07-24,6.30417
2020-07-25,4.05831
2020-07-26,4.51142
2020-07-27,5.85106
2020-07-28,12.82505
2020-07-29,9.16075
2020-07-30,7.13159
2020-07-31,6.28447
2020-08-01,5.29944
2020-08-02,3.48699
2020-08-03,5.29944
2020-08-04,5.77226
2020-08-05,7.70291
2020-08-06,7.54531
2020-08-07,8.84554
2020-08-08,7.171
2020-08-09,8.23483
2020-08-10,10.59889
2020-08-11,10.9338
2020-08-12,11.38691
2020-08-13,13.06146
2020-08-14,6.85579
2020-08-15,3.44759
2020-08-16,3.95981
2020-08-17,3.7431
2020-08-18,5.10244
2020-08-19,6.12687
2020-08-20,6.61938
2020-08-21,5.98896
2020-08-22,6.38297
2020-08-23,3.94011
2020-08-24,9.14105
2020-08-25,7.70291
2020-08-26,8.58944
2020-08-27,7.2498
2020-08-28,6.59968
2020-08-29,8.05752
2020-08-30,7.84081
2020-08-31,8.82584
2020-09-01,6.81639
2020-09-02,7.1907
2020-09-03,6.24507
2020-09-04,4.92513
2020-09-05,3.19148
2020-09-06,4.41292
2020-09-07,6.02836
2020-09-08,8.98345
2020-09-09,10.26398
2020-09-10,23.89676
2020-09-11,20.33096
2020-09-12,11.82033
2020-09-13,9.06225
2020-09-14,11.91883
2020-09-15,14.14499
2020-09-16,31.50118
2020-09-17,13.08116
2020-09-18,7.2301
2020-09-19,4.51142
2020-09-20,3.6052
2020-09-21,5.51615
2020-09-22,3.7825
2020-09-23,9.08195
2020-09-24,9.69267
2020-09-25,6.08747
2020-09-26,2.81717
2020-09-27,2.52167
2020-09-28,3.46729
2020-09-29,3.9204
2020-09-30,2.54137
2020-10-01,2.79747
2020-10-02,2.18676
2020-10-03,2.14736
2020-10-04,1.77304
2020-10-05,4.59022
2020-10-06,5.75256
2020-10-07,7.68321
2020-10-08,5.79196
2020-10-09,3.05358
2020-10-10,1.98975
2020-10-11,4.90543
2020-10-12,3.36879
2020-10-13,3.6446
2020-10-14,4.94483
2020-10-15,2.65957
2020-10-16,2.46256
2020-10-17,0.92592
2020-10-18,0.90622
2020-10-19,2.69897
2020-10-20,2.10795
2020-10-21,1.67454
2020-10-22,2.36406
2020-10-23,1.22143
2020-10-24,0.74862
2020-10-25,1.53664
2020-10-26,1.91095
2020-10-27,6.91489
2020-10-28,3.27029
2020-10-29,1.31993
2020-10-30,1.28053
2020-10-31,0.55161
2020-11-01,0.94562
2020-11-02,1.18203
2020-11-03,1.12293
2020-11-04,1.24113
2020-11-05,1.87155
2020-11-06,1.75334
2020-11-07,0.57131
2020-11-08,1.45784
2020-11-09,1.95035
2020-11-10,1.51694
2020-11-11,2.16706
2020-11-12,2.18676
2020-11-13,2.22616
2020-11-14,1.14263
2020-11-15,0.84712
2020-11-16,3.6643
2020-11-17,7.09219
2020-11-18,5.02364
2020-11-19,3.97951
2020-11-20,9.94877
2020-11-21,17.06067
2020-11-22,17.00157
2020-11-23,17.41528
2020-11-24,15.64223
2020-11-25,14.16469
2020-11-26,9.14105
2020-11-27,7.2892
2020-11-28,6.71788
2020-11-29,6.79669
2020-11-30,7.4468
2020-12-01,8.11662
2020-12-02,12.39164
2020-12-03,17.84869
2020-12-04,16.74546
2020-12-05,7.11189
2020-12-06,6.63908
2020-12-07,8.41213
2020-12-08,6.87549
2020-12-09,7.07249
2020-12-10,12.33254
2020-12-11,9.18045
2020-12-12,5.24034
2020-12-13,7.68321
2020-12-14,10.65799
2020-12-15,26.00472
2020-12-16,25.0197
2020-12-17,17.08037
2020-12-18,11.30811
2020-12-19,6.89519
2020-12-20,5.20094
2020-12-21,9.00315
2020-12-22,9.21985
2020-12-23,10.7565
2020-12-24,9.47596
2020-12-25,7.09219
2020-12-26,6.77698
2020-12-27,7.368
2020-12-28,10.9732
2020-12-29,13.77068
2020-12-30,20.62647
2020-12-31,33.19542
2021-01-01,13.15996
2021-01-02,11.91883
2021-01-03,45.86288
2021-01-04,33.41213
2021-01-05,26.95035
2021-01-06,39.00709
2021-01-07,47.75413
2021-01-08,42.69109
2021-01-09,21.39479
2021-01-10,46.19779
2021-01-11,36.87943
2021-01-12,22.95114
2021-01-13,23.71946
2021-01-14,55.96926
2021-01-15,22.22222
2021-01-16,10.7368
2021-01-17,12.31284
2021-01-18,16.01654
2021-01-19,14.65721
2021-01-20,12.86446
2021-01-21,30.71315
2021-01-22,20.84318
2021-01-23,15.18912
2021-01-24,11.17021
2021-01-25,22.79353
2021-01-26,79.39322
2021-01-27,37.96296
2021-01-28,100.0
2021-01-29,32.4665
2021-01-30,22.22222
2021-01-31,19.89755
2021-02-01,23.93617
2021-02-02,33.33333
2021-02-03,31.30417
2021-02-04,23.32545
2021-02-05,22.30102
2021-02-06,14.87391
2021-02-07,19.10953
2021-02-08,13.88888
2021-02-09,17.9472
2021-02-10,27.18676
2021-02-11,13.82978
2021-02-12,11.80063
2021-02-13,10.30338
2021-02-14,10.55949
2021-02-15,17.13947
2021-02-16,34.43656
2021-02-17,25.57131
2021-02-18,14.3814
2021-02-19,11.95823
2021-02-20,14.85421
2021-02-21,21.41449
2021-02-22,22.65563
2021-02-23,12.21434
2021-02-24,12.50985
2021-02-25,22.00551
2021-02-26,20.56737
2021-02-27,11.24901
2021-02-28,18.43971
2021-03-01,24.74389
2021-03-02,14.342
2021-03-03,12.43104
2021-03-04,18.38061
2021-03-05,12.35224
2021-03-06,6.97399
2021-03-07,8.94405
2021-03-08,7.84081
2021-03-09,8.70764
2021-03-10,10.63829
2021-03-11,7.4074
2021-03-12,8.49093
2021-03-13,5.00394
2021-03-14,7.2104
2021-03-15,9.04255
2021-03-16,9.06225
2021-03-17,9.47596
2021-03-18,8.05752
2021-03-19,7.13159
2021-03-20,4.17651
2021-03-21,5.87076
2021-03-22,7.3089
2021-03-23,11.64302
2021-03-24,11.64302
2021-03-25,8.41213
2021-03-26,11.87943
2021-03-27,9.61386
2021-03-28,8.55003
2021-03-29,9.08195
2021-03-30,7.97872
2021-03-31,6.34357
2021-04-01,5.02364
2021-04-02,5.91016
2021-04-03,5.89046
2021-04-04,5.20094
2021-04-05,11.84003
2021-04-06,18.026
2021-04-07,13.39637
2021-04-08,10.04728
2021-04-09,11.50512
2021-04-10,9.02285
2021-04-11,10.53979
2021-04-12,7.91962
2021-04-13,7.09219
2021-04-14,9.29866
2021-04-15,8.72734
2021-04-16,9.47596
2021-04-17,5.59495
2021-04-18,4.41292
2021-04-19,5.55555
2021-04-20,8.03782
2021-04-21,6.85579
2021-04-22,9.06225
2021-04-23,8.60914
2021-04-24,6.48148
2021-04-25,5.57525
2021-04-26,10.50039
2021-04-27,7.52561
2021-04-28,7.88022
2021-04-29,7.4468
2021-04-30,6.42237
2021-05-01,4.31442
2021-05-02,4.43262
2021-05-03,5.06304
2021-05-04,11.60362
2021-05-05,11.07171
2021-05-06,12.07643
2021-05-07,10.42159
2021-05-08,17.43498
2021-05-09,14.18439
2021-05-10,15.58313
2021-05-11,10.63829
2021-05-12,8.92434
2021-05-13,7.07249
2021-05-14,11.28841
2021-05-15,8.90464
2021-05-16,5.06304
2021-05-17,13.88888
2021-05-18,24.52718
2021-05-19,13.19936
2021-05-20,10.57919
2021-05-21,8.53033
2021-05-22,7.91962
2021-05-23,7.2892
2021-05-24,5.81166
2021-05-25,22.00551
2021-05-26,7.3877
2021-05-27,6.89519
2021-05-28,9.37746
2021-05-29,5.59495
2021-05-30,6.73758
2021-05-31,13.98739
2021-06-01,13.98739
2021-06-02,11.15051
2021-06-03,9.47596
2021-06-04,9.02285
2021-06-05,10.36249
2021-06-06,13.47517
2021-06-07,19.28684
2021-06-08,15.01182
2021-06-09,8.55003
2021-06-10,7.84081
2021-06-11,8.13632
2021-06-12,3.684
2021-06-13,5.20094
2021-06-14,6.06776
2021-06-15,6.65878
2021-06-16,10.16548
2021-06-17,10.14578
2021-06-18,7.54531
2021-06-19,4.31442
2021-06-20,5.77226
2021-06-21,35.63829
2021-06-22,28.6249
2021-06-23,16.25295
2021-06-24,13.47517
2021-06-25,10.61859
2021-06-26,9.41686
2021-06-27,13.90858
2021-06-28,11.30811
2021-06-29,26.33963
2021-06-30,20.05516
2021-07-01,10.04728
2021-07-02,6.36327
2021-07-03,3.9007
2021-07-04,3.8416
2021-07-05,8.76674
2021-07-06,14.20409
2021-07-07,8.90464
2021-07-08,7.64381
2021-07-09,5.22064
2021-07-10,4.47202
2021-07-11,2.46256
