date,오늘의상한가
2020-03-20,82.24428
2020-03-21,9.31479
2020-03-22,5.14399
2020-03-23,65.68023
2020-03-24,72.75074
2020-03-25,79.20556
2020-03-26,85.7994
2020-03-27,76.64349
2020-03-28,10.86395
2020-03-29,5.97815
2020-03-30,84.96524
2020-03-31,91.0427
2020-04-01,91.43992
2020-04-02,85.24329
2020-04-03,71.71797
2020-04-04,8.57994
2020-04-05,6.23634
2020-04-06,79.94041
2020-04-07,81.60873
2020-04-08,80.35749
2020-04-09,84.66732
2020-04-10,77.35849
2020-04-11,9.01688
2020-04-12,5.56107
2020-04-13,78.39126
2020-04-14,74.31976
2020-04-15,9.49354
2020-04-16,74.79642
2020-04-17,71.26117
2020-04-18,7.80536
2020-04-19,5.4419
2020-04-20,72.29394
2020-04-21,73.36643
2020-04-22,76.20655
2020-04-23,73.32671
2020-04-24,67.46772
2020-04-25,6.83217
2020-04-26,4.82621
2020-04-27,71.69811
2020-04-28,74.0417
2020-04-29,61.68818
2020-04-30,7.48758
2020-05-01,5.00496
2020-05-02,2.26415
2020-05-03,2.97914
2020-05-04,56.70307
2020-05-05,7.90466
2020-05-06,61.94637
2020-05-07,58.13306
2020-05-08,52.23435
2020-05-09,6.63356
2020-05-10,3.59483
2020-05-11,56.10724
2020-05-12,53.64448
2020-05-13,55.49155
2020-05-14,54.20059
2020-05-15,55.59086
2020-05-16,7.84508
2020-05-17,5.81926
2020-05-18,57.79543
2020-05-19,61.11221
2020-05-20,58.25223
2020-05-21,59.66236
2020-05-22,49.9702
2020-05-23,5.93843
2020-05-24,3.91261
2020-05-25,49.93048
2020-05-26,55.29294
2020-05-27,54.08142
2020-05-28,56.0278
2020-05-29,45.77954
2020-05-30,5.71996
2020-05-31,3.75372
2020-06-01,53.02879
2020-06-02,59.56305
2020-06-03,65.42204
2020-06-04,59.6425
2020-06-05,57.02085
2020-06-06,8.00397
2020-06-07,5.42204
2020-06-08,64.56802
2020-06-09,76.80238
2020-06-10,79.80139
2020-06-11,80.4568
2020-06-12,76.22641
2020-06-13,8.08341
2020-06-14,5.18371
2020-06-15,82.24428
2020-06-16,82.62164
2020-06-17,89.65243
2020-06-18,100.0
2020-06-19,92.11519
2020-06-20,11.40019
2020-06-21,6.83217
2020-06-22,86.65342
2020-06-23,89.43396
2020-06-24,92.35352
2020-06-25,87.32869
2020-06-26,75.31281
2020-06-27,7.98411
2020-06-28,5.26315
2020-06-29,74.59781
2020-06-30,83.87288
2020-07-01,81.21151
2020-07-02,78.31181
2020-07-03,66.99106
2020-07-04,8.10327
2020-07-05,4.46871
2020-07-06,72.86991
2020-07-07,70.48659
2020-07-08,76.10724
2020-07-09,77.73584
2020-07-10,65.93843
2020-07-11,7.5273
2020-07-12,5.00496
2020-07-13,70.70506
2020-07-14,74.65739
2020-07-15,75.51142
2020-07-16,75.1142
2020-07-17,65.68023
2020-07-18,7.428
2020-07-19,4.66732
2020-07-20,67.60675
2020-07-21,81.56901
2020-07-22,87.0705
2020-07-23,93.70407
2020-07-24,87.24925
2020-07-25,10.60575
2020-07-26,6.43495
2020-07-27,83.47567
2020-07-28,81.7279
2020-07-29,77.97418
2020-07-30,77.91459
2020-07-31,68.6991
2020-08-01,10.10923
2020-08-02,5.26315
2020-08-03,75.23336
2020-08-04,86.6137
2020-08-05,90.18867
2020-08-06,86.07745
2020-08-07,81.54915
2020-08-08,10.20854
2020-08-09,6.43495
2020-08-10,77.15988
2020-08-11,84.30983
2020-08-12,84.74677
2020-08-13,91.79741
2020-08-14,78.27209
2020-08-15,8.81827
2020-08-16,4.56802
2020-08-17,8.06355
2020-08-18,80.57596
2020-08-19,76.10724
2020-08-20,97.39821
2020-08-21,84.38927
2020-08-22,10.86395
2020-08-23,5.75968
2020-08-24,78.53028
2020-08-25,91.0427
2020-08-26,97.97418
2020-08-27,97.15988
2020-08-28,81.42999
2020-08-29,10.18867
2020-08-30,7.96425
2020-08-31,83.55511
2020-09-01,84.34955
2020-09-02,85.14399
2020-09-03,87.56703
2020-09-04,82.95928
2020-09-05,12.71102
2020-09-06,7.24925
2020-09-07,95.2135
2020-09-08,89.53326
2020-09-09,86.55412
2020-09-10,83.43594
2020-09-11,76.06752
2020-09-12,10.56603
2020-09-13,7.428
2020-09-14,76.90168
2020-09-15,83.21747
2020-09-16,87.14995
2020-09-17,77.1996
2020-09-18,67.58689
2020-09-19,10.7845
2020-09-20,5.8987
2020-09-21,72.47269
2020-09-22,80.57596
2020-09-23,78.31181
2020-09-24,83.61469
2020-09-25,62.02581
2020-09-26,9.0566
2020-09-27,5.54121
2020-09-28,64.05163
2020-09-29,62.8997
2020-09-30,9.39424
2020-10-01,4.2701
2020-10-02,4.07149
2020-10-03,2.87984
2020-10-04,3.714
2020-10-05,64.50844
2020-10-06,63.91261
2020-10-07,63.97219
2020-10-08,60.75471
2020-10-09,8.79841
2020-10-10,4.48857
2020-10-11,3.51539
2020-10-12,59.62264
2020-10-13,60.01986
2020-10-14,61.41012
2020-10-15,65.32274
2020-10-16,59.10625
2020-10-17,6.79245
2020-10-18,3.67428
2020-10-19,59.98013
2020-10-20,59.54319
2020-10-21,63.13803
2020-10-22,62.34359
2020-10-23,55.09433
2020-10-24,6.37537
2020-10-25,4.42899
2020-10-26,64.11122
2020-10-27,58.33167
2020-10-28,57.31876
2020-10-29,55.09433
2020-10-30,51.51936
2020-10-31,5.68023
2020-11-01,5.0844
2020-11-02,55.01489
2020-11-03,57.02085
2020-11-04,58.76861
2020-11-05,72.59185
2020-11-06,51.77755
2020-11-07,6.81231
2020-11-08,4.03177
2020-11-09,61.03277
2020-11-10,67.30883
2020-11-11,64.01191
2020-11-12,68.04369
2020-11-13,57.97418
2020-11-14,6.85203
2020-11-15,4.94538
