date,전세권설정
2020-11-07,35.45706
2020-11-08,28.67036
2020-11-09,65.92797
2020-11-10,63.29639
2020-11-11,54.77839
2020-11-12,58.10249
2020-11-13,56.02493
2020-11-14,39.88919
2020-11-15,32.82548
2020-11-16,71.74515
2020-11-17,67.24376
2020-11-18,66.82825
2020-11-19,61.8421
2020-11-20,58.03324
2020-11-21,42.93628
2020-11-22,35.1108
2020-11-23,67.93628
2020-11-24,66.34349
2020-11-25,68.4903
2020-11-26,67.17451
2020-11-27,57.27146
2020-11-28,39.68144
2020-11-29,36.7036
2020-11-30,69.32132
2020-12-01,59.55678
2020-12-02,67.31301
2020-12-03,64.68144
2020-12-04,62.81163
2020-12-05,45.98337
2020-12-06,38.36565
2020-12-07,77.07756
2020-12-08,72.92243
2020-12-09,68.69806
2020-12-10,71.88365
2020-12-11,60.59556
2020-12-12,46.53739
2020-12-13,39.75069
2020-12-14,70.42936
2020-12-15,72.29916
2020-12-16,65.65096
2020-12-17,67.65927
2020-12-18,62.18836
2020-12-19,41.96675
2020-12-20,39.75069
2020-12-21,69.94459
2020-12-22,70.0831
2020-12-23,63.4349
2020-12-24,53.18559
2020-12-25,28.39335
2020-12-26,37.11911
2020-12-27,37.88088
2020-12-28,74.72299
2020-12-29,66.55124
2020-12-30,61.56509
2020-12-31,46.32963
2021-01-01,23.5457
2021-01-02,39.54293
2021-01-03,35.52631
2021-01-04,66.41274
2021-01-05,76.93905
2021-01-06,75.20775
2021-01-07,62.88088
2021-01-08,62.74238
2021-01-09,54.01662
2021-01-10,41.27423
2021-01-11,78.94736
2021-01-12,70.01385
2021-01-13,73.89196
2021-01-14,76.80055
2021-01-15,72.29916
2021-01-16,53.32409
2021-01-17,41.55124
2021-01-18,74.03047
2021-01-19,78.25484
2021-01-20,73.19944
2021-01-21,73.4072
2021-01-22,73.5457
2021-01-23,50.0
2021-01-24,41.759
2021-01-25,80.67867
2021-01-26,74.72299
2021-01-27,74.86149
2021-01-28,73.96121
2021-01-29,73.13019
2021-01-30,52.77008
2021-01-31,44.04432
2021-02-01,76.66204
2021-02-02,74.79224
2021-02-03,69.45983
2021-02-04,63.64265
2021-02-05,62.95013
2021-02-06,55.26315
2021-02-07,46.9529
2021-02-08,79.77839
2021-02-09,72.29916
2021-02-10,60.18005
2021-02-11,29.08587
2021-02-12,20.77562
2021-02-13,23.4072
2021-02-14,37.25761
2021-02-15,81.9252
2021-02-16,83.79501
2021-02-17,79.91689
2021-02-18,77.77008
2021-02-19,72.36842
2021-02-20,56.09418
2021-02-21,48.4072
2021-02-22,82.61772
2021-02-23,78.94736
2021-02-24,77.28531
2021-02-25,75.06925
2021-02-26,63.5734
2021-02-27,47.99168
2021-02-28,31.09418
2021-03-01,45.98337
2021-03-02,76.31578
2021-03-03,69.18282
2021-03-04,65.72022
2021-03-05,61.63434
2021-03-06,47.85318
2021-03-07,40.72022
2021-03-08,62.88088
2021-03-09,73.4072
2021-03-10,71.26038
2021-03-11,69.11357
2021-03-12,60.87257
2021-03-13,47.57617
2021-03-14,36.42659
2021-03-15,76.52354
2021-03-16,68.07479
2021-03-17,65.92797
2021-03-18,67.38227
2021-03-19,56.7867
2021-03-20,40.0277
2021-03-21,33.10249
2021-03-22,70.29085
2021-03-23,68.42105
2021-03-24,61.14958
2021-03-25,59.97229
2021-03-26,54.98614
2021-03-27,39.81994
2021-03-28,31.37119
2021-03-29,67.52077
2021-03-30,62.32686
2021-03-31,61.9806
2021-04-01,56.64819
2021-04-02,49.23822
2021-04-03,40.44321
2021-04-04,33.31024
2021-04-05,64.33518
2021-04-06,68.97506
2021-04-07,57.34072
2021-04-08,56.9252
2021-04-09,54.63988
2021-04-10,39.75069
