date,부가세과세표준증명원발급
2020-03-20,15.59808
2020-03-21,2.39234
2020-03-22,2.67942
2020-03-23,26.22009
2020-03-24,32.72727
2020-03-25,39.04306
2020-03-26,35.21531
2020-03-27,27.27272
2020-03-28,6.22009
2020-03-29,7.36842
2020-03-30,30.81339
2020-03-31,33.87559
2020-04-01,40.86124
2020-04-02,46.69856
2020-04-03,39.71291
2020-04-04,8.22966
2020-04-05,13.11004
2020-04-06,74.35406
2020-04-07,57.22488
2020-04-08,52.34449
2020-04-09,41.33971
2020-04-10,33.39712
2020-04-11,5.93301
2020-04-12,6.0287
2020-04-13,45.26315
2020-04-14,38.3732
2020-04-15,7.27272
2020-04-16,32.53588
2020-04-17,27.17703
2020-04-18,2.67942
2020-04-19,5.45454
2020-04-20,33.87559
2020-04-21,29.47368
2020-04-22,30.622
2020-04-23,27.36842
2020-04-24,23.0622
2020-04-25,2.39234
2020-04-26,3.15789
2020-04-27,29.85645
2020-04-28,26.79425
2020-04-29,21.81818
2020-04-30,2.77511
2020-05-01,4.78468
2020-05-02,2.87081
2020-05-03,3.44497
2020-05-04,24.01913
2020-05-05,5.07177
2020-05-06,34.92822
2020-05-07,37.32057
2020-05-08,32.53588
2020-05-09,4.97607
2020-05-10,8.22966
2020-05-11,45.26315
2020-05-12,41.33971
2020-05-13,42.00956
2020-05-14,36.8421
2020-05-15,34.92822
2020-05-16,11.48325
2020-05-17,18.85167
2020-05-18,88.22966
2020-05-19,67.84688
2020-05-20,55.59808
2020-05-21,9.85645
2020-05-22,5.26315
2020-05-23,0.57416
2020-05-25,6.79425
2020-05-26,9.1866
2020-05-27,29.85645
2020-05-28,26.0287
2020-05-29,22.67942
2020-05-30,2.9665
2020-05-31,4.4976
2020-06-01,31.67464
2020-06-02,31.86602
2020-06-03,29.95215
2020-06-04,28.80382
2020-06-05,24.11483
2020-06-06,5.26315
2020-06-07,4.97607
2020-06-08,25.74162
2020-06-09,22.48803
2020-06-10,24.30622
2020-06-11,26.22009
2020-06-12,24.30622
2020-06-13,3.0622
2020-06-14,3.82775
2020-06-15,25.16746
2020-06-16,23.82775
2020-06-17,29.37799
2020-06-18,27.75119
2020-06-19,23.25358
2020-06-20,0.47846
2020-06-21,3.63636
2020-06-22,24.4976
2020-06-23,18.27751
2020-06-24,11.67464
2020-06-25,4.11483
2020-06-26,3.63636
2020-06-27,0.47846
2020-06-28,1.24401
2020-06-29,7.36842
2020-06-30,16.45933
2020-07-01,20.19138
2020-07-02,20.47846
2020-07-03,16.55502
2020-07-04,3.44497
2020-07-05,2.9665
2020-07-06,25.83732
2020-07-07,24.97607
2020-07-08,26.41148
2020-07-09,27.08133
2020-07-10,21.14832
2020-07-11,2.58373
2020-07-12,4.30622
2020-07-13,26.79425
2020-07-14,29.95215
2020-07-15,30.622
2020-07-16,32.34449
