date,나스닥다우지수
2020-03-20,19.50431
2020-03-21,13.79148
2020-03-22,1.62457
2020-03-23,8.69524
2020-03-24,23.36335
2020-03-25,18.66655
2020-03-26,21.80848
2020-03-27,17.02053
2020-03-28,12.77813
2020-03-29,1.63127
2020-03-30,7.30791
2020-03-31,33.18454
2020-04-01,92.15591
2020-04-02,26.68623
2020-04-03,19.86354
2020-04-04,13.47246
2020-04-05,2.30148
2020-04-06,8.88692
2020-04-07,19.03517
2020-04-08,20.97206
2020-04-09,19.43327
2020-04-10,16.83019
2020-04-11,7.5197
2020-04-12,2.06155
2020-04-13,7.69663
2020-04-14,16.9897
2020-04-15,14.23918
2020-04-16,15.91603
2020-04-17,16.53664
2020-04-18,10.35467
2020-04-19,1.94359
2020-04-20,7.18728
2020-04-21,24.85255
2020-04-22,20.07399
2020-04-23,18.1572
2020-04-24,17.02857
2020-04-25,10.56645
2020-04-26,1.77872
2020-04-27,5.54661
2020-04-28,14.91072
2020-04-29,18.76306
2020-04-30,11.26347
2020-05-01,11.20717
2020-05-02,8.79041
2020-05-03,1.83368
2020-05-04,5.42062
2020-05-05,14.21103
2020-05-06,14.98445
2020-05-07,16.49777
2020-05-08,13.11457
2020-05-09,9.15232
2020-05-10,1.80017
2020-05-11,5.69004
2020-05-12,15.64795
2020-05-13,16.96289
2020-05-14,18.14648
2020-05-15,17.55669
2020-05-16,10.60935
2020-05-17,1.84172
2020-05-18,6.50367
2020-05-19,18.13039
2020-05-20,33.80515
2020-05-21,19.67722
2020-05-22,20.06594
2020-05-23,11.45649
2020-05-24,2.18486
2020-05-25,6.45273
2020-05-26,41.53262
2020-05-27,17.34491
2020-05-28,19.8689
2020-05-29,16.95217
2020-05-30,10.14556
2020-05-31,1.96102
2020-06-01,6.15382
2020-06-02,18.83411
2020-06-03,17.73899
2020-06-04,16.61573
2020-06-05,17.25778
2020-06-06,10.26084
2020-06-07,1.68489
2020-06-08,5.81604
2020-06-09,21.60205
2020-06-10,26.44228
2020-06-11,22.04841
2020-06-12,25.33376
2020-06-13,16.95753
2020-06-14,2.27467
2020-06-15,21.02568
2020-06-16,100.0
2020-06-17,26.82295
2020-06-18,25.62597
2020-06-19,20.28041
2020-06-20,12.62532
2020-06-21,2.36716
2020-06-22,7.32802
2020-06-23,20.48951
2020-06-24,23.34325
2020-06-25,27.04814
2020-06-26,50.26674
2020-06-27,17.29531
2020-06-28,2.75052
2020-06-29,17.09827
2020-06-30,51.40743
2020-07-01,28.2907
2020-07-02,30.7718
2020-07-03,22.791
2020-07-04,10.0705
2020-07-05,2.47037
2020-07-06,8.07731
2020-07-07,21.5605
2020-07-08,25.87528
2020-07-09,24.03356
2020-07-10,20.47343
2020-07-11,11.7058
2020-07-12,2.42212
2020-07-13,7.27038
2020-07-14,30.71953
2020-07-15,32.89501
2020-07-16,24.99731
2020-07-17,33.93517
2020-07-18,13.32636
2020-07-19,2.61782
2020-07-20,7.55053
2020-07-21,31.32003
2020-07-22,22.60468
2020-07-23,24.5027
2020-07-24,25.67824
2020-07-25,15.8651
2020-07-26,2.76392
2020-07-27,7.89635
2020-07-28,24.6783
2020-07-29,24.24266
2020-07-30,25.75733
2020-07-31,57.29853
2020-08-01,13.50195
2020-08-02,2.42078
2020-08-03,6.2691
2020-08-04,20.90236
2020-08-05,22.34598
2020-08-06,21.19457
2020-08-07,21.17982
2020-08-08,14.97908
2020-08-09,2.86445
2020-08-10,7.46474
2020-08-11,35.50345
2020-08-12,33.78639
2020-08-13,26.56291
2020-08-14,24.7681
2020-08-15,13.18159
2020-08-16,2.63792
2020-08-17,8.31188
2020-08-18,29.03731
