date,일러스트그림
2020-03-20,58.11688
2020-03-21,50.0
2020-03-22,59.0909
2020-03-23,58.44155
2020-03-24,57.46753
2020-03-25,43.50649
2020-03-26,52.92207
2020-03-27,55.1948
2020-03-28,62.98701
2020-03-29,48.37662
2020-03-30,60.71428
2020-03-31,58.44155
2020-04-01,56.16883
2020-04-02,50.32467
2020-04-03,52.5974
2020-04-04,53.8961
2020-04-05,48.37662
2020-04-06,54.54545
2020-04-07,63.31168
2020-04-08,49.02597
2020-04-09,54.54545
2020-04-10,59.41558
2020-04-11,47.72727
2020-04-12,51.2987
2020-04-13,56.16883
2020-04-14,57.46753
2020-04-15,55.1948
2020-04-16,61.36363
2020-04-17,59.74025
2020-04-18,52.92207
2020-04-19,45.12987
2020-04-20,69.48051
2020-04-21,62.66233
2020-04-22,52.92207
2020-04-23,53.57142
2020-04-24,52.5974
2020-04-25,50.64935
2020-04-26,43.83116
2020-04-27,43.18181
2020-04-28,56.81818
2020-04-29,48.70129
2020-04-30,40.58441
2020-05-01,39.28571
2020-05-02,40.58441
2020-05-03,41.88311
2020-05-04,42.85714
2020-05-05,43.18181
2020-05-06,47.07792
2020-05-07,43.18181
2020-05-08,45.77922
2020-05-09,42.85714
2020-05-10,43.83116
2020-05-11,52.27272
2020-05-12,40.58441
2020-05-13,52.27272
2020-05-14,59.41558
2020-05-15,47.72727
2020-05-16,40.25974
2020-05-17,47.72727
2020-05-18,53.8961
2020-05-19,62.66233
2020-05-20,49.02597
2020-05-21,50.64935
2020-05-22,48.37662
2020-05-23,41.23376
2020-05-24,47.07792
2020-05-25,67.53246
2020-05-26,60.71428
2020-05-27,49.35064
2020-05-28,47.07792
2020-05-29,50.64935
2020-05-30,50.32467
2020-05-31,40.90909
2020-06-01,50.0
2020-06-02,53.8961
2020-06-03,53.24675
2020-06-04,49.35064
2020-06-05,40.90909
2020-06-06,43.83116
2020-06-07,45.12987
2020-06-08,35.71428
2020-06-09,43.18181
2020-06-10,47.07792
2020-06-11,47.40259
2020-06-12,41.23376
2020-06-13,40.90909
2020-06-14,35.38961
2020-06-15,37.66233
2020-06-16,34.41558
2020-06-17,42.85714
2020-06-18,47.72727
2020-06-19,51.94805
2020-06-20,41.55844
2020-06-21,42.53246
2020-06-22,51.2987
2020-06-23,39.61038
2020-06-24,40.25974
2020-06-25,39.93506
2020-06-26,38.63636
2020-06-27,37.66233
2020-06-28,44.80519
2020-06-29,46.42857
2020-06-30,41.23376
2020-07-01,45.12987
2020-07-02,41.55844
2020-07-03,45.12987
2020-07-04,36.68831
2020-07-05,53.24675
2020-07-06,42.20779
2020-07-07,44.80519
2020-07-08,51.2987
2020-07-09,54.54545
2020-07-10,50.32467
2020-07-11,42.20779
2020-07-12,53.24675
2020-07-13,52.27272
2020-07-14,51.94805
2020-07-15,47.72727
2020-07-16,37.66233
2020-07-17,36.68831
2020-07-18,27.5974
2020-07-19,43.83116
2020-07-20,41.23376
2020-07-21,42.85714
2020-07-22,50.64935
2020-07-23,48.37662
2020-07-24,46.42857
2020-07-25,26.62337
2020-07-26,37.01298
2020-07-27,46.42857
2020-07-28,43.83116
2020-07-29,45.12987
2020-07-30,38.63636
2020-07-31,35.06493
2020-08-01,31.81818
2020-08-02,45.12987
2020-08-03,38.96103
2020-08-04,46.42857
2020-08-05,40.90909
2020-08-06,42.20779
2020-08-07,37.66233
2020-08-08,37.33766
2020-08-09,41.88311
2020-08-10,40.25974
2020-08-11,43.50649
2020-08-12,38.31168
2020-08-13,34.0909
2020-08-14,37.01298
2020-08-15,32.14285
2020-08-16,33.76623
2020-08-17,33.76623
2020-08-18,42.53246
2020-08-19,39.93506
2020-08-20,40.58441
2020-08-21,34.41558
2020-08-22,42.85714
2020-08-23,50.64935
2020-08-24,49.35064
2020-08-25,44.80519
2020-08-26,42.53246
2020-08-27,48.05194
2020-08-28,39.93506
2020-08-29,45.77922
2020-08-30,59.74025
2020-08-31,50.97402
2020-09-01,65.58441
2020-09-02,52.5974
2020-09-03,56.4935
2020-09-04,45.12987
2020-09-05,51.62337
2020-09-06,52.92207
2020-09-07,56.4935
2020-09-08,60.38961
2020-09-09,43.83116
2020-09-10,49.02597
2020-09-11,50.0
2020-09-12,54.22077
2020-09-13,54.87012
2020-09-14,46.42857
2020-09-15,54.22077
2020-09-16,52.5974
2020-09-17,52.5974
2020-09-18,48.05194
2020-09-19,41.23376
2020-09-20,51.94805
2020-09-21,55.1948
2020-09-22,41.55844
2020-09-23,42.20779
2020-09-24,42.53246
2020-09-25,44.48051
2020-09-26,42.85714
2020-09-27,33.76623
2020-09-28,41.88311
2020-09-29,31.16883
2020-09-30,36.68831
2020-10-01,29.54545
2020-10-02,33.11688
2020-10-03,33.11688
2020-10-04,36.68831
2020-10-05,35.71428
2020-10-06,38.96103
2020-10-07,40.58441
2020-10-08,39.28571
2020-10-09,33.11688
2020-10-10,37.66233
2020-10-11,44.48051
2020-10-12,46.42857
2020-10-13,40.58441
2020-10-14,34.74025
2020-10-15,34.41558
2020-10-16,36.03896
2020-10-17,43.18181
2020-10-18,33.44155
2020-10-19,31.81818
2020-10-20,46.10389
2020-10-21,34.41558
2020-10-22,38.96103
2020-10-23,29.54545
2020-10-24,34.0909
2020-10-25,36.36363
2020-10-26,37.33766
2020-10-27,44.80519
2020-10-28,36.03896
2020-10-29,39.93506
2020-10-30,38.31168
2020-10-31,39.93506
2020-11-01,43.18181
2020-11-02,36.68831
2020-11-03,41.23376
2020-11-04,44.15584
2020-11-05,35.71428
2020-11-06,37.01298
2020-11-07,39.93506
2020-11-08,39.61038
2020-11-09,45.45454
2020-11-10,45.12987
2020-11-11,43.18181
2020-11-12,63.63636
2020-11-13,53.57142
2020-11-14,47.07792
2020-11-15,57.14285
2020-11-16,59.0909
2020-11-17,56.16883
2020-11-18,54.87012
2020-11-19,56.4935
2020-11-20,52.5974
2020-11-21,45.12987
2020-11-22,48.37662
2020-11-23,50.0
2020-11-24,48.37662
2020-11-25,53.24675
2020-11-26,51.94805
2020-11-27,46.10389
2020-11-28,48.05194
2020-11-29,51.62337
2020-11-30,51.2987
2020-12-01,54.54545
2020-12-02,49.35064
2020-12-03,48.70129
2020-12-04,54.87012
2020-12-05,54.54545
2020-12-06,57.14285
2020-12-07,51.2987
2020-12-08,69.15584
2020-12-09,59.74025
2020-12-10,58.76623
2020-12-11,48.70129
2020-12-12,50.97402
2020-12-13,66.23376
2020-12-14,55.84415
2020-12-15,54.87012
2020-12-16,51.2987
2020-12-17,50.97402
2020-12-18,62.01298
2020-12-19,55.51948
2020-12-20,69.80519
2020-12-21,59.41558
2020-12-22,63.96103
2020-12-23,56.4935
2020-12-24,54.54545
2020-12-25,60.38961
2020-12-26,56.81818
2020-12-27,72.72727
2020-12-28,57.46753
2020-12-29,66.23376
2020-12-30,66.23376
2020-12-31,63.96103
