date,증권
2020-03-20,100.0
2020-03-21,32.84428
2020-03-22,19.77878
2020-03-23,90.13838
2020-03-24,92.12998
2020-03-25,86.05551
2020-03-26,85.28436
2020-03-27,79.77518
2020-03-28,30.2351
2020-03-29,19.96176
2020-03-30,75.49299
2020-03-31,70.03774
2020-04-01,73.98173
2020-04-02,71.36438
2020-04-03,59.06187
2020-04-04,23.231
2020-04-05,16.50138
2020-04-06,60.03234
2020-04-07,65.45983
2020-04-08,61.26913
2020-04-09,58.34953
2020-04-10,57.47381
2020-04-11,20.5581
2020-04-12,13.93304
2020-04-13,54.3941
2020-04-14,50.25405
2020-04-15,25.6915
2020-04-16,52.41884
2020-04-17,53.67033
2020-04-18,19.70526
2020-04-19,16.09619
2020-04-20,50.6429
2020-04-21,65.62484
2020-04-22,58.76942
2020-04-23,52.59692
2020-04-24,48.29022
2020-04-25,17.23495
2020-04-26,14.00656
2020-04-27,45.05203
2020-04-28,47.13839
2020-04-29,42.99018
2020-04-30,19.97157
2020-05-01,22.67714
2020-05-02,14.46893
2020-05-03,11.4562
2020-05-04,45.4033
2020-05-05,20.38492
2020-05-06,43.93124
2020-05-07,41.83998
2020-05-08,37.04151
2020-05-09,14.91822
2020-05-10,11.77806
2020-05-11,39.65722
2020-05-12,41.70274
2020-05-13,41.34984
2020-05-14,42.61113
2020-05-15,39.96928
2020-05-16,14.41828
2020-05-17,11.18499
2020-05-18,37.78652
2020-05-19,43.58815
2020-05-20,40.80415
2020-05-21,41.92657
2020-05-22,40.84336
2020-05-23,14.60127
2020-05-24,11.78786
2020-05-25,39.67356
2020-05-26,45.13372
2020-05-27,41.74522
2020-05-28,45.56341
2020-05-29,37.79959
2020-05-30,14.66825
2020-05-31,10.92848
2020-06-01,37.85187
2020-06-02,39.98562
2020-06-03,45.69411
2020-06-04,45.31671
2020-06-05,39.92843
2020-06-06,15.46555
2020-06-07,12.31721
2020-06-08,40.9855
2020-06-09,43.13885
2020-06-10,41.74685
2020-06-11,44.59784
2020-06-12,56.85624
