date,전고체배터리관련주
2020-03-20,0.09348
2020-03-21,0.08102
2020-03-22,0.08725
2020-03-23,0.07478
2020-03-24,0.09971
2020-03-25,0.07478
2020-03-26,0.16204
2020-03-27,0.15581
2020-03-28,0.09348
2020-03-29,0.16204
2020-03-30,0.11841
2020-03-31,0.16204
2020-04-01,0.11841
2020-04-02,0.61701
2020-04-03,0.43627
2020-04-04,0.24929
2020-04-05,0.14957
2020-04-06,0.15581
2020-04-07,0.25553
2020-04-08,0.31162
2020-04-09,0.93487
2020-04-10,0.74789
2020-04-11,0.40511
2020-04-12,0.52976
2020-04-13,0.32408
2020-04-14,0.37394
2020-04-15,0.44873
2020-04-16,0.82891
2020-04-17,0.36148
2020-04-18,0.73543
2020-04-19,0.96603
2020-04-20,0.40511
2020-04-21,0.38641
2020-04-22,0.36148
2020-04-23,0.25553
2020-04-24,0.18074
2020-04-25,0.2119
2020-04-26,0.27422
2020-04-27,0.11841
2020-04-28,0.14957
2020-04-29,0.18074
2020-04-30,0.2119
2020-05-01,0.11218
2020-05-02,0.22436
2020-05-03,0.15581
2020-05-04,0.09348
2020-05-05,0.26799
2020-05-06,0.49859
2020-05-07,0.38018
2020-05-08,0.26799
2020-05-09,0.18074
2020-05-10,0.2119
2020-05-11,0.57961
2020-05-12,0.36148
2020-05-13,37.27641
2020-05-14,70.98784
2020-05-15,15.01402
2020-05-16,12.48363
2020-05-17,7.84044
2020-05-18,6.22623
2020-05-19,7.34185
2020-05-20,5.36615
2020-05-21,4.44375
2020-05-22,2.97912
2020-05-23,4.05733
2020-05-24,11.40542
2020-05-25,9.97195
2020-05-26,8.1209
2020-05-27,5.70894
2020-05-28,2.96042
2020-05-29,4.71174
2020-05-30,2.98535
2020-05-31,2.97912
2020-06-01,2.22499
2020-06-02,2.12527
2020-06-03,1.93206
2020-06-04,2.51791
2020-06-05,2.66126
2020-06-06,2.42443
2020-06-07,1.72016
2020-06-08,2.21875
2020-06-09,4.04487
2020-06-10,2.41196
2020-06-11,0.91617
2020-06-12,0.57338
2020-06-13,0.55468
2020-06-14,0.51106
2020-06-15,0.34278
2020-06-16,0.2119
2020-06-17,0.4799
2020-06-18,0.46743
2020-06-19,1.16547
2020-06-20,1.32128
2020-06-21,1.65783
2020-06-22,7.6784
2020-06-23,3.65846
2020-06-24,2.18759
2020-06-25,1.48332
2020-06-26,1.29635
2020-06-27,1.1904
2020-06-28,1.19663
2020-06-29,0.93487
2020-06-30,1.25895
2020-07-01,1.96322
2020-07-02,4.16952
2020-07-03,4.38142
2020-07-04,4.42505
2020-07-05,3.89529
2020-07-06,4.96727
2020-07-07,3.79557
2020-07-08,5.5095
2020-07-09,1.85727
2020-07-10,0.69803
2020-07-11,0.67933
2020-07-12,0.73543
2020-07-13,1.21533
2020-07-14,1.30258
2020-07-15,3.27204
2020-07-16,5.06699
2020-07-17,5.15425
2020-07-18,4.98597
2020-07-19,7.33561
2020-07-20,6.40698
2020-07-21,7.37301
2020-07-22,4.39389
2020-07-23,7.47896
2020-07-24,5.50327
2020-07-25,2.39326
2020-07-26,11.81053
2020-07-27,4.05733
2020-07-28,4.86755
2020-07-29,3.51511
2020-07-30,2.95419
2020-07-31,2.56777
2020-08-01,1.421
2020-08-02,1.96946
2020-08-03,4.00124
2020-08-04,2.82954
2020-08-05,2.83577
2020-08-06,2.56154
2020-08-07,3.44032
2020-08-08,5.4908
2020-08-09,5.59052
2020-08-10,6.89311
2020-08-11,4.33779
2020-08-12,5.90838
2020-08-13,5.5282
2020-08-14,4.67435
2020-08-15,3.36553
2020-08-16,2.62387
2020-08-17,4.88625
2020-08-18,4.39389
2020-08-19,3.41539
2020-08-20,2.3995
2020-08-21,2.22499
