date,일시적1가구2주택비과세
2020-03-20,11.40106
2020-03-21,13.39037
2020-03-22,12.49197
2020-03-23,12.70588
2020-03-24,13.13368
2020-03-25,12.59893
2020-03-26,13.06951
2020-03-27,12.02139
2020-03-28,11.1016
2020-03-29,11.63636
2020-03-30,12.29946
2020-03-31,10.07486
2020-04-01,11.01604
2020-04-02,11.70053
2020-04-03,12.10695
2020-04-04,11.25133
2020-04-05,10.2032
2020-04-06,12.81283
2020-04-07,11.80748
2020-04-08,13.3262
2020-04-09,12.57754
2020-04-10,10.56684
2020-04-11,10.97326
2020-04-12,11.48663
2020-04-13,13.47593
2020-04-14,12.81283
2020-04-15,12.44919
2020-04-16,11.78609
2020-04-17,11.63636
2020-04-18,12.53475
2020-04-19,13.83957
2020-04-20,13.26203
2020-04-21,14.67379
2020-04-22,14.35294
2020-04-23,13.49732
2020-04-24,10.8877
2020-04-25,13.62566
2020-04-26,12.83422
2020-04-27,12.47058
2020-04-28,14.13903
2020-04-29,13.43315
2020-04-30,12.32085
2020-05-01,13.51871
2020-05-02,12.36363
2020-05-03,13.13368
2020-05-04,13.92513
2020-05-05,14.82352
2020-05-06,20.62032
2020-05-07,19.3155
2020-05-08,17.24064
2020-05-09,15.3155
2020-05-10,16.6631
2020-05-11,23.5508
2020-05-12,24.57754
2020-05-13,22.54545
2020-05-14,20.59893
2020-05-15,21.58288
2020-05-16,17.92513
2020-05-17,18.2032
2020-05-18,24.38502
2020-05-19,23.48663
2020-05-20,23.14438
2020-05-21,20.04278
2020-05-22,18.13903
2020-05-23,18.22459
2020-05-24,17.28342
2020-05-25,20.29946
2020-05-26,3.12299
2020-05-27,0.94117
2020-05-28,0.62032
2020-05-29,0.85561
2020-05-30,0.32085
2020-05-31,0.49197
2020-06-01,0.36363
2020-06-02,0.51336
2020-06-03,0.64171
2020-06-04,0.91978
2020-06-05,1.15508
2020-06-06,1.24064
2020-06-07,1.11229
2020-06-08,1.79679
2020-06-09,2.16042
2020-06-10,3.91443
2020-06-11,6.07486
2020-06-12,7.48663
2020-06-13,6.69518
2020-06-14,7.37967
2020-06-15,11.42245
2020-06-16,10.73796
2020-06-17,19.29411
2020-06-18,20.14973
2020-06-19,23.35828
2020-06-20,18.95187
2020-06-21,19.95721
2020-06-22,24.51336
2020-06-23,22.31016
2020-06-24,22.80213
2020-06-25,22.71657
2020-06-26,22.13903
2020-06-27,19.33689
2020-06-28,20.89839
2020-06-29,31.65775
2020-06-30,30.54545
2020-07-01,28.6631
2020-07-02,32.91978
2020-07-03,29.81818
2020-07-04,27.78609
2020-07-05,29.28342
2020-07-06,39.95721
2020-07-07,41.71122
2020-07-08,47.3155
2020-07-09,50.37433
2020-07-10,100.0
2020-07-11,63.27272
2020-07-12,63.5508
2020-07-13,89.64705
2020-07-14,92.2139
2020-07-15,72.10695
2020-07-16,59.12299
2020-07-17,44.14973
2020-07-18,38.93048
2020-07-19,60.06417
2020-07-20,65.04812
2020-07-21,50.13903
2020-07-22,52.70588
2020-07-23,42.99465
2020-07-24,32.96256
2020-07-25,32.25668
