date,현대중공업주가
2020-03-20,13.98945
2020-03-21,1.97782
2020-03-22,1.32426
2020-03-23,12.75365
2020-03-24,12.1865
2020-03-25,12.91344
2020-03-26,12.94567
2020-03-27,11.5158
2020-03-28,1.4669
2020-03-29,0.95805
2020-03-30,9.58667
2020-03-31,9.13679
2020-04-01,9.62644
2020-04-02,9.02432
2020-04-03,8.72326
2020-04-04,0.97999
2020-04-05,0.71185
2020-04-06,8.62999
2020-04-07,9.46254
2020-04-08,8.19794
2020-04-09,8.38516
2020-04-10,8.72051
2020-04-11,0.99028
2020-04-12,0.76945
2020-04-13,7.72612
2020-04-14,7.51215
2020-04-15,1.1871
2020-04-16,6.69263
2020-04-17,7.33179
2020-04-18,0.94433
2020-04-19,0.61103
2020-04-20,6.99369
2020-04-21,7.80087
2020-04-22,7.73983
2020-04-23,8.02512
2020-04-24,6.77287
2020-04-25,0.84969
2020-04-26,0.59183
2020-04-27,6.55616
2020-04-28,6.13645
2020-04-29,8.12456
2020-04-30,1.06297
2020-05-01,1.351
2020-05-02,0.51228
2020-05-03,0.47045
2020-05-04,5.72772
2020-05-05,0.88398
2020-05-06,6.78247
2020-05-07,6.04799
2020-05-08,5.8011
2020-05-09,0.67001
2020-05-10,0.43684
2020-05-11,5.59811
2020-05-12,5.28196
2020-05-13,5.37523
2020-05-14,5.03576
2020-05-15,5.08171
2020-05-16,0.63847
2020-05-17,0.43273
2020-05-18,5.20858
2020-05-19,6.8099
2020-05-20,5.6804
2020-05-21,6.13577
2020-05-22,5.43489
2020-05-23,0.61515
2020-05-24,0.5452
2020-05-25,7.09588
2020-05-26,7.15211
2020-05-27,10.04683
2020-05-28,8.18423
2020-05-29,7.16994
2020-05-30,0.87918
2020-05-31,0.63572
2020-06-01,7.44083
2020-06-02,18.3984
2020-06-03,16.82725
2020-06-04,13.37772
2020-06-05,10.82864
2020-06-06,1.35923
2020-06-07,1.26528
2020-06-08,11.41567
2020-06-09,9.40219
2020-06-10,8.79047
2020-06-11,8.58953
2020-06-12,7.84545
2020-06-13,0.97176
2020-06-14,0.76191
2020-06-15,8.67937
2020-06-16,9.81778
2020-06-17,9.27875
2020-06-18,8.41259
2020-06-19,7.41203
2020-06-20,0.99096
2020-06-21,0.77562
2020-06-22,6.8922
2020-06-23,6.90111
2020-06-24,7.01289
2020-06-25,6.14605
2020-06-26,5.88888
2020-06-27,0.72008
2020-06-28,0.48485
2020-06-29,5.68246
2020-06-30,5.73047
2020-07-01,5.45615
2020-07-02,5.25041
2020-07-03,4.92672
2020-07-04,0.62818
2020-07-05,0.51022
2020-07-06,5.4246
2020-07-07,5.33545
2020-07-08,5.24081
2020-07-09,5.27784
2020-07-10,4.58862
2020-07-11,0.52188
2020-07-12,0.40187
2020-07-13,6.54107
2020-07-14,5.24355
2020-07-15,6.60073
2020-07-16,5.93483
2020-07-17,5.44518
2020-07-18,0.63847
2020-07-19,0.43959
2020-07-20,5.98284
2020-07-21,6.63228
2020-07-22,6.14331
2020-07-23,5.64337
2020-07-24,5.07416
2020-07-25,0.5404
2020-07-26,0.75574
2020-07-27,5.57068
2020-07-28,6.50267
2020-07-29,6.24961
2020-07-30,6.10285
2020-07-31,5.25453
2020-08-01,0.66521
2020-08-02,0.51708
2020-08-03,4.95278
2020-08-04,5.97049
2020-08-05,5.58165
2020-08-06,6.08502
2020-08-07,6.12685
2020-08-08,0.73996
2020-08-09,0.70705
2020-08-10,6.61308
2020-08-11,8.62245
2020-08-12,7.6013
2020-08-13,7.12331
2020-08-14,8.13142
2020-08-15,0.99028
2020-08-16,0.73242
2020-08-17,2.25488
2020-08-18,7.85367
2020-08-19,6.90728
2020-08-20,6.70155
2020-08-21,6.48758
2020-08-22,0.6899
2020-08-23,0.50954
2020-08-24,6.12754
2020-08-25,7.35991
2020-08-26,6.5637
2020-08-27,5.74624
2020-08-28,5.92592
2020-08-29,0.79208
2020-08-30,0.67481
2020-08-31,6.18652
2020-09-01,5.99518
2020-09-02,5.68589
2020-09-03,5.21338
2020-09-04,5.2751
2020-09-05,0.81471
2020-09-06,0.54657
2020-09-07,5.54667
2020-09-08,5.97461
2020-09-09,5.65709
2020-09-10,5.7819
2020-09-11,5.15166
2020-09-12,0.70293
2020-09-13,0.5164
2020-09-14,5.43146
2020-09-15,5.26413
2020-09-16,5.08171
2020-09-17,4.88283
2020-09-18,4.43981
2020-09-19,0.54451
2020-09-20,0.43547
2020-09-21,4.69218
2020-09-22,4.79848
2020-09-23,4.65103
2020-09-24,5.0529
2020-09-25,5.22641
2020-09-26,0.62887
2020-09-27,0.45056
2020-09-28,5.19486
2020-09-29,4.84031
2020-09-30,0.69813
2020-10-01,0.52257
2020-10-02,0.55206
2020-10-03,0.48828
2020-10-04,0.55686
2020-10-05,5.67697
2020-10-06,5.20858
2020-10-07,4.99118
2020-10-08,4.70727
2020-10-09,0.88604
2020-10-10,0.44576
2020-10-11,0.40393
2020-10-12,4.71481
