date,RSI지표
2020-03-20,10.23368
2020-03-21,9.26672
2020-03-22,11.3618
2020-03-23,7.73569
2020-03-24,7.25221
2020-03-25,8.62207
2020-03-26,10.71716
2020-03-27,10.31426
2020-03-28,9.18614
2020-03-29,8.29975
2020-03-30,7.89685
2020-03-31,9.7502
2020-04-01,9.26672
2020-04-02,11.3618
2020-04-03,8.54149
2020-04-04,9.18614
2020-04-05,9.99194
2020-04-06,8.46091
2020-04-07,9.10556
2020-04-08,10.63658
2020-04-09,12.40934
2020-04-10,10.556
2020-04-11,10.556
2020-04-12,16.68009
2020-04-13,13.3763
2020-04-14,11.68412
2020-04-15,9.99194
2020-04-16,11.03948
2020-04-17,9.99194
2020-04-18,7.33279
2020-04-19,12.32876
2020-04-20,12.40934
2020-04-21,9.91136
2020-04-22,13.13456
2020-04-23,13.29572
2020-04-24,11.92586
2020-04-25,10.31426
2020-04-26,10.79774
2020-04-27,9.58904
2020-04-28,10.07252
2020-04-29,9.91136
2020-04-30,12.24818
2020-05-01,7.41337
2020-05-02,8.46091
2020-05-03,8.62207
2020-05-04,8.62207
2020-05-05,21.112
2020-05-06,16.11603
2020-05-07,18.13053
2020-05-08,14.02095
2020-05-09,11.68412
2020-05-10,13.05398
2020-05-11,13.61804
2020-05-12,11.60354
2020-05-13,11.44238
2020-05-14,13.69863
2020-05-15,11.92586
2020-05-16,11.20064
2020-05-17,12.5705
2020-05-18,12.24818
2020-05-19,12.1676
2020-05-20,10.9589
2020-05-21,9.83078
2020-05-22,12.73166
2020-05-23,11.12006
2020-05-24,9.26672
2020-05-25,11.84528
2020-05-26,13.53746
2020-05-27,13.45688
2020-05-28,13.21514
2020-05-29,12.08702
2020-05-30,8.78323
2020-05-31,9.42788
2020-06-01,23.44883
2020-06-02,17.56647
2020-06-03,15.87429
2020-06-04,15.95487
2020-06-05,17.72763
2020-06-06,13.21514
2020-06-07,12.81224
2020-06-08,15.39081
2020-06-09,14.34327
2020-06-10,14.90733
2020-06-11,15.87429
2020-06-12,12.08702
2020-06-13,11.20064
2020-06-14,12.00644
2020-06-15,12.65108
2020-06-16,10.23368
2020-06-17,13.85979
2020-06-18,14.18211
2020-06-19,11.03948
2020-06-20,8.38033
2020-06-21,9.10556
2020-06-22,14.02095
2020-06-23,13.21514
2020-06-24,11.68412
2020-06-25,9.83078
2020-06-26,8.86381
2020-06-27,7.57453
2020-06-28,8.94439
2020-06-29,9.91136
2020-06-30,10.79774
2020-07-01,12.81224
2020-07-02,10.9589
2020-07-03,13.61804
2020-07-04,9.58904
2020-07-05,12.81224
2020-07-06,12.81224
2020-07-07,14.74617
2020-07-08,11.52296
2020-07-09,18.77518
2020-07-10,17.40531
2020-07-11,11.84528
2020-07-12,13.77921
2020-07-13,13.53746
2020-07-14,14.18211
2020-07-15,15.95487
2020-07-16,12.89282
2020-07-17,13.94037
2020-07-18,10.71716
2020-07-19,16.03545
2020-07-20,13.29572
2020-07-21,14.98791
2020-07-22,15.39081
2020-07-23,14.82675
2020-07-24,12.9734
2020-07-25,9.91136
2020-07-26,10.23368
2020-07-27,13.69863
2020-07-28,16.59951
2020-07-29,16.76067
2020-07-30,14.10153
2020-07-31,13.29572
2020-08-01,10.71716
2020-08-02,17.16357
2020-08-03,15.71313
2020-08-04,18.04995
2020-08-05,20.46736
2020-08-06,19.25866
2020-08-07,21.43432
2020-08-08,17.16357
2020-08-09,27.96132
2020-08-10,24.97985
2020-08-11,26.18855
2020-08-12,25.38275
2020-08-13,24.49637
2020-08-14,24.57695
2020-08-15,21.83722
2020-08-16,23.69057
2020-08-17,18.13053
2020-08-18,21.27316
2020-08-19,26.51087
2020-08-20,19.01692
2020-08-21,19.25866
2020-08-22,23.36825
2020-08-23,16.84125
2020-08-24,15.22965
2020-08-25,18.2917
2020-08-26,24.01289
2020-08-27,26.75261
2020-08-28,25.06043
2020-08-29,21.27316
2020-08-30,19.25866
2020-08-31,21.43432
2020-09-01,29.17002
2020-09-02,34.48831
2020-09-03,32.23207
2020-09-04,24.97985
2020-09-05,21.67606
2020-09-06,21.112
2020-09-07,28.68654
2020-09-08,26.59145
2020-09-09,30.4593
2020-09-10,30.0564
2020-09-11,22.7236
2020-09-12,23.28767
2020-09-13,20.78968
2020-09-14,24.49637
2020-09-15,28.12248
2020-09-16,74.61724
2020-09-17,43.19097
2020-09-18,29.2506
2020-09-19,24.25463
2020-09-20,18.13053
2020-09-21,23.52941
2020-09-22,22.24012
2020-09-23,27.07493
2020-09-24,33.92425
2020-09-25,26.67203
2020-09-26,23.36825
2020-09-27,18.2917
2020-09-28,20.95084
2020-09-29,20.78968
2020-09-30,15.55197
2020-10-01,26.26913
2020-10-02,22.15954
2020-10-03,18.13053
2020-10-04,17.48589
2020-10-05,23.52941
2020-10-06,38.27558
2020-10-07,33.03787
2020-10-08,32.55439
2020-10-09,27.39726
2020-10-10,19.82272
2020-10-11,15.55197
