date,파운드환율
2020-03-20,62.06896
2020-03-21,28.22819
2020-03-22,21.70127
2020-03-23,45.52307
2020-03-24,43.72355
2020-03-25,40.68381
2020-03-26,41.81703
2020-03-27,36.50114
2020-03-28,19.71207
2020-03-29,14.72691
2020-03-30,33.9429
2020-03-31,30.06663
2020-04-01,29.08418
2020-04-02,28.41787
2020-04-03,25.44136
2020-04-04,13.87092
2020-04-05,12.84956
2020-04-06,25.42191
2020-04-07,28.97718
2020-04-08,24.12334
2020-04-09,22.15359
2020-04-10,22.68858
2020-04-11,11.86226
2020-04-12,11.65799
2020-04-13,21.21492
2020-04-14,19.68775
2020-04-15,12.95656
2020-04-16,20.84528
2020-04-17,18.89499
2020-04-18,10.81659
2020-04-19,10.44209
2020-04-20,19.22571
2020-04-21,20.49997
2020-04-22,18.69558
2020-04-23,17.5721
2020-04-24,17.67423
2020-04-25,9.88765
2020-04-26,8.85657
2020-04-27,16.80365
2020-04-28,16.6237
2020-04-29,16.18111
2020-04-30,13.24838
2020-05-01,13.07815
2020-05-02,9.2262
2020-05-03,9.07543
2020-05-04,16.84742
2020-05-05,10.75336
2020-05-06,17.39701
2020-05-07,16.19084
2020-05-08,16.29298
2020-05-09,8.91007
2020-05-10,8.06867
2020-05-11,14.12869
2020-05-12,14.57127
2020-05-13,14.97495
2020-05-14,16.08871
2020-05-15,14.78527
2020-05-16,8.32157
2020-05-17,7.88385
2020-05-18,16.79393
2020-05-19,17.32892
2020-05-20,16.00116
2020-05-21,15.20354
2020-05-22,14.54695
2020-05-23,9.38183
2020-05-24,8.39939
2020-05-25,14.62477
2020-05-26,14.24055
2020-05-27,14.12869
2020-05-28,13.76878
2020-05-29,14.38645
2020-05-30,8.89061
2020-05-31,7.67958
2020-06-01,13.78823
2020-06-02,15.96712
2020-06-03,14.52263
2020-06-04,14.34755
2020-06-05,13.96819
2020-06-06,8.34103
2020-06-07,7.72822
2020-06-08,17.29001
2020-06-09,16.17139
2020-06-10,14.49345
2020-06-11,14.38645
2020-06-12,14.046
2020-06-13,8.19999
2020-06-14,8.64743
2020-06-15,13.55478
2020-06-16,14.28918
2020-06-17,14.49832
2020-06-18,15.25704
2020-06-19,15.65098
2020-06-20,9.90224
2020-06-21,8.23889
2020-06-22,16.95929
2020-06-23,15.46617
2020-06-24,14.96522
2020-06-25,15.67044
2020-06-26,17.16356
2020-06-27,8.19999
2020-06-28,8.30212
2020-06-29,18.7199
2020-06-30,20.3492
2020-07-01,17.54292
2020-07-02,16.71124
2020-07-03,15.09654
2020-07-04,8.63284
2020-07-05,7.74281
2020-07-06,14.83877
2020-07-07,15.11599
2020-07-08,14.17732
2020-07-09,15.08681
2020-07-10,13.75419
2020-07-11,9.01707
2020-07-12,8.68634
2020-07-13,15.03817
2020-07-14,14.61991
2020-07-15,13.52074
2020-07-16,14.33296
2020-07-17,13.13165
2020-07-18,7.92276
2020-07-19,7.24672
2020-07-20,14.47886
2020-07-21,15.55371
2020-07-22,15.32513
2020-07-23,16.16166
2020-07-24,15.02845
2020-07-25,9.56179
2020-07-26,9.17756
2020-07-27,19.27921
2020-07-28,20.14007
2020-07-29,20.20816
2020-07-30,20.78692
2020-07-31,21.75964
2020-08-01,12.78634
2020-08-02,11.66285
2020-08-03,20.60211
2020-08-04,19.10412
2020-08-05,18.86581
2020-08-06,18.89499
2020-08-07,17.57696
2020-08-08,10.96736
2020-08-09,10.46641
2020-08-10,19.27435
2020-08-11,19.61966
2020-08-12,17.61587
2020-08-13,16.59452
2020-08-14,15.56344
2020-08-15,10.18919
2020-08-16,9.44506
2020-08-17,13.09274
2020-08-18,17.57696
2020-08-19,17.3581
2020-08-20,16.90579
2020-08-21,17.5721
2020-08-22,11.96926
2020-08-23,10.54423
2020-08-24,18.86581
2020-08-25,18.67613
2020-08-26,19.16735
2020-08-27,21.44837
2020-08-28,19.01658
2020-08-29,12.32916
2020-08-30,12.27566
2020-08-31,22.0855
2020-09-01,22.9123
2020-09-02,23.89475
2020-09-03,21.11278
2020-09-04,20.58265
2020-09-05,12.83011
2020-09-06,11.5364
2020-09-07,20.09143
2020-09-08,22.56213
2020-09-09,27.16793
2020-09-10,23.74398
2020-09-11,25.80127
2020-09-12,13.93414
2020-09-13,13.09274
2020-09-14,23.8607
2020-09-15,24.00661
2020-09-16,24.52701
2020-09-17,23.6613
2020-09-18,26.04931
2020-09-19,14.26
2020-09-20,12.07626
2020-09-21,27.26034
2020-09-22,30.3098
2020-09-23,33.45168
2020-09-24,31.08798
2020-09-25,25.00364
2020-09-26,13.44778
2020-09-27,11.88171
2020-09-28,23.53971
2020-09-29,21.43864
2020-09-30,13.64719
2020-10-01,13.55965
2020-10-02,14.30377
2020-10-03,12.82525
2020-10-04,13.45265
2020-10-05,23.46189
2020-10-06,20.01848
2020-10-07,23.26248
2020-10-08,21.41919
2020-10-09,16.03521
2020-10-10,13.48183
2020-10-11,12.12489
2020-10-12,21.92014
2020-10-13,22.05632
2020-10-14,25.27114
2020-10-15,21.9785
2020-10-16,23.70507
2020-10-17,13.50615
2020-10-18,11.40022
2020-10-19,22.53295
2020-10-20,23.56889
2020-10-21,23.99202
2020-10-22,20.89392
2020-10-23,19.32299
2020-10-24,23.92393
2020-10-25,12.54802
2020-10-26,22.81017
2020-10-27,21.67696
2020-10-28,19.95039
2020-10-29,19.14303
2020-10-30,20.09143
2020-10-31,10.78741
2020-11-01,11.33213
2020-11-02,20.03307
2020-11-03,19.5078
2020-11-04,22.54267
2020-11-05,21.33164
2020-11-06,18.69072
2020-11-07,15.84066
2020-11-08,13.72014
2020-11-09,25.19332
2020-11-10,25.13496
2020-11-11,24.60483
2020-11-12,22.32868
2020-11-13,19.95039
2020-11-14,12.25621
2020-11-15,10.81173
2020-11-16,19.49321
2020-11-17,19.7218
2020-11-18,18.59345
2020-11-19,18.51077
2020-11-20,17.24624
2020-11-21,12.04707
2020-11-22,11.77958
2020-11-23,19.70234
2020-11-24,20.01361
2020-11-25,21.32678
2020-11-26,21.71586
2020-11-27,27.23602
2020-11-28,19.06522
2020-11-29,16.20543
2020-11-30,25.76722
2020-12-01,19.17221
2020-12-02,18.85608
2020-12-03,24.16224
2020-12-04,24.09415
2020-12-05,13.62774
2020-12-06,12.41184
2020-12-07,25.40246
2020-12-08,24.32761
2020-12-09,22.30922
2020-12-10,21.78395
2020-12-11,22.21681
2020-12-12,16.48752
2020-12-13,14.7415
2020-12-14,21.89582
2020-12-15,21.89095
2020-12-16,23.71479
2020-12-17,22.48917
2020-12-18,19.59048
2020-12-19,12.22703
2020-12-20,13.12192
2020-12-21,23.29653
2020-12-22,23.67589
2020-12-23,21.99309
2020-12-24,20.1887
2020-12-25,21.36082
2020-12-26,19.01658
2020-12-27,14.474
2020-12-28,23.65643
2020-12-29,22.12927
2020-12-30,21.12737
2020-12-31,17.79096
2021-01-01,13.67637
2021-01-02,13.04897
2021-01-03,11.63367
2021-01-04,19.76557
2021-01-05,22.09036
2021-01-06,19.49807
2021-01-07,20.38811
2021-01-08,18.84635
2021-01-09,12.62584
2021-01-10,14.0995
2021-01-11,17.7715
2021-01-12,17.91741
2021-01-13,18.8804
2021-01-14,18.54968
2021-01-15,16.13734
2021-01-16,11.06463
2021-01-17,10.84091
2021-01-18,17.00306
2021-01-19,17.43592
2021-01-20,17.07115
2021-01-21,17.44564
2021-01-22,17.40674
2021-01-23,10.93818
2021-01-24,10.8555
2021-01-25,17.10033
2021-01-26,17.3581
2021-01-27,17.58669
2021-01-28,19.67803
2021-01-29,18.55454
2021-01-30,11.79903
2021-01-31,9.88278
2021-02-01,18.54968
2021-02-02,18.43781
2021-02-03,17.37269
2021-02-04,17.16356
2021-02-05,17.77637
2021-02-06,11.13759
2021-02-07,10.17946
2021-02-08,16.86202
2021-02-09,16.12762
2021-02-10,15.18408
2021-02-11,13.18515
2021-02-12,13.37483
2021-02-13,14.9944
2021-02-14,12.77175
2021-02-15,18.60804
2021-02-16,18.49131
2021-02-17,17.46024
2021-02-18,16.88633
2021-02-19,16.50211
2021-02-20,11.44885
2021-02-21,10.44696
2021-02-22,18.18004
2021-02-23,19.10899
2021-02-24,19.9358
2021-02-25,18.5594
2021-02-26,18.42809
2021-02-27,10.87495
2021-02-28,9.87792
2021-03-01,13.87092
2021-03-02,18.84149
2021-03-03,18.68099
2021-03-04,19.15276
2021-03-05,17.49914
2021-03-06,11.34672
2021-03-07,10.87982
2021-03-08,17.26083
2021-03-09,20.28111
2021-03-10,19.15276
2021-03-11,18.26759
2021-03-12,16.77933
2021-03-13,11.80876
2021-03-14,10.24755
2021-03-15,15.56344
2021-03-16,18.79286
2021-03-17,16.82797
2021-03-18,15.93794
2021-03-19,14.86795
2021-03-20,11.30781
2021-03-21,11.96926
2021-03-22,15.68503
2021-03-23,17.31919
2021-03-24,18.65181
2021-03-25,16.97874
2021-03-26,14.41077
