date,오늘금값시세
2020-03-20,60.58618
2020-03-21,33.27087
2020-03-22,23.98286
2020-03-23,42.42505
2020-03-24,45.38276
2020-03-25,46.42665
2020-03-26,42.09047
2020-03-27,37.86134
2020-03-28,23.40738
2020-03-29,17.97376
2020-03-30,34.59582
2020-03-31,35.05085
2020-04-01,34.90364
2020-04-02,33.28426
2020-04-03,34.08725
2020-04-04,22.60438
2020-04-05,16.4213
2020-04-06,33.9668
2020-04-07,36.46948
2020-04-08,38.74464
2020-04-09,34.58244
2020-04-10,38.91862
2020-04-11,25.50856
2020-04-12,25.95021
2020-04-13,44.64668
2020-04-14,49.53158
2020-04-15,32.53479
2020-04-16,49.81263
2020-04-17,47.591
2020-04-18,31.35706
2020-04-19,22.17612
2020-04-20,41.30085
2020-04-21,44.90096
2020-04-22,44.49946
2020-04-23,48.17987
2020-04-24,49.58511
2020-04-25,32.78907
2020-04-26,25.81638
2020-04-27,51.31156
2020-04-28,44.59314
2020-04-29,40.10974
2020-04-30,26.99411
2020-05-01,28.17184
2020-05-02,24.18361
2020-05-03,20.50321
2020-05-04,35.10438
2020-05-05,23.28693
2020-05-06,35.61295
2020-05-07,30.64775
2020-05-08,30.72805
2020-05-09,21.3865
2020-05-10,16.36777
2020-05-11,33.00321
2020-05-12,32.02623
2020-05-13,30.6879
2020-05-14,31.51766
2020-05-15,34.22109
2020-05-16,21.7077
2020-05-17,18.54925
2020-05-18,42.4652
2020-05-19,40.87259
2020-05-20,33.72591
2020-05-21,36.2955
2020-05-22,34.51552
2020-05-23,24.62526
2020-05-24,22.08244
2020-05-25,39.46734
2020-05-26,39.72162
2020-05-27,36.40256
2020-05-28,37.15203
2020-05-29,36.30888
2020-05-30,23.84903
2020-05-31,20.58351
2020-06-01,34.5289
2020-06-02,34.5289
2020-06-03,35.35867
2020-06-04,33.72591
2020-06-05,33.25749
2020-06-06,14.96252
2020-06-07,11.60331
2020-06-08,22.9122
2020-06-09,23.36723
2020-06-10,22.39025
2020-06-11,20.57012
2020-06-12,22.47055
2020-06-13,11.91113
2020-06-14,8.8865
2020-06-15,21.07869
2020-06-16,19.82066
2020-06-17,18.70985
2020-06-18,17.17077
2020-06-19,17.73286
2020-06-20,10.67987
2020-06-21,8.94004
2020-06-22,22.69807
2020-06-23,22.05567
2020-06-24,20.89132
2020-06-25,20.08832
2020-06-26,17.73286
2020-06-27,10.78693
2020-06-28,8.72591
2020-06-29,19.76713
2020-06-30,18.22805
2020-07-01,21.5471
2020-07-02,19.33886
2020-07-03,18.6697
2020-07-04,10.22483
2020-07-05,9.98394
2020-07-06,22.52408
2020-07-07,19.37901
2020-07-08,22.44379
2020-07-09,23.38062
2020-07-10,18.81691
2020-07-11,12.28586
2020-07-12,9.58244
2020-07-13,25.85653
2020-07-14,33.77944
2020-07-15,30.11241
2020-07-16,27.94432
2020-07-17,26.37847
2020-07-18,16.2607
2020-07-19,13.31638
2020-07-20,25.65578
2020-07-21,25.64239
2020-07-22,31.27676
2020-07-23,36.80406
2020-07-24,41.60867
2020-07-25,36.24197
2020-07-26,20.48982
2020-07-27,46.88169
2020-07-28,60.4925
2020-07-29,60.96092
2020-07-30,44.90096
2020-07-31,41.27408
2020-08-01,31.26338
2020-08-02,23.34047
2020-08-03,38.32976
2020-08-04,37.95503
2020-08-05,67.55888
2020-08-06,56.02248
2020-08-07,53.81423
2020-08-08,36.95128
2020-08-09,25.42826
2020-08-10,51.63276
2020-08-11,49.07655
2020-08-12,100.0
2020-08-13,63.65096
2020-08-14,47.8319
2020-08-15,32.74892
2020-08-16,25.93683
2020-08-17,37.00481
2020-08-18,51.84689
2020-08-19,48.38062
2020-08-20,46.09207
2020-08-21,43.01391
2020-08-22,27.35546
2020-08-23,20.79764
2020-08-24,39.94914
2020-08-25,38.45021
2020-08-26,37.31263
2020-08-27,38.79817
2020-08-28,36.28211
2020-08-29,26.90042
2020-08-30,21.39989
2020-08-31,37.99518
2020-09-01,36.7773
2020-09-02,35.66648
2020-09-03,33.92665
2020-09-04,38.28961
2020-09-05,19.99464
2020-09-06,17.49197
2020-09-07,32.29389
2020-09-08,31.20985
2020-09-09,32.50802
2020-09-10,29.84475
2020-09-11,27.22162
2020-09-12,18.1076
2020-09-13,14.18629
2020-09-14,28.6001
2020-09-15,29.63062
2020-09-16,26.69967
2020-09-17,25.34796
2020-09-18,25.06691
2020-09-19,15.06959
2020-09-20,12.28586
2020-09-21,24.30406
2020-09-22,25.48179
2020-09-23,25.50856
2020-09-24,29.87152
2020-09-25,27.78372
2020-09-26,16.19379
2020-09-27,13.97216
2020-09-28,23.86241
2020-09-29,21.61402
2020-09-30,11.40256
2020-10-01,12.43308
2020-10-02,13.58404
2020-10-03,13.65096
2020-10-04,12.05835
2020-10-05,26.08404
2020-10-06,23.98286
2020-10-07,22.52408
2020-10-08,23.36723
2020-10-09,16.28747
2020-10-10,14.40042
2020-10-11,11.56316
2020-10-12,23.50107
2020-10-13,22.72483
2020-10-14,22.53747
2020-10-15,23.59475
2020-10-16,21.9486
2020-10-17,13.97216
