date,넷플릭스주가
2020-03-20,2.01739
2020-03-21,1.73248
2020-03-22,1.21537
2020-03-23,2.26112
2020-03-24,2.70412
2020-03-25,2.35993
2020-03-26,2.17054
2020-03-27,1.92022
2020-03-28,1.62708
2020-03-29,1.22196
2020-03-30,1.45252
2020-03-31,1.84282
2020-04-01,1.99927
2020-04-02,2.20183
2020-04-03,1.38005
2020-04-04,1.12315
2020-04-05,0.82342
2020-04-06,2.64648
2020-04-07,1.8
2020-04-08,2.38793
2020-04-09,1.53486
2020-04-10,1.07209
2020-04-11,0.71802
2020-04-12,0.75755
2020-04-13,0.94199
2020-04-14,2.18207
2020-04-15,1.60567
2020-04-16,2.41098
2020-04-17,2.95938
2020-04-18,1.95481
2020-04-19,1.24501
2020-04-20,2.13925
2020-04-21,2.75023
2020-04-22,3.90962
2020-04-23,3.15371
2020-04-24,2.19525
2020-04-25,1.79835
2020-04-26,1.83294
2020-04-27,1.67649
2020-04-28,1.90375
2020-04-29,1.81647
2020-04-30,1.53321
2020-05-01,1.24007
2020-05-02,0.94529
2020-05-03,0.83495
2020-05-04,0.87447
2020-05-05,1.10997
2020-05-06,1.14126
2020-05-07,1.16596
2020-05-08,0.99469
2020-05-09,0.80036
2020-05-10,0.58627
2020-05-11,0.9914
2020-05-12,1.24995
2020-05-13,1.11162
2020-05-14,1.13961
2020-05-15,1.00457
2020-05-16,0.69167
2020-05-17,0.5698
2020-05-18,0.86624
2020-05-19,1.11162
2020-05-20,0.89917
2020-05-21,1.01939
2020-05-22,0.94529
2020-05-23,0.81024
2020-05-24,0.58463
2020-05-25,1.24831
2020-05-26,1.57109
2020-05-27,1.81318
2020-05-28,1.30101
2020-05-29,0.85636
2020-05-30,0.66038
2020-05-31,0.40677
2020-06-01,0.68838
2020-06-02,0.86294
2020-06-03,0.99963
2020-06-04,0.85142
2020-06-05,0.79872
2020-06-06,0.68838
2020-06-07,0.50228
2020-06-08,0.74108
2020-06-09,0.87612
2020-06-10,1.07209
2020-06-11,0.96505
2020-06-12,1.06221
2020-06-13,0.6258
2020-06-14,0.4924
2020-06-15,0.68344
2020-06-16,0.80201
2020-06-17,1.0161
2020-06-18,0.9634
2020-06-19,0.76249
2020-06-20,0.53193
2020-06-21,0.44135
2020-06-22,0.77731
2020-06-23,0.96505
2020-06-24,0.95846
2020-06-25,0.77072
2020-06-26,0.70979
2020-06-27,0.56322
2020-06-28,0.34913
2020-06-29,0.63733
2020-06-30,0.80366
2020-07-01,0.77237
2020-07-02,1.14456
2020-07-03,0.95517
2020-07-04,0.53687
2020-07-05,0.47429
2020-07-06,0.93211
2020-07-07,1.25819
2020-07-08,1.12479
2020-07-09,1.1742
2020-07-10,1.13303
2020-07-11,1.50686
2020-07-12,1.00128
2020-07-13,1.75224
2020-07-14,2.08491
2020-07-15,1.77695
2020-07-16,1.63202
