date,동환율
2020-03-20,6.01694
2020-03-21,2.34463
2020-03-22,2.00564
2020-03-23,4.74576
2020-03-24,3.81355
2020-03-25,3.87005
2020-03-26,3.70056
2020-03-27,4.74576
2020-03-28,2.25988
2020-03-29,1.66666
2020-03-30,4.20903
2020-03-31,4.46327
2020-04-01,4.9435
2020-04-02,3.67231
2020-04-03,3.61581
2020-04-04,2.40112
2020-04-05,1.83615
2020-04-06,4.03954
2020-04-07,3.61581
2020-04-08,2.9096
2020-04-09,3.24858
2020-04-10,3.27683
2020-04-11,1.41242
2020-04-12,1.32768
2020-04-13,3.36158
2020-04-14,2.8531
2020-04-15,2.34463
2020-04-16,3.05084
2020-04-17,2.79661
2020-04-18,1.27118
2020-04-19,1.24293
2020-04-20,2.54237
2020-04-21,3.24858
2020-04-22,3.36158
2020-04-23,2.42937
2020-04-24,2.74011
2020-04-25,1.8079
2020-04-26,0.96045
2020-04-27,3.13559
2020-04-28,2.9096
2020-04-29,2.74011
2020-04-30,1.75141
2020-05-01,1.29943
2020-05-02,1.46892
2020-05-03,1.15819
2020-05-04,3.13559
2020-05-05,2.62711
2020-05-06,2.76836
2020-05-07,2.28813
2020-05-08,3.02259
2020-05-09,1.24293
2020-05-10,1.49717
2020-05-11,2.71186
2020-05-12,3.10734
2020-05-13,2.11864
2020-05-14,2.25988
2020-05-15,2.37288
2020-05-16,1.15819
2020-05-17,0.73446
2020-05-18,2.00564
2020-05-19,3.55932
2020-05-20,2.40112
2020-05-21,2.93785
2020-05-22,2.25988
2020-05-23,1.49717
2020-05-24,0.90395
2020-05-25,3.27683
2020-05-26,2.37288
2020-05-27,3.05084
2020-05-28,2.25988
2020-05-29,2.40112
2020-05-30,1.35593
2020-05-31,1.38418
2020-06-01,3.16384
2020-06-02,2.20338
2020-06-03,3.05084
2020-06-04,2.62711
2020-06-05,2.71186
2020-06-06,1.44067
2020-06-07,0.96045
2020-06-08,3.07909
2020-06-09,2.9096
2020-06-10,3.70056
2020-06-11,2.40112
2020-06-12,3.13559
2020-06-13,1.77966
2020-06-14,1.12994
2020-06-15,2.79661
2020-06-16,2.71186
2020-06-17,2.45762
2020-06-18,2.23163
2020-06-19,2.34463
2020-06-20,1.21468
2020-06-21,1.01694
2020-06-22,2.06214
2020-06-23,2.37288
2020-06-24,2.59887
2020-06-25,2.37288
2020-06-26,2.57062
2020-06-27,1.21468
2020-06-28,1.07344
2020-06-29,2.79661
2020-06-30,2.8531
2020-07-01,2.34463
2020-07-02,2.20338
2020-07-03,1.8644
2020-07-04,1.44067
