date,유니클로할인
2020-03-20,14.58333
2020-03-21,12.5
2020-03-22,14.16666
2020-03-23,12.08333
2020-03-24,13.33333
2020-03-25,12.5
2020-03-26,15.41666
2020-03-27,20.0
2020-03-28,18.33333
2020-03-29,21.66666
2020-03-30,20.0
2020-03-31,17.5
2020-04-01,15.0
2020-04-02,13.75
2020-04-03,22.91666
2020-04-04,15.41666
2020-04-05,18.33333
2020-04-06,24.16666
2020-04-07,11.25
2020-04-08,16.66666
2020-04-09,16.25
2020-04-10,17.08333
2020-04-11,18.75
2020-04-12,19.16666
2020-04-13,15.0
2020-04-14,19.16666
2020-04-15,13.33333
2020-04-16,18.33333
2020-04-17,14.58333
2020-04-18,18.33333
2020-04-19,21.25
2020-04-20,23.33333
2020-04-21,18.33333
2020-04-22,16.25
2020-04-23,14.58333
2020-04-24,13.33333
2020-04-25,14.16666
2020-04-26,15.41666
2020-04-27,16.25
2020-04-28,11.66666
2020-04-29,18.33333
2020-04-30,17.5
2020-05-01,15.41666
2020-05-02,15.41666
2020-05-03,21.66666
2020-05-04,18.75
2020-05-05,16.66666
2020-05-06,17.91666
2020-05-07,12.08333
2020-05-08,12.91666
2020-05-09,20.41666
2020-05-10,29.58333
2020-05-11,17.5
2020-05-12,15.0
2020-05-13,14.16666
2020-05-14,16.66666
2020-05-15,17.5
2020-05-16,21.25
2020-05-17,27.08333
2020-05-18,23.33333
2020-05-19,21.25
2020-05-20,14.16666
2020-05-21,25.41666
2020-05-22,18.33333
2020-05-23,31.66666
2020-05-24,27.5
2020-05-25,22.08333
2020-05-26,19.58333
2020-05-27,20.0
2020-05-28,24.58333
2020-05-29,26.66666
2020-05-30,17.5
2020-05-31,21.66666
2020-06-01,17.91666
2020-06-02,15.0
2020-06-03,17.91666
2020-06-04,18.33333
2020-06-05,22.5
2020-06-06,21.25
2020-06-07,18.33333
2020-06-08,20.41666
2020-06-09,16.66666
2020-06-10,25.83333
2020-06-11,24.16666
2020-06-12,18.75
2020-06-13,24.16666
2020-06-14,21.66666
