date,종합지수
2020-12-11,37.19422
2020-12-12,2.18096
2020-12-13,1.67992
2020-12-14,40.87827
2020-12-15,41.20247
2020-12-16,35.42587
2020-12-17,37.1058
2020-12-18,35.60271
2020-12-19,2.26937
2020-12-20,1.09048
2020-12-21,40.5246
2020-12-22,46.47804
2020-12-23,44.38549
2020-12-24,35.42587
2020-12-25,2.62304
2020-12-26,1.65045
2020-12-27,1.73887
2020-12-28,40.73091
2020-12-29,39.6699
2020-12-30,36.39846
2020-12-31,5.51134
2021-01-01,1.56203
2021-01-02,1.50309
2021-01-03,1.59151
2021-01-04,46.9496
2021-01-05,57.91335
2021-01-06,68.81815
2021-01-07,58.56174
2021-01-08,59.65222
2021-01-09,3.59563
2021-01-10,2.53463
2021-01-11,86.11847
2021-01-12,93.54553
2021-01-13,69.17182
2021-01-14,67.60978
2021-01-15,77.57147
2021-01-16,4.98084
2021-01-17,3.33038
2021-01-18,86.00058
2021-01-19,69.28971
2021-01-20,71.61803
2021-01-21,64.83937
2021-01-22,65.54671
2021-01-23,3.38933
2021-01-24,2.68199
2021-01-25,54.46507
2021-01-26,68.93604
2021-01-27,70.43913
2021-01-28,81.75655
2021-01-29,100.0
2021-01-30,6.92602
2021-01-31,3.15355
2021-02-01,73.00324
2021-02-02,66.07721
2021-02-03,64.13203
2021-02-04,67.55083
2021-02-05,61.71529
2021-02-06,3.4188
2021-02-07,1.76834
2021-02-08,56.85234
2021-02-09,52.0778
2021-02-10,52.01886
2021-02-11,3.4188
2021-02-12,1.50309
2021-02-13,1.62098
2021-02-14,2.06307
2021-02-15,48.09902
2021-02-16,51.95991
2021-02-17,59.5638
2021-02-18,60.53639
2021-02-19,66.28352
2021-02-20,3.83141
2021-02-21,1.76834
2021-02-22,60.53639
2021-02-23,62.36368
2021-02-24,77.30621
2021-02-25,58.14913
2021-02-26,74.71264
2021-02-27,4.86295
2021-02-28,2.74093
2021-03-01,3.0946
2021-03-02,54.34718
2021-03-03,51.42941
2021-03-04,58.62068
2021-03-05,60.65428
2021-03-06,3.56616
2021-03-07,2.09254
2021-03-08,60.68376
2021-03-09,68.78868
2021-03-10,58.65016
2021-03-11,52.22516
2021-03-12,45.15178
2021-03-13,3.47774
2021-03-14,2.41674
2021-03-15,45.06336
2021-03-16,40.20041
2021-03-17,45.47597
2021-03-18,40.43619
2021-03-19,45.47597
2021-03-20,2.88829
2021-03-21,2.18096
2021-03-22,39.9941
2021-03-23,47.21485
2021-03-24,44.56233
2021-03-25,44.82758
2021-03-26,37.93103
2021-03-27,3.33038
2021-03-28,1.88623
2021-03-29,43.47185
2021-03-30,39.05098
2021-03-31,42.58768
2021-04-01,37.04686
2021-04-02,36.98791
