date,세금계산서
2020-03-20,36.35461
2020-03-21,13.99272
2020-03-22,13.00033
2020-03-23,41.94508
2020-03-24,40.2911
2020-03-25,43.56599
2020-03-26,43.23519
2020-03-27,39.36486
2020-03-28,14.72047
2020-03-29,13.92656
2020-03-30,50.04961
2020-03-31,53.25835
2020-04-01,49.7519
2020-04-02,48.69335
2020-04-03,45.88157
2020-04-04,18.39232
2020-04-05,14.55507
2020-04-06,51.27356
2020-04-07,54.3169
2020-04-08,51.7036
2020-04-09,58.02183
2020-04-10,55.44161
2020-04-11,16.77141
2020-04-12,13.95964
2020-04-13,49.12338
2020-04-14,45.31921
2020-04-15,20.44326
2020-04-16,45.78233
2020-04-17,44.29374
2020-04-18,15.58054
2020-04-19,14.72047
2020-04-20,48.42871
2020-04-21,49.52034
2020-04-22,48.69335
2020-04-23,42.37512
2020-04-24,41.15117
2020-04-25,15.34899
2020-04-26,13.695
2020-04-27,47.63479
2020-04-28,49.48726
2020-04-29,47.17168
2020-04-30,20.27786
2020-05-01,19.58319
2020-05-02,14.72047
2020-05-03,13.43036
2020-05-04,39.49718
2020-05-05,20.50942
2020-05-06,54.97849
2020-05-07,56.9302
2020-05-08,54.58154
2020-05-09,20.67482
2020-05-10,19.78167
2020-05-11,59.0473
2020-05-12,49.22262
2020-05-13,46.74164
2020-05-14,44.62454
2020-05-15,41.68044
2020-05-16,14.52199
2020-05-17,13.695
2020-05-18,45.65001
2020-05-19,44.45914
2020-05-20,44.02911
2020-05-21,47.93251
2020-05-22,41.11809
2020-05-23,15.18359
2020-05-24,13.89348
2020-05-25,49.22262
2020-05-26,52.39827
2020-05-27,47.07244
2020-05-28,46.08005
2020-05-29,49.68574
2020-05-30,17.23453
2020-05-31,17.26761
2020-06-01,60.13893
2020-06-02,57.32715
2020-06-03,53.8207
2020-06-04,51.90208
2020-06-05,43.49983
2020-06-06,16.77141
2020-06-07,14.98511
2020-06-08,53.15911
2020-06-09,54.58154
2020-06-10,60.37049
2020-06-11,47.20476
2020-06-12,43.30135
2020-06-13,17.06913
2020-06-14,14.52199
2020-06-15,51.96824
2020-06-16,50.14885
2020-06-17,47.17168
2020-06-18,44.78994
2020-06-19,43.23519
2020-06-20,14.22428
2020-06-21,12.83493
2020-06-22,51.17433
2020-06-23,47.304
2020-06-24,50.24809
2020-06-25,51.47204
2020-06-26,46.54316
2020-06-27,15.44823
2020-06-28,15.41515
2020-06-29,62.02447
2020-06-30,80.35064
2020-07-01,69.73205
2020-07-02,70.19517
2020-07-03,62.52067
2020-07-04,21.13794
2020-07-05,18.06152
2020-07-06,71.84915
2020-07-07,74.89249
2020-07-08,71.68375
2020-07-09,76.54647
2020-07-10,80.7476
2020-07-11,24.71055
2020-07-12,18.65696
2020-07-13,71.55143
2020-07-14,73.76778
2020-07-15,77.83658
2020-07-16,72.70922
2020-07-17,63.9431
2020-07-18,23.81739
2020-07-19,18.69004
2020-07-20,77.24115
2020-07-21,72.9077
2020-07-22,73.00694
2020-07-23,67.11875
2020-07-24,59.31194
2020-07-25,18.9216
2020-07-26,14.85279
2020-07-27,59.17962
2020-07-28,51.47204
2020-07-29,45.65001
2020-07-30,46.27853
2020-07-31,53.48991
2020-08-01,17.00297
2020-08-02,13.3642
2020-08-03,49.88422
2020-08-04,49.9173
2020-08-05,49.15646
2020-08-06,44.78994
2020-08-07,44.09526
2020-08-08,18.19384
2020-08-09,15.15051
2020-08-10,63.21534
2020-08-11,47.60172
2020-08-12,43.20211
2020-08-13,41.38273
2020-08-14,36.98312
2020-08-15,12.83493
2020-08-16,11.04862
2020-08-17,16.77141
2020-08-18,44.22758
2020-08-19,41.21733
2020-08-20,47.1386
2020-08-21,42.37512
2020-08-22,15.8121
2020-08-23,13.09956
2020-08-24,50.21501
2020-08-25,52.10056
2020-08-26,44.32682
2020-08-27,44.62454
2020-08-28,45.35229
2020-08-29,16.77141
2020-08-30,14.38967
2020-08-31,67.31723
2020-09-01,61.19748
2020-09-02,55.54085
2020-09-03,47.40324
2020-09-04,44.98842
2020-09-05,16.3083
2020-09-06,14.42275
2020-09-07,55.27621
2020-09-08,52.86139
2020-09-09,57.98875
2020-09-10,61.85908
2020-09-11,43.99603
2020-09-12,14.98511
2020-09-13,13.695
2020-09-14,52.39827
2020-09-15,52.66291
2020-09-16,49.68574
2020-09-17,45.68309
2020-09-18,42.93747
2020-09-19,15.28283
2020-09-20,15.54746
2020-09-21,52.43135
2020-09-22,53.02679
2020-09-23,52.49751
2020-09-24,58.65034
2020-09-25,53.25835
2020-09-26,15.77902
2020-09-27,13.66192
2020-09-28,60.93284
2020-09-29,50.18193
2020-09-30,13.95964
2020-10-01,8.76612
2020-10-02,9.72543
2020-10-03,9.4608
2020-10-04,13.59576
2020-10-05,70.6252
2020-10-06,66.5564
2020-10-07,62.78531
2020-10-08,67.61495
2020-10-09,24.08203
2020-10-10,20.57558
2020-10-11,18.35924
2020-10-12,76.91035
2020-10-13,59.57657
2020-10-14,54.51538
2020-10-15,53.05987
2020-10-16,46.8078
2020-10-17,14.78663
2020-10-18,13.76116
2020-10-19,55.14389
2020-10-20,59.90737
2020-10-21,55.70625
2020-10-22,54.18458
2020-10-23,46.94012
2020-10-24,17.33377
2020-10-25,16.60602
2020-10-26,59.54349
2020-10-27,54.61462
2020-10-28,52.10056
2020-10-29,55.77241
2020-10-30,56.50016
2020-10-31,19.02084
2020-11-01,16.04366
2020-11-02,63.84386
2020-11-03,64.1085
2020-11-04,57.45947
2020-11-05,56.20244
2020-11-06,51.60436
2020-11-07,18.4254
2020-11-08,16.34138
2020-11-09,64.2739
2020-11-10,71.41912
2020-11-11,51.73668
2020-11-12,50.01653
2020-11-13,44.78994
2020-11-14,15.21667
