date,베어브릭
2020-03-20,23.07903
2020-03-21,21.07574
2020-03-22,18.82546
2020-03-23,17.64544
2020-03-24,15.9989
2020-03-25,16.93194
2020-03-26,21.95389
2020-03-27,18.88035
2020-03-28,19.09989
2020-03-29,18.22173
2020-03-30,15.72447
2020-03-31,17.15148
2020-04-01,20.1427
2020-04-02,22.88693
2020-04-03,20.71899
2020-04-04,25.57628
2020-04-05,23.1888
2020-04-06,17.45334
2020-04-07,16.5203
2020-04-08,17.26125
2020-04-09,15.83424
2020-04-10,15.39517
2020-04-11,16.19099
2020-04-12,17.81009
2020-04-13,15.58726
2020-04-14,16.65751
2020-04-15,14.62678
2020-04-16,13.55653
2020-04-17,15.12074
2020-04-18,16.05378
2020-04-19,15.88913
2020-04-20,15.77936
2020-04-21,15.77936
2020-04-22,14.27003
2020-04-23,16.10867
2020-04-24,15.77936
2020-04-25,16.24588
2020-04-26,16.68496
2020-04-27,15.6147
2020-04-28,15.03841
2020-04-29,16.57519
2020-04-30,14.57189
2020-05-01,14.05049
2020-05-02,14.84632
2020-05-03,15.83424
2020-05-04,14.92864
2020-05-05,16.16355
2020-05-06,15.88913
2020-05-07,13.06256
2020-05-08,14.68166
2020-05-09,14.32491
2020-05-10,15.55982
2020-05-11,13.44676
2020-05-12,14.43468
2020-05-13,15.17563
2020-05-14,13.00768
2020-05-15,14.35236
2020-05-16,17.34357
2020-05-17,15.2854
2020-05-18,14.87376
2020-05-19,18.00219
2020-05-20,14.79143
2020-05-21,13.83095
2020-05-22,13.25466
2020-05-23,16.63007
2020-05-24,15.75192
2020-05-25,14.40724
2020-05-26,15.9989
2020-05-27,16.60263
2020-05-28,16.43798
2020-05-29,13.63885
2020-05-30,15.14818
2020-05-31,15.47749
2020-06-01,12.92535
2020-06-02,13.94072
2020-06-03,13.22722
2020-06-04,14.54445
2020-06-05,17.78265
2020-06-06,17.4259
2020-06-07,20.08781
2020-06-08,15.45005
2020-06-09,16.46542
2020-06-10,13.36443
2020-06-11,11.82766
2020-06-12,13.85839
2020-06-13,18.05708
2020-06-14,17.01427
2020-06-15,13.25466
2020-06-16,14.51701
2020-06-17,14.02305
2020-06-18,13.55653
2020-06-19,12.84302
2020-06-20,12.34906
2020-06-21,13.11745
2020-06-22,11.82766
2020-06-23,12.45883
2020-06-24,10.9495
2020-06-25,12.95279
2020-06-26,12.7607
2020-06-27,12.48627
2020-06-28,13.14489
2020-06-29,15.50493
2020-06-30,15.66959
2020-07-01,13.77607
2020-07-02,15.53238
