date,연말정산환급금
2020-03-20,17.51906
2020-03-21,6.06774
2020-03-22,4.71063
2020-03-23,9.3764
2020-03-24,10.59892
2020-03-25,14.12068
2020-03-26,9.06235
2020-03-27,7.99685
2020-03-28,3.6227
2020-03-29,3.11799
2020-03-30,8.99506
2020-03-31,14.04217
2020-04-01,8.99506
2020-04-02,6.28084
2020-04-03,6.59488
2020-04-04,3.11799
2020-04-05,2.63571
2020-04-06,5.27142
2020-04-07,4.87886
2020-04-08,4.87886
2020-04-09,4.20592
2020-04-10,6.01166
2020-04-11,2.31045
2020-04-12,1.82817
2020-04-13,4.28443
2020-04-14,3.43203
2020-04-15,1.71601
2020-04-16,2.99461
2020-04-17,2.92732
2020-04-18,1.31224
2020-04-19,1.4244
2020-04-20,2.54598
2020-04-21,2.44504
2020-04-22,1.99641
2020-04-23,2.23194
2020-04-24,2.0637
2020-04-25,0.84118
2020-04-26,0.91969
2020-04-27,2.09735
2020-04-28,1.89546
2020-04-29,1.76087
2020-04-30,1.00942
2020-05-01,1.79452
2020-05-02,0.93091
2020-05-03,0.98698
2020-05-04,2.52355
2020-05-05,1.40197
2020-05-06,2.25437
2020-05-07,1.94033
2020-05-08,1.69358
2020-05-09,0.77388
2020-05-10,0.76267
2020-05-11,2.17586
2020-05-12,1.71601
2020-05-13,1.52534
2020-05-14,1.72723
2020-05-15,1.67115
2020-05-16,0.67294
2020-05-17,0.39255
2020-05-18,1.14401
2020-05-19,1.11036
2020-05-20,1.02063
2020-05-21,1.03185
2020-05-22,0.76267
2020-05-23,0.44863
2020-05-24,0.37012
2020-05-25,2.17586
2020-05-26,1.88425
2020-05-27,1.73844
2020-05-28,1.4917
2020-05-29,0.88604
2020-05-30,0.56078
2020-05-31,0.51592
2020-06-01,1.12157
2020-06-02,0.7851
2020-06-03,0.81875
2020-06-04,0.54957
2020-06-05,0.7851
2020-06-06,0.22431
2020-06-07,0.2131
2020-06-08,0.59443
2020-06-09,0.6393
2020-06-10,0.8524
2020-06-11,0.80753
2020-06-12,0.56078
2020-06-13,0.1458
2020-06-14,0.31404
2020-06-15,0.65051
2020-06-16,0.75145
2020-06-17,0.65051
2020-06-18,0.75145
2020-06-19,0.56078
2020-06-20,0.2131
2020-06-21,0.28039
2020-06-22,0.76267
2020-06-23,0.77388
2020-06-24,0.6393
2020-06-25,0.89726
2020-06-26,0.58322
2020-06-27,0.17945
2020-06-28,0.2131
2020-06-29,0.4262
2020-06-30,0.58322
2020-07-01,0.48227
2020-07-02,0.38133
2020-07-03,0.37012
2020-07-04,0.19066
2020-07-06,0.4262
2020-07-07,0.44863
2020-07-08,0.45984
2020-07-09,0.56078
2020-07-10,0.41498
