date,코스피200선물
2020-03-20,100.0
2020-03-21,20.53712
2020-03-22,14.69194
2020-03-23,83.35966
2020-03-24,95.68193
2020-03-25,79.41021
2020-03-26,63.92838
2020-03-27,63.19115
2020-03-28,11.32174
2020-03-29,9.63665
2020-03-30,64.56029
2020-03-31,40.2317
2020-04-01,44.18114
2020-04-02,51.50078
2020-04-03,44.81305
2020-04-04,7.74091
2020-04-05,4.79199
2020-04-06,44.2338
2020-04-07,44.44444
2020-04-08,45.23433
2020-04-09,36.5982
2020-04-10,36.96682
2020-04-11,6.52975
2020-04-12,4.63401
2020-04-13,36.5982
2020-04-14,40.44233
2020-04-15,6.63507
2020-04-16,34.96577
2020-04-17,38.44128
2020-04-18,7.00368
2020-04-19,6.63507
2020-04-20,40.2317
2020-04-21,36.54555
2020-04-22,34.96577
2020-04-23,34.59715
2020-04-24,32.5961
2020-04-25,5.73986
2020-04-26,3.05423
2020-04-27,32.38546
2020-04-28,29.69984
2020-04-29,25.80305
2020-04-30,4.16008
2020-05-01,3.89678
2020-05-02,2.89626
2020-05-03,2.36966
2020-05-04,25.96103
2020-05-05,6.95102
2020-05-06,24.22327
2020-05-07,26.96155
2020-05-08,25.85571
2020-05-09,2.94892
2020-05-10,2.36966
2020-05-11,23.38072
2020-05-12,28.38335
2020-05-13,29.2259
2020-05-14,25.59241
2020-05-15,26.96155
2020-05-16,3.42285
2020-05-17,2.05371
2020-05-18,22.53817
2020-05-19,29.27856
2020-05-20,29.7525
2020-05-21,25.43443
2020-05-22,18.16745
2020-05-23,2.10637
2020-05-24,2.36966
2020-05-25,17.79884
2020-05-26,20.80042
2020-05-27,27.01421
2020-05-28,26.01369
2020-05-29,26.48762
2020-05-30,2.52764
2020-05-31,2.15903
2020-06-01,29.06793
2020-06-02,27.27751
2020-06-03,37.28278
2020-06-04,36.5982
2020-06-05,30.12111
2020-06-06,4.10742
2020-06-07,4.0021
2020-06-08,32.70142
2020-06-09,34.54449
2020-06-10,32.64876
2020-06-11,42.23275
2020-06-12,38.75724
2020-06-13,3.00157
2020-06-14,2.52764
2020-06-15,36.28225
2020-06-16,58.82043
2020-06-17,43.33859
2020-06-18,33.38599
2020-06-19,26.17166
2020-06-20,3.37019
2020-06-21,1.10584
2020-06-22,26.17166
2020-06-23,24.74986
2020-06-24,26.22432
2020-06-25,32.64876
2020-06-26,26.43496
2020-06-27,3.63349
2020-06-28,2.42232
2020-06-29,28.48867
2020-06-30,26.54028
2020-07-01,25.69773
2020-07-02,26.69826
2020-07-03,27.8041
2020-07-04,2.47498
2020-07-05,1.73775
2020-07-06,35.49236
2020-07-07,30.22643
2020-07-08,27.22485
2020-07-09,24.06529
2020-07-10,25.27646
2020-07-11,2.317
2020-07-12,1.73775
2020-07-13,25.69773
2020-07-14,22.1169
2020-07-15,26.80358
2020-07-16,23.22274
2020-07-17,23.64402
2020-07-18,3.00157
2020-07-19,2.10637
2020-07-20,22.06424
2020-07-21,26.96155
2020-07-22,24.06529
2020-07-23,28.01474
2020-07-24,25.38177
2020-07-25,2.42232
2020-07-26,1.47446
2020-07-27,24.27593
2020-07-28,33.28067
2020-07-29,29.38388
2020-07-30,26.06635
2020-07-31,21.8536
2020-08-01,2.79094
2020-08-02,2.63296
2020-08-03,22.22222
2020-08-04,24.43391
2020-08-05,26.54028
2020-08-06,28.59399
2020-08-07,30.59505
2020-08-08,2.79094
2020-08-09,2.63296
2020-08-10,24.53923
2020-08-11,26.27698
2020-08-12,29.27856
2020-08-13,26.59294
2020-08-14,23.85466
2020-08-15,2.52764
2020-08-16,2.317
2020-08-17,3.31753
2020-08-18,30.17377
2020-08-19,29.59452
2020-08-20,42.75934
2020-08-21,33.38599
2020-08-22,3.42285
2020-08-23,2.52764
2020-08-24,23.95997
2020-08-25,27.38283
2020-08-26,27.01421
2020-08-27,26.90889
2020-08-28,26.22432
2020-08-29,3.15955
2020-08-30,2.00105
2020-08-31,33.01737
2020-09-01,29.7525
2020-09-02,29.2259
2020-09-03,25.32912
2020-09-04,34.33385
2020-09-05,4.10742
2020-09-06,3.31753
2020-09-07,24.01263
2020-09-08,26.22432
2020-09-09,31.80621
2020-09-10,32.80674
2020-09-11,26.06635
2020-09-12,3.58083
2020-09-13,1.57977
2020-09-14,26.17166
2020-09-15,25.43443
2020-09-16,23.69668
2020-09-17,24.06529
2020-09-18,24.17061
2020-09-19,3.31753
2020-09-20,2.05371
2020-09-21,25.06582
2020-09-22,34.2812
2020-09-23,37.1248
2020-09-24,40.07372
2020-09-25,25.17114
2020-09-26,3.89678
2020-09-27,3.52817
2020-09-28,26.01369
2020-09-29,21.74828
2020-09-30,1.63243
2020-10-01,1.94839
2020-10-02,2.63296
2020-10-03,2.68562
2020-10-04,1.94839
2020-10-05,23.802
2020-10-06,22.48551
2020-10-07,25.64507
2020-10-08,29.4892
2020-10-09,4.31806
2020-10-10,1.73775
2020-10-11,2.47498
2020-10-12,18.16745
2020-10-13,23.17008
2020-10-14,22.32754
2020-10-15,25.11848
2020-10-16,28.75197
2020-10-17,2.63296
2020-10-18,2.68562
2020-10-19,19.74723
2020-10-20,23.11743
2020-10-21,20.1685
2020-10-22,23.85466
2020-10-23,19.85255
2020-10-24,1.89573
2020-10-25,2.21169
2020-10-26,20.01053
2020-10-27,22.53817
2020-10-28,22.06424
2020-10-29,29.12058
2020-10-30,30.17377
2020-10-31,4.52869
2020-11-01,2.68562
2020-11-02,21.32701
2020-11-03,23.22274
2020-11-04,20.06319
2020-11-05,24.9605
2020-11-06,31.33228
2020-11-07,2.26434
2020-11-08,2.00105
2020-11-09,26.85624
2020-11-10,28.01474
2020-11-11,25.32912
2020-11-12,28.43601
2020-11-13,24.74986
2020-11-14,3.21221
2020-11-15,1.79041
2020-11-16,26.3823
2020-11-17,27.59347
2020-11-18,29.17324
2020-11-19,27.27751
2020-11-20,21.11637
2020-11-21,2.63296
2020-11-22,1.63243
2020-11-23,27.85676
2020-11-24,26.22432
2020-11-25,26.6456
2020-11-26,26.32964
2020-11-27,23.95997
2020-11-28,3.21221
2020-11-29,3.31753
2020-11-30,22.69615
2020-12-01,21.90626
2020-12-02,27.54081
2020-12-03,23.90731
2020-12-04,31.80621
2020-12-05,4.73933
2020-12-06,3.84412
2020-12-07,31.1743
2020-12-08,30.80568
2020-12-09,41.44286
2020-12-10,44.86571
2020-12-11,29.12058
2020-12-12,3.42285
2020-12-13,3.84412
