date,S&P500지수
2020-03-20,86.18924
2020-03-21,51.71013
2020-03-22,16.96818
2020-03-23,67.40851
2020-03-24,100.0
2020-03-25,92.67818
2020-03-26,93.11168
2020-03-27,77.42695
2020-03-28,43.28918
2020-03-29,13.63326
2020-03-30,42.33001
2020-03-31,57.05898
2020-04-01,55.26693
2020-04-02,52.82632
2020-04-03,46.36127
2020-04-04,25.4847
2020-04-05,8.60868
2020-04-06,33.80324
2020-04-07,53.60458
2020-04-08,49.08861
2020-04-09,48.97938
2020-04-10,42.31635
2020-04-11,18.5486
2020-04-12,9.18896
2020-04-13,26.69306
2020-04-14,41.44593
2020-04-15,34.18896
2020-04-16,36.8651
2020-04-17,41.36059
2020-04-18,24.40264
2020-04-19,8.95002
2020-04-20,25.56663
2020-04-21,40.56867
2020-04-22,38.71859
2020-04-23,34.98771
2020-04-24,31.28413
2020-04-25,17.77375
2020-04-26,6.0998
2020-04-27,20.45671
2020-04-28,31.94292
2020-04-29,31.91903
2020-04-30,27.65565
2020-05-01,24.4675
2020-05-02,16.29915
2020-05-03,7.49931
2020-05-04,18.45985
2020-05-05,24.61086
2020-05-06,29.18145
2020-05-07,28.42026
2020-05-08,26.61796
2020-05-09,17.21395
2020-05-10,5.77553
2020-05-11,16.68145
2020-05-12,27.47474
2020-05-13,27.32454
2020-05-14,26.79546
2020-05-15,24.89759
2020-05-16,14.3808
2020-05-17,5.05188
2020-05-18,16.02949
2020-05-19,31.09298
2020-05-20,28.97323
2020-05-21,28.47146
2020-05-22,23.62779
2020-05-23,14.52758
2020-05-24,5.36592
2020-05-25,15.93732
2020-05-26,25.74071
2020-05-27,30.00409
2020-05-28,30.08943
2020-05-29,26.35854
2020-05-30,16.13189
2020-05-31,5.6151
2020-06-01,19.66138
2020-06-02,29.28386
2020-06-03,31.90537
2020-06-04,31.861
2020-06-05,29.98361
2020-06-06,19.63066
2020-06-07,6.31826
2020-06-08,21.71627
2020-06-09,30.4888
2020-06-10,31.00423
2020-06-11,29.91876
2020-06-12,34.87848
2020-06-13,19.60677
2020-06-14,5.80283
2020-06-15,19.86619
2020-06-16,29.94606
2020-06-17,26.3995
2020-06-18,25.25942
2020-06-19,23.89063
2020-06-20,14.11796
2020-06-21,4.54669
2020-06-22,14.33642
2020-06-23,22.79833
2020-06-24,22.65496
2020-06-25,24.52553
2020-06-26,22.43992
2020-06-27,14.22037
2020-06-28,4.69347
2020-06-29,15.20344
2020-06-30,23.81895
2020-07-01,22.8427
2020-07-02,23.0441
2020-07-03,20.92435
2020-07-04,9.69415
2020-07-05,4.03809
2020-07-06,14.70507
2020-07-07,21.7504
2020-07-08,21.51829
2020-07-09,21.10527
2020-07-10,19.23129
2020-07-11,12.30884
2020-07-12,4.09953
2020-07-13,13.44893
2020-07-14,22.72665
2020-07-15,22.10199
2020-07-16,21.39882
2020-07-17,19.14254
2020-07-18,11.31895
2020-07-19,3.48511
2020-07-20,12.09721
2020-07-21,20.75027
2020-07-22,19.86277
2020-07-23,21.33738
2020-07-24,18.87629
2020-07-25,10.31198
2020-07-26,3.23935
2020-07-27,11.08001
2020-07-28,16.81799
2020-07-29,17.53823
2020-07-30,17.69866
2020-07-31,17.74986
2020-08-01,10.35636
2020-08-02,3.20862
2020-08-03,10.51338
2020-08-04,16.63367
2020-08-05,17.06717
2020-08-06,16.40155
2020-08-07,16.66439
2020-08-08,10.19593
2020-08-09,3.7616
2020-08-10,11.2814
2020-08-11,18.79096
2020-08-12,18.55884
2020-08-13,16.88626
2020-08-14,15.09079
2020-08-15,8.12738
2020-08-16,2.96286
2020-08-17,8.21613
2020-08-18,17.08083
2020-08-19,17.62015
2020-08-20,18.19019
2020-08-21,16.84188
2020-08-22,10.14814
2020-08-23,3.4817
2020-08-24,10.41097
2020-08-25,17.82837
2020-08-26,17.69524
2020-08-27,17.46654
2020-08-28,15.97487
2020-08-29,9.3767
2020-08-30,3.45439
2020-08-31,9.95016
2020-09-01,16.85212
2020-09-02,18.20726
2020-09-03,18.1151
2020-09-04,28.27348
2020-09-05,39.40811
2020-09-06,6.79273
2020-09-07,14.86551
2020-09-08,23.8326
2020-09-09,34.1992
2020-09-10,24.69961
2020-09-11,23.93842
2020-09-12,14.18282
2020-09-13,4.23265
2020-09-14,12.7048
2020-09-15,19.77061
2020-09-16,18.6749
2020-09-17,20.47378
2020-09-18,19.07768
2020-09-19,11.43842
2020-09-20,3.71723
2020-09-21,13.58205
2020-09-22,23.87015
2020-09-23,22.50819
2020-09-24,26.58383
2020-09-25,21.51488
2020-09-26,11.53741
2020-09-27,3.67968
2020-09-28,11.48279
2020-09-29,16.53809
2020-09-30,12.25081
2020-10-01,12.03918
2020-10-02,17.13544
2020-10-03,13.54451
2020-10-04,5.09967
2020-10-05,13.09052
2020-10-06,17.98539
2020-10-07,18.99918
2020-10-08,16.79751
2020-10-09,12.3498
2020-10-10,8.88858
2020-10-11,3.3554
2020-10-12,10.8001
2020-10-13,17.65428
2020-10-14,17.52457
2020-10-15,17.58943
2020-10-16,16.00218
2020-10-17,9.68391
2020-10-18,3.09257
2020-10-19,10.12766
2020-10-20,16.44934
2020-10-21,14.65729
2020-10-22,14.68118
2020-10-23,14.04969
2020-10-24,8.45849
2020-10-25,2.88093
2020-10-26,8.91589
2020-10-27,14.93036
2020-10-28,15.68132
2020-10-29,18.33356
2020-10-30,16.56881
2020-10-31,10.12766
2020-11-01,3.25983
2020-11-02,10.5953
2020-11-03,17.9137
2020-11-04,18.27894
2020-11-05,20.13585
2020-11-06,18.29942
2020-11-07,11.91288
2020-11-08,4.14049
2020-11-09,14.8894
2020-11-10,25.47788
2020-11-11,21.9006
2020-11-12,18.74658
2020-11-13,16.18309
2020-11-14,9.98088
2020-11-15,3.74795
2020-11-16,10.57823
2020-11-17,27.96627
2020-11-18,20.53864
2020-11-19,18.92749
2020-11-20,16.31963
2020-11-21,10.35294
2020-11-22,4.42039
2020-11-23,10.60895
2020-11-24,16.96477
2020-11-25,17.43924
2020-11-26,16.03973
2020-11-27,12.36346
2020-11-28,9.18896
2020-11-29,3.91179
2020-11-30,9.43132
2020-12-01,15.70862
2020-12-02,14.49003
2020-12-03,14.49685
2020-12-04,14.33642
2020-12-05,9.54737
2020-12-06,4.10636
2020-12-07,8.98757
2020-12-08,15.11127
2020-12-09,15.35021
2020-12-10,16.13189
2020-12-11,15.40141
2020-12-12,9.46204
2020-12-13,3.72405
2020-12-14,7.97037
2020-12-15,13.94729
2020-12-16,13.52744
2020-12-17,13.06663
2020-12-18,13.31581
2020-12-19,10.68746
2020-12-20,4.33164
2020-12-21,9.98429
2020-12-22,16.02949
2020-12-23,14.82796
2020-12-24,12.23716
2020-12-25,8.537
2020-12-26,3.96982
2020-12-27,3.7104
2020-12-28,6.97364
2020-12-29,11.06294
2020-12-30,11.37356
2020-12-31,8.95344
2021-01-01,6.04519
2021-01-02,2.93555
2021-01-03,2.25628
2021-01-04,6.00423
2021-01-05,11.93336
2021-01-06,10.9503
2021-01-07,11.26092
2021-01-08,11.37697
2021-01-09,8.39363
2021-01-10,3.92203
2021-01-11,7.71436
2021-01-12,12.56485
2021-01-13,12.21668
2021-01-14,11.11073
2021-01-15,12.14841
2021-01-16,8.05912
2021-01-17,3.17108
2021-01-18,6.8098
2021-01-19,9.50983
2021-01-20,10.98102
2021-01-21,10.2403
2021-01-22,9.86824
2021-01-23,6.61182
2021-01-24,2.53618
2021-01-25,5.5912
2021-01-26,10.71135
2021-01-27,10.84789
2021-01-28,14.01215
2021-01-29,15.94756
2021-01-30,11.87875
2021-01-31,4.68323
2021-02-01,9.49276
2021-02-02,14.06335
2021-02-03,13.36701
2021-02-04,13.21682
2021-02-05,13.43528
2021-02-06,8.92954
2021-02-07,3.54655
2021-02-08,7.61196
2021-02-09,11.48962
2021-02-10,10.93323
2021-02-11,7.87479
2021-02-12,7.86455
2021-02-13,7.30133
2021-02-14,3.73429
2021-02-15,5.98033
2021-02-16,8.99098
2021-02-17,10.55775
2021-02-18,11.08001
2021-02-19,11.14486
2021-02-20,7.32181
2021-02-21,2.9219
2021-02-22,6.54014
2021-02-23,13.15879
2021-02-24,14.03263
2021-02-25,13.45917
2021-02-26,16.36742
2021-02-27,11.57495
2021-02-28,3.92203
2021-03-01,6.69716
2021-03-02,13.56157
2021-03-03,14.07359
2021-03-04,14.97132
2021-03-05,16.80775
2021-03-06,11.36332
