date,시니어일자리
2020-03-20,11.63069
2020-03-21,8.51318
2020-03-22,7.19424
2020-03-23,15.46762
2020-03-24,13.06954
2020-03-25,12.35011
2020-03-26,13.66906
2020-03-27,16.42685
2020-03-28,10.91127
2020-03-29,9.83213
2020-03-30,13.30935
2020-03-31,16.30695
2020-04-01,17.02637
2020-04-02,13.54916
2020-04-03,10.91127
2020-04-04,7.55395
2020-04-05,7.19424
2020-04-06,12.11031
2020-04-07,16.30695
2020-04-08,12.35011
2020-04-09,13.54916
2020-04-10,14.38848
2020-04-11,9.1127
2020-04-12,11.03117
2020-04-13,13.78896
2020-04-14,12.70983
2020-04-15,10.31175
2020-04-16,16.30695
2020-04-17,19.78417
2020-04-18,14.38848
2020-04-19,13.54916
2020-04-20,18.46522
2020-04-21,15.70743
2020-04-22,13.06954
2020-04-23,14.988
2020-04-24,11.27098
2020-04-25,10.79136
2020-04-26,12.23021
2020-04-27,11.27098
2020-04-28,11.03117
2020-04-29,12.70983
2020-04-30,11.9904
2020-05-01,8.51318
2020-05-02,9.47242
2020-05-03,7.55395
2020-05-04,11.9904
2020-05-05,9.83213
2020-05-06,13.18944
2020-05-07,15.58752
2020-05-08,13.30935
2020-05-09,10.91127
2020-05-10,8.75299
2020-05-11,16.78657
2020-05-12,14.7482
2020-05-13,15.46762
2020-05-14,19.66426
2020-05-15,14.38848
2020-05-16,10.43165
2020-05-17,7.43405
2020-05-18,14.38848
2020-05-19,14.62829
2020-05-20,16.54676
2020-05-21,23.50119
2020-05-22,23.26139
2020-05-23,17.26618
2020-05-24,19.90407
2020-05-25,24.70023
2020-05-26,27.81774
2020-05-27,22.30215
2020-05-28,20.8633
2020-05-29,20.14388
2020-05-30,15.34772
2020-05-31,14.50839
2020-06-01,31.05515
2020-06-02,25.53956
2020-06-03,23.6211
2020-06-04,21.94244
2020-06-05,22.78177
2020-06-06,15.34772
2020-06-07,12.58992
2020-06-08,24.10071
2020-06-09,18.10551
2020-06-10,18.94484
2020-06-11,23.26139
2020-06-12,21.34292
2020-06-13,15.34772
2020-06-14,13.18944
2020-06-15,29.01678
2020-06-16,25.89928
2020-06-17,22.90167
2020-06-18,20.8633
2020-06-19,26.4988
2020-06-20,19.66426
2020-06-21,14.8681
2020-06-22,20.98321
2020-06-23,23.741
2020-06-24,24.58033
2020-06-25,20.8633
2020-06-26,21.34292
2020-06-27,12.58992
2020-06-28,17.02637
2020-06-29,25.29976
2020-06-30,29.25659
2020-07-01,23.50119
2020-07-02,24.34052
2020-07-03,17.38609
2020-07-04,11.63069
2020-07-05,16.66666
2020-07-06,24.10071
2020-07-07,27.57793
2020-07-08,23.38129
2020-07-09,24.46043
2020-07-10,19.18465
2020-07-11,17.7458
2020-07-12,16.90647
2020-07-13,23.98081
2020-07-14,20.6235
2020-07-15,17.62589
2020-07-16,20.38369
2020-07-17,21.94244
2020-07-18,16.90647
2020-07-19,11.9904
2020-07-20,24.46043
2020-07-21,22.66187
2020-07-22,25.41966
2020-07-23,24.82014
2020-07-24,20.8633
2020-07-25,13.54916
2020-07-26,15.34772
2020-07-27,22.30215
2020-07-28,18.94484
2020-07-29,21.22302
2020-07-30,23.02158
2020-07-31,15.58752
2020-08-01,13.30935
2020-08-02,12.47002
2020-08-03,22.42206
2020-08-04,19.06474
2020-08-05,26.4988
2020-08-06,20.02398
2020-08-07,21.34292
2020-08-08,12.94964
2020-08-09,17.26618
2020-08-10,26.37889
2020-08-11,28.29736
2020-08-12,23.86091
2020-08-13,25.05995
2020-08-14,21.58273
2020-08-15,13.42925
2020-08-16,16.90647
2020-08-17,14.50839
2020-08-18,19.90407
2020-08-19,19.06474
2020-08-20,17.38609
2020-08-21,14.02877
2020-08-22,14.02877
2020-08-23,14.14868
2020-08-24,20.8633
2020-08-25,17.26618
2020-08-26,19.42446
2020-08-27,20.02398
2020-08-28,23.14148
2020-08-29,14.8681
2020-08-30,12.23021
2020-08-31,20.38369
2020-09-01,19.30455
2020-09-02,24.70023
2020-09-03,20.38369
2020-09-04,19.54436
2020-09-05,18.10551
2020-09-06,16.06714
2020-09-07,23.14148
2020-09-08,17.02637
2020-09-09,22.66187
2020-09-10,19.90407
2020-09-11,17.02637
2020-09-12,11.63069
2020-09-13,11.9904
2020-09-14,21.10311
2020-09-15,19.66426
2020-09-16,23.38129
2020-09-17,21.34292
2020-09-18,18.70503
2020-09-19,13.18944
2020-09-20,14.38848
2020-09-21,21.34292
2020-09-22,22.42206
2020-09-23,21.46282
2020-09-24,18.10551
2020-09-25,14.62829
2020-09-26,11.27098
2020-09-27,13.30935
2020-09-28,15.46762
2020-09-29,19.06474
2020-09-30,9.59232
2020-10-01,9.59232
2020-10-02,13.30935
2020-10-03,13.78896
2020-10-04,14.14868
2020-10-05,23.14148
2020-10-06,25.89928
2020-10-07,26.4988
