date,재건축
2020-03-20,4.66364
2020-03-21,4.04457
2020-03-22,3.94827
2020-03-23,5.25519
2020-03-24,5.00756
2020-03-25,4.04457
2020-03-26,4.59485
2020-03-27,4.82872
2020-03-28,2.95776
2020-03-29,3.54931
2020-03-30,4.53982
2020-03-31,4.34722
2020-04-01,4.66364
2020-04-02,4.12711
2020-04-03,4.23717
2020-04-04,3.75567
2020-04-05,3.87948
2020-04-06,5.40652
2020-04-07,5.73669
2020-04-08,4.82872
2020-04-09,4.12711
2020-04-10,4.82872
2020-04-11,4.1959
2020-04-12,3.86573
2020-04-13,5.29646
2020-04-14,5.44779
2020-04-15,4.60861
2020-04-16,8.47434
2020-04-17,8.81826
2020-04-18,6.68592
2020-04-19,6.76846
2020-04-20,6.93355
2020-04-21,8.1029
2020-04-22,7.08488
2020-04-23,7.58013
2020-04-24,4.96629
2020-04-25,4.52606
2020-04-26,4.67739
2020-04-27,5.72293
2020-04-28,6.35575
2020-04-29,5.5716
2020-04-30,4.47104
2020-05-01,4.59485
2020-05-02,5.1864
2020-05-03,4.59485
2020-05-04,5.61287
2020-05-05,5.46154
2020-05-06,9.73999
2020-05-07,8.37804
2020-05-08,8.0066
2020-05-09,5.43403
2020-05-10,4.77369
2020-05-11,5.55784
2020-05-12,5.4753
2020-05-13,5.20016
2020-05-14,5.29646
2020-05-15,4.91126
2020-05-16,3.3292
2020-05-17,4.23717
2020-05-18,5.58536
2020-05-19,4.75993
2020-05-20,4.59485
2020-05-21,5.0901
2020-05-22,4.67739
2020-05-23,4.08584
2020-05-24,4.77369
2020-05-25,5.64039
2020-05-26,4.75993
2020-05-27,4.91126
2020-05-28,5.32397
2020-05-29,4.08584
2020-05-30,5.80547
2020-05-31,5.14513
2020-06-01,4.52606
2020-06-02,5.83298
2020-06-03,6.64465
2020-06-04,6.41078
2020-06-05,5.87426
2020-06-06,5.02132
2020-06-07,5.2827
2020-06-08,7.02985
2020-06-09,6.60338
2020-06-10,6.20442
2020-06-11,6.89228
2020-06-12,8.37804
2020-06-13,7.07112
2020-06-14,6.25945
2020-06-15,8.81826
2020-06-16,10.12518
2020-06-17,55.3171
2020-06-18,44.43527
2020-06-19,23.81345
2020-06-20,12.56018
2020-06-21,11.17072
2020-06-22,15.87563
2020-06-23,11.89984
2020-06-24,9.75374
2020-06-25,10.04264
2020-06-26,9.12092
2020-06-27,7.73146
2020-06-28,10.01513
2020-06-29,9.53363
2020-06-30,9.02462
2020-07-01,7.84151
2020-07-02,8.51561
2020-07-03,11.98239
2020-07-04,8.41931
2020-07-05,7.86903
2020-07-06,10.57917
2020-07-07,10.56541
2020-07-08,11.61095
2020-07-09,12.42261
2020-07-10,15.11899
2020-07-11,8.17168
2020-07-12,7.64892
2020-07-13,10.09767
2020-07-14,8.68069
2020-07-15,9.6712
2020-07-16,21.87371
2020-07-17,24.80396
2020-07-18,14.58247
2020-07-19,13.82583
2020-07-20,27.76172
2020-07-21,23.45577
2020-07-22,28.05062
2020-07-23,25.13413
2020-07-24,24.37749
2020-07-25,16.76984
2020-07-26,18.98472
2020-07-27,29.88031
2020-07-28,26.11088
2020-07-29,19.14981
2020-07-30,20.41546
2020-07-31,16.34337
2020-08-01,11.78979
2020-08-02,17.62278
2020-08-03,27.6104
2020-08-04,77.25959
2020-08-05,27.39028
2020-08-06,17.08625
2020-08-07,15.05021
2020-08-08,10.45535
2020-08-09,11.34956
