date,테슬라ETF
2020-03-20,0.81433
2020-03-22,1.30293
2020-03-24,1.46579
2020-03-25,2.11726
2020-03-26,1.30293
2020-03-27,2.28013
2020-03-28,1.30293
2020-03-29,0.81433
2020-03-30,1.30293
2020-03-31,2.11726
2020-04-01,0.81433
2020-04-03,3.58306
2020-04-04,2.44299
2020-04-06,2.28013
2020-04-07,2.60586
2020-04-08,2.93159
2020-04-09,4.56026
2020-04-10,2.93159
2020-04-11,1.14006
2020-04-12,1.95439
2020-04-13,6.02605
2020-04-14,10.74918
2020-04-15,7.32899
2020-04-16,5.04885
2020-04-17,5.37459
2020-04-18,4.23452
2020-04-19,2.28013
2020-04-20,1.79153
2020-04-21,2.76872
2020-04-22,2.93159
2020-04-23,1.95439
2020-04-24,2.76872
2020-04-25,1.30293
2020-04-26,3.09446
2020-04-27,5.04885
2020-04-28,5.21172
2020-04-29,4.23452
2020-04-30,6.18892
2020-05-01,2.93159
2020-05-02,2.11726
2020-05-03,0.97719
2020-05-04,2.11726
2020-05-05,3.25732
2020-05-06,3.25732
2020-05-07,1.95439
2020-05-08,1.79153
2020-05-09,3.09446
2020-05-10,4.56026
2020-05-11,3.74592
2020-05-12,5.21172
2020-05-13,5.04885
2020-05-14,2.60586
2020-05-15,4.23452
2020-05-16,3.09446
2020-05-17,1.95439
2020-05-18,3.09446
2020-05-19,5.04885
2020-05-20,3.25732
2020-05-21,5.53745
2020-05-22,3.58306
2020-05-23,1.62866
2020-05-24,1.95439
2020-05-25,2.28013
2020-05-26,7.49185
2020-05-27,7.49185
2020-05-28,6.35179
2020-05-29,4.07166
2020-05-30,5.70032
2020-05-31,13.51791
2020-06-01,18.8925
2020-06-02,22.14983
2020-06-03,19.21824
2020-06-04,13.02931
2020-06-05,11.56351
2020-06-06,8.46905
2020-06-07,7.32899
2020-06-08,10.58631
2020-06-09,15.30944
2020-06-10,17.42671
2020-06-11,21.3355
2020-06-12,11.23778
2020-06-13,4.72312
2020-06-14,5.37459
2020-06-15,8.30618
2020-06-16,13.84364
2020-06-17,9.60912
2020-06-18,8.46905
2020-06-19,6.51465
2020-06-20,7.16612
2020-06-21,7.16612
2020-06-22,6.02605
2020-06-23,11.72638
2020-06-24,8.63192
2020-06-25,6.02605
2020-06-26,4.07166
2020-06-27,3.42019
2020-06-28,1.14006
2020-06-29,7.65472
2020-06-30,9.12052
2020-07-01,12.70358
2020-07-02,25.08143
2020-07-03,22.14983
2020-07-04,11.56351
2020-07-05,10.91205
2020-07-06,26.05863
