date,TSMC관련주
2020-03-28,0.26709
2020-04-02,0.42735
2020-04-10,0.32051
2020-04-11,0.8547
2020-04-14,1.81623
2020-04-15,0.26709
2020-04-16,1.22863
2020-04-17,2.19017
2020-04-18,0.96153
2020-04-19,0.69444
2020-04-20,1.22863
2020-04-21,0.90811
2020-04-22,0.8547
2020-04-23,1.38888
2020-04-24,1.60256
2020-04-25,1.76282
2020-04-26,1.65598
2020-04-27,1.28205
2020-04-28,0.90811
2020-04-29,0.53418
2020-05-01,0.37393
2020-05-03,0.32051
2020-05-05,0.26709
2020-05-06,0.42735
2020-05-07,0.64102
2020-05-08,0.53418
2020-05-11,1.01495
2020-05-12,0.32051
2020-05-15,12.33974
2020-05-16,17.46794
2020-05-17,8.49358
2020-05-18,15.01068
2020-05-19,8.11965
2020-05-20,4.70085
2020-05-21,8.547
2020-05-22,5.39529
2020-05-23,3.47222
2020-05-24,3.25854
2020-05-25,2.88461
2020-05-26,3.04487
2020-05-27,1.28205
2020-05-28,0.5876
2020-05-29,1.22863
2020-05-30,1.01495
2020-05-31,2.19017
2020-06-01,1.38888
2020-06-02,1.38888
2020-06-03,2.13675
2020-06-04,2.35042
2020-06-05,1.81623
2020-06-06,1.06837
2020-06-07,0.74786
2020-06-08,0.69444
2020-06-09,0.69444
2020-06-10,0.5876
2020-06-11,1.54914
2020-06-12,0.69444
2020-06-13,0.42735
2020-06-14,0.69444
2020-06-15,0.48076
2020-06-16,1.01495
2020-06-17,0.42735
2020-06-18,0.37393
2020-06-19,0.74786
2020-06-20,0.48076
2020-06-21,0.69444
2020-06-22,0.8547
2020-06-23,0.53418
2020-06-24,1.12179
2020-06-25,1.33547
2020-06-26,0.96153
2020-06-28,0.69444
2020-06-29,0.42735
2020-06-30,0.26709
2020-07-02,0.26709
2020-07-03,0.74786
2020-07-04,0.26709
2020-07-05,0.26709
2020-07-06,0.96153
2020-07-07,0.74786
2020-07-08,0.42735
2020-07-09,0.69444
2020-07-10,0.48076
2020-07-11,0.80128
2020-07-12,1.06837
2020-07-13,3.52564
2020-07-14,2.67094
2020-07-15,1.01495
2020-07-16,1.7094
2020-07-17,3.47222
2020-07-18,1.7094
2020-07-19,2.35042
2020-07-20,2.61752
2020-07-21,4.00641
2020-07-22,1.60256
2020-07-23,1.60256
2020-07-24,1.12179
2020-07-25,2.35042
2020-07-26,2.19017
2020-07-27,13.51495
2020-07-28,27.35042
2020-07-29,16.29273
2020-07-30,8.76068
2020-07-31,5.18162
2020-08-01,3.31196
2020-08-02,4.00641
2020-08-03,5.07478
2020-08-04,5.18162
2020-08-05,3.79273
2020-08-06,3.20512
2020-08-07,2.40384
2020-08-08,1.49572
2020-08-09,1.76282
2020-08-10,1.65598
2020-08-11,2.72435
2020-08-12,2.35042
2020-08-13,3.04487
2020-08-14,1.7094
2020-08-15,1.4423
2020-08-16,1.38888
2020-08-17,3.1517
2020-08-18,1.76282
2020-08-19,1.33547
2020-08-20,1.38888
2020-08-21,1.60256
2020-08-22,0.90811
2020-08-23,0.96153
2020-08-24,0.90811
2020-08-25,3.31196
2020-08-26,4.70085
2020-08-27,3.68589
2020-08-28,0.90811
2020-08-29,0.8547
2020-08-30,2.297
2020-08-31,2.13675
2020-09-01,1.92307
2020-09-02,2.02991
2020-09-03,2.51068
2020-09-04,1.65598
2020-09-05,1.06837
2020-09-06,0.64102
2020-09-07,1.4423
2020-09-08,2.13675
