date,거래소
2020-03-20,7.7639
2020-03-21,1.75587
2020-03-22,1.45969
2020-03-23,5.56378
2020-03-24,5.458
2020-03-25,5.458
2020-03-26,4.52718
2020-03-27,4.04061
2020-03-28,1.39623
2020-03-29,1.31161
2020-03-30,4.46371
2020-03-31,3.93484
2020-04-01,5.41569
2020-04-02,4.8022
2020-04-03,3.5752
2020-04-04,1.29045
2020-04-05,1.41738
2020-04-06,4.25216
2020-04-07,4.29447
2020-04-08,3.72329
2020-04-09,3.49058
2020-04-10,3.30019
2020-04-11,1.16352
2020-04-12,1.45969
2020-04-13,3.59636
2020-04-14,3.30019
2020-04-15,1.67125
2020-04-16,3.46943
2020-04-17,3.08863
2020-04-18,0.99428
2020-04-19,0.93082
2020-04-20,3.89253
2020-04-21,3.13094
2020-04-22,5.20414
2020-04-23,4.67526
2020-04-24,3.08863
2020-04-25,1.03659
2020-04-26,1.2693
2020-04-27,3.46943
2020-04-28,4.59064
2020-04-29,3.74444
2020-04-30,1.92511
2020-05-01,2.15781
2020-05-02,0.8462
2020-05-03,0.86735
2020-05-04,2.17897
2020-05-05,1.14237
2020-05-06,3.17325
2020-05-07,2.77131
2020-05-08,2.47514
2020-05-09,1.14237
2020-05-10,1.03659
2020-05-11,4.04061
2020-05-12,3.49058
2020-05-13,2.87708
2020-05-14,3.00401
2020-05-15,3.02517
2020-05-16,1.35392
2020-05-17,0.97313
2020-05-18,2.98286
2020-05-19,2.91939
2020-05-20,2.9617
2020-05-21,3.30019
2020-05-22,2.87708
2020-05-23,0.67696
2020-05-24,0.90966
2020-05-25,3.42712
2020-05-26,2.60207
2020-05-27,3.91368
2020-05-28,4.08292
2020-05-29,3.3425
2020-05-30,0.93082
2020-05-31,1.03659
2020-06-01,3.04632
2020-06-02,3.30019
2020-06-03,3.59636
2020-06-04,2.98286
2020-06-05,2.94055
2020-06-06,0.8462
2020-06-07,0.95197
2020-06-08,3.51174
2020-06-09,3.06748
2020-06-10,3.21557
2020-06-11,3.80791
2020-06-12,2.55976
2020-06-13,0.88851
2020-06-14,1.03659
2020-06-15,4.10408
2020-06-16,5.09837
2020-06-17,3.13094
2020-06-18,3.72329
2020-06-19,4.46371
2020-06-20,0.90966
2020-06-21,0.93082
2020-06-22,2.77131
2020-06-23,3.1521
2020-06-24,2.9617
2020-06-25,3.06748
2020-06-26,2.22128
2020-06-27,0.8462
2020-06-28,0.76158
2020-06-29,2.47514
2020-06-30,2.39052
2020-07-01,3.51174
2020-07-02,3.55405
2020-07-03,2.83477
2020-07-04,7.72159
2020-07-05,12.05838
2020-07-06,5.54262
2020-07-07,4.97144
2020-07-08,4.90797
2020-07-09,3.82906
2020-07-10,2.75015
2020-07-11,1.39623
2020-07-12,2.09435
2020-07-13,3.25788
2020-07-14,3.1521
2020-07-15,3.08863
2020-07-16,3.21557
2020-07-17,2.45398
2020-07-18,1.54431
2020-07-19,1.77702
2020-07-20,3.40596
2020-07-21,3.44827
2020-07-22,3.44827
2020-07-23,4.04061
2020-07-24,2.60207
2020-07-25,1.22699
2020-07-26,1.31161
2020-07-27,3.1521
2020-07-28,3.21557
2020-07-29,2.87708
2020-07-30,3.85022
2020-07-31,3.44827
2020-08-01,0.78273
2020-08-02,1.73471
2020-08-03,3.32134
2020-08-04,3.23672
2020-08-05,3.89253
2020-08-06,4.78104
2020-08-07,3.04632
2020-08-08,1.37507
2020-08-09,1.43854
2020-08-10,3.78675
2020-08-11,3.82906
2020-08-12,3.32134
2020-08-13,3.30019
2020-08-14,5.37338
2020-08-15,1.73471
2020-08-16,1.8828
2020-08-17,1.65009
2020-08-18,3.9983
2020-08-19,3.61751
2020-08-20,3.78675
2020-08-21,3.1521
2020-08-22,1.12121
2020-08-23,1.33276
2020-08-24,2.75015
2020-08-25,3.36365
2020-08-26,5.41569
2020-08-27,3.51174
2020-08-28,3.32134
2020-08-29,1.41738
2020-08-30,1.62894
2020-08-31,3.13094
2020-09-01,3.97715
2020-09-02,3.95599
2020-09-03,4.75988
2020-09-04,4.23101
2020-09-05,1.73471
2020-09-06,1.6924
2020-09-07,4.06177
2020-09-08,3.61751
2020-09-09,3.1521
2020-09-10,6.40998
2020-09-11,4.71757
2020-09-12,1.52316
2020-09-13,2.05204
2020-09-14,4.10408
2020-09-15,4.25216
2020-09-16,4.31563
2020-09-17,3.5752
2020-09-18,2.91939
2020-09-19,1.01544
2020-09-20,1.43854
2020-09-21,2.729
2020-09-22,3.08863
2020-09-23,3.25788
2020-09-24,3.10979
2020-09-25,2.81362
2020-09-26,0.86735
2020-09-27,1.14237
2020-09-28,2.83477
2020-09-29,2.45398
2020-09-30,0.97313
2020-10-01,0.93082
2020-10-02,0.86735
2020-10-03,1.03659
2020-10-04,1.10006
2020-10-05,3.5752
2020-10-06,2.94055
2020-10-07,2.83477
2020-10-08,3.08863
2020-10-09,0.95197
2020-10-10,1.10006
2020-10-11,1.03659
2020-10-12,2.55976
2020-10-13,3.04632
2020-10-14,2.89824
2020-10-15,3.21557
2020-10-16,2.68669
2020-10-17,1.14237
2020-10-18,0.93082
2020-10-19,2.94055
2020-10-20,2.83477
2020-10-21,3.23672
2020-10-22,2.70784
2020-10-23,2.09435
2020-10-24,1.0789
2020-10-25,1.35392
2020-10-26,3.36365
2020-10-27,3.32134
2020-10-28,3.06748
2020-10-29,3.25788
2020-10-30,2.68669
2020-10-31,1.14237
2020-11-01,1.2693
2020-11-02,4.08292
2020-11-03,3.53289
2020-11-04,2.9617
2020-11-05,4.59064
2020-11-06,3.59636
2020-11-07,1.31161
2020-11-08,1.35392
2020-11-09,3.10979
2020-11-10,3.36365
2020-11-11,4.25216
2020-11-12,3.78675
2020-11-13,3.38481
2020-11-14,1.0789
2020-11-15,1.2693
2020-11-16,3.32134
2020-11-17,3.3425
2020-11-18,3.85022
2020-11-19,3.30019
2020-11-20,3.08863
2020-11-21,1.67125
2020-11-22,1.33276
2020-11-23,4.46371
2020-11-24,4.35794
2020-11-25,3.85022
2020-11-26,3.74444
2020-11-27,3.1521
2020-11-28,1.58662
