date,환율조회
2020-03-20,100.0
2020-03-21,18.10763
2020-03-22,11.6445
2020-03-23,88.05562
2020-03-24,74.95024
2020-03-25,70.62601
2020-03-26,63.62683
2020-03-27,59.99389
2020-03-28,13.6202
2020-03-29,9.22829
2020-03-30,60.02441
2020-03-31,51.17028
2020-04-01,51.14773
2020-04-02,52.21452
2020-04-03,45.77395
2020-04-04,11.53305
2020-04-05,7.82979
2020-04-06,44.75094
2020-04-07,44.82259
2020-04-08,43.71201
2020-04-09,41.31305
2020-04-10,39.22193
2020-04-11,9.37159
2020-04-12,7.02306
2020-04-13,40.50898
2020-04-14,36.60138
2020-04-15,12.74978
2020-04-16,40.50898
2020-04-17,37.10293
2020-04-18,8.52639
2020-04-19,6.16856
2020-04-20,37.7584
2020-04-21,47.35159
2020-04-22,41.77745
2020-04-23,38.26659
2020-04-24,37.16397
2020-04-25,9.20176
2020-04-26,6.69532
2020-04-27,36.80439
2020-04-28,35.31035
2020-04-29,33.31873
2020-04-30,11.04609
2020-05-01,10.91606
2020-05-02,6.61571
2020-05-03,6.11947
2020-05-04,31.47175
2020-05-05,10.70907
2020-05-06,33.01488
2020-05-07,29.68181
2020-05-08,28.70923
2020-05-09,7.83509
2020-05-10,5.43746
2020-05-11,31.29262
2020-05-12,29.36602
2020-05-13,27.68091
2020-05-14,28.08826
2020-05-15,28.20502
2020-05-16,7.07215
2020-05-17,5.90849
2020-05-18,30.4912
2020-05-19,31.56728
2020-05-20,29.33152
2020-05-21,28.4956
2020-05-22,30.36515
2020-05-23,8.1615
2020-05-24,6.45383
2020-05-25,35.28116
2020-05-26,37.34575
2020-05-27,33.2975
2020-05-28,34.94148
2020-05-29,31.08032
2020-05-30,8.34328
2020-05-31,5.84613
2020-06-01,34.49964
2020-06-02,32.16967
2020-06-03,34.67478
2020-06-04,32.59825
2020-06-05,32.75349
2020-06-06,7.84969
2020-06-07,5.72141
2020-06-08,35.85303
2020-06-09,37.90436
2020-06-10,37.36167
2020-06-11,36.9185
2020-06-12,35.86365
2020-06-13,8.19865
2020-06-14,5.72937
2020-06-15,36.98617
2020-06-16,36.81235
2020-06-17,35.12591
2020-06-18,31.75702
2020-06-19,28.84324
2020-06-20,7.20616
2020-06-21,5.07921
2020-06-22,30.22981
2020-06-23,29.31427
2020-06-24,29.6022
2020-06-25,29.42573
2020-06-26,28.06703
2020-06-27,6.97131
2020-06-28,5.27691
2020-06-29,31.37489
2020-06-30,31.44786
2020-07-01,28.73046
2020-07-02,27.31603
2020-07-03,25.00597
2020-07-04,6.28267
2020-07-05,4.78863
2020-07-06,28.91489
2020-07-07,29.41777
2020-07-08,27.28684
2020-07-09,25.94405
2020-07-10,25.76493
2020-07-11,6.50425
2020-07-12,4.6984
2020-07-13,26.14441
2020-07-14,26.51328
2020-07-15,25.74503
2020-07-16,25.05904
2020-07-17,23.44425
2020-07-18,6.04914
2020-07-19,4.39986
2020-07-20,25.10283
2020-07-21,25.41066
2020-07-22,27.02279
2020-07-23,25.65215
2020-07-24,25.28991
2020-07-25,6.71655
2020-07-26,4.4463
2020-07-27,27.55884
2020-07-28,30.52437
2020-07-29,28.18114
2020-07-30,28.93479
2020-07-31,28.89764
2020-08-01,6.79484
2020-08-02,4.86028
2020-08-03,25.37749
2020-08-04,23.21338
2020-08-05,24.71538
2020-08-06,26.12981
2020-08-07,24.57606
2020-08-08,6.50027
2020-08-09,4.8563
2020-08-10,25.0816
2020-08-11,24.97545
2020-08-12,24.76448
2020-08-13,23.87814
2020-08-14,22.10147
2020-08-15,5.76254
2020-08-16,4.44497
2020-08-17,10.10004
2020-08-18,24.81092
2020-08-19,23.74147
2020-08-20,27.12761
2020-08-21,24.10901
2020-08-22,6.37024
2020-08-23,4.6241
2020-08-24,26.99891
2020-08-25,24.43144
2020-08-26,23.67911
2020-08-27,22.50086
2020-08-28,21.7817
2020-08-29,6.15662
2020-08-30,4.32953
2020-08-31,25.0325
2020-09-01,24.20985
2020-09-02,22.46769
2020-09-03,22.46105
2020-09-04,24.45399
2020-09-05,6.05843
2020-09-06,4.56837
2020-09-07,22.34031
2020-09-08,21.89581
2020-09-09,23.69503
2020-09-10,22.15455
2020-09-11,20.43229
2020-09-12,5.38439
2020-09-13,3.98057
2020-09-14,21.0652
2020-09-15,23.09264
2020-09-16,24.5628
2020-09-17,25.17315
2020-09-18,31.24353
2020-09-19,7.19157
2020-09-20,4.91335
2020-09-21,29.84502
2020-09-22,29.00114
2020-09-23,26.98564
2020-09-24,28.59246
2020-09-25,25.94538
2020-09-26,6.39545
2020-09-27,4.74749
2020-09-28,24.01746
2020-09-29,20.50394
2020-09-30,6.54804
2020-10-01,5.10044
2020-10-02,5.43481
2020-10-03,4.52591
2020-10-04,4.17164
2020-10-05,25.29389
2020-10-06,25.6548
2020-10-07,24.02542
2020-10-08,25.7636
2020-10-09,9.06907
2020-10-10,6.29594
2020-10-11,4.75811
2020-10-12,30.32401
2020-10-13,26.57166
2020-10-14,25.78749
2020-10-15,24.85205
2020-10-16,22.33898
2020-10-17,5.8793
2020-10-18,4.44497
2020-10-19,24.46992
2020-10-20,25.3536
2020-10-21,27.23907
2020-10-22,26.0449
2020-10-23,24.15147
2020-10-24,6.8081
2020-10-25,5.05134
2020-10-26,27.32133
2020-10-27,26.14574
2020-10-28,26.54778
2020-10-29,27.02146
2020-10-30,25.69195
2020-10-31,6.63694
2020-11-01,5.07523
2020-11-02,25.06966
2020-11-03,23.41639
2020-11-04,29.87686
2020-11-05,31.04715
2020-11-06,27.82819
2020-11-07,7.27649
2020-11-08,5.4096
2020-11-09,33.47398
