date,HTS
2020-03-20,84.19182
2020-03-21,32.23801
2020-03-22,35.39076
2020-03-23,66.69626
2020-03-24,63.80994
2020-03-25,69.22735
2020-03-26,64.47602
2020-03-27,58.83658
2020-03-28,29.92895
2020-03-29,31.17229
2020-03-30,49.28952
2020-03-31,51.19893
2020-04-01,49.1563
2020-04-02,48.93428
2020-04-03,39.38721
2020-04-04,26.865
2020-04-05,25.75488
2020-04-06,44.93783
2020-04-07,51.77619
2020-04-08,44.49378
2020-04-09,46.09236
2020-04-10,35.16873
2020-04-11,23.40142
2020-04-12,23.93428
2020-04-13,39.07637
2020-04-14,33.57015
2020-04-15,25.75488
2020-04-16,34.72468
2020-04-17,34.45825
2020-04-18,25.48845
2020-04-19,25.71047
2020-04-20,35.34635
2020-04-21,49.82238
2020-04-22,48.44582
2020-04-23,38.49911
2020-04-24,34.10301
2020-04-25,19.04973
2020-04-26,20.73712
2020-04-27,37.5222
2020-04-28,34.23623
2020-04-29,29.35168
2020-04-30,23.62344
2020-05-01,17.58436
2020-05-02,17.36234
2020-05-03,17.0071
2020-05-04,27.13143
2020-05-05,19.98223
2020-05-06,49.64476
2020-05-07,30.95026
2020-05-08,27.08703
2020-05-09,18.65008
2020-05-10,21.98046
2020-05-11,30.81705
2020-05-12,27.57548
2020-05-13,27.08703
2020-05-14,27.35346
2020-05-15,29.04085
2020-05-16,15.49733
2020-05-17,17.14031
2020-05-18,29.5293
2020-05-19,29.08525
2020-05-20,31.43872
2020-05-21,26.95381
2020-05-22,25.88809
2020-05-23,17.58436
2020-05-24,17.31793
2020-05-25,28.10834
2020-05-26,29.61811
2020-05-27,29.92895
2020-05-28,29.84014
2020-05-29,26.28774
2020-05-30,15.67495
2020-05-31,16.38543
2020-06-01,28.50799
2020-06-02,31.12788
2020-06-03,29.04085
2020-06-04,31.2611
2020-06-05,27.93072
2020-06-06,16.42984
2020-06-07,17.0515
2020-06-08,35.12433
2020-06-09,30.81705
2020-06-10,29.88454
2020-06-11,29.84014
2020-06-12,31.48312
2020-06-13,17.85079
2020-06-14,15.54174
2020-06-15,30.28419
2020-06-16,31.03907
2020-06-17,30.50621
2020-06-18,30.90586
2020-06-19,26.64298
2020-06-20,15.58614
2020-06-21,15.67495
2020-06-22,31.52753
2020-06-23,35.25754
2020-06-24,31.43872
2020-06-25,26.24333
2020-06-26,27.97513
2020-06-27,14.07637
2020-06-28,16.87388
2020-06-29,24.60035
2020-06-30,25.31083
2020-07-01,23.35701
2020-07-02,26.42095
2020-07-03,25.84369
2020-07-04,15.67495
2020-07-05,16.34103
2020-07-06,25.22202
2020-07-07,32.72646
2020-07-08,28.50799
2020-07-09,50.17761
2020-07-10,36.45648
2020-07-11,16.0746
2020-07-12,23.00177
2020-07-13,34.10301
2020-07-14,33.0817
2020-07-15,32.50444
2020-07-16,30.28419
2020-07-17,28.5968
2020-07-18,18.87211
2020-07-19,19.7158
2020-07-20,30.59502
2020-07-21,33.48134
2020-07-22,46.00355
2020-07-23,49.51154
2020-07-24,38.80994
2020-07-25,23.57904
2020-07-26,22.11367
2020-07-27,40.00888
2020-07-28,40.36412
2020-07-29,37.38898
2020-07-30,36.10124
2020-07-31,32.28241
2020-08-01,22.86856
2020-08-02,27.39786
2020-08-03,40.14209
2020-08-04,41.25222
2020-08-05,44.36056
2020-08-06,45.91474
2020-08-07,40.27531
2020-08-08,33.39253
2020-08-09,32.1936
2020-08-10,44.00532
2020-08-11,46.53641
2020-08-12,43.07282
2020-08-13,44.00532
2020-08-14,36.50088
2020-08-15,20.87033
2020-08-16,21.00355
2020-08-17,25.66607
2020-08-18,32.54884
2020-08-19,35.34635
2020-08-20,40.63055
2020-08-21,31.83836
2020-08-22,20.69271
2020-08-23,22.3801
2020-08-24,37.03374
2020-08-25,37.5222
2020-08-26,44.7158
2020-08-27,47.55772
2020-08-28,44.62699
2020-08-29,27.04262
2020-08-30,30.32859
2020-08-31,54.21847
2020-09-01,61.76731
2020-09-02,65.45293
2020-09-03,57.1936
2020-09-04,56.34991
2020-09-05,31.57193
2020-09-06,32.99289
2020-09-07,53.81882
2020-09-08,52.88632
2020-09-09,61.6785
2020-09-10,57.28241
2020-09-11,45.02664
2020-09-12,31.52753
2020-09-13,30.01776
2020-09-14,42.53996
2020-09-15,45.91474
2020-09-16,48.00177
2020-09-17,45.73712
2020-09-18,37.12255
2020-09-19,24.86678
2020-09-20,25.13321
2020-09-21,34.68028
2020-09-22,41.96269
2020-09-23,38.72113
2020-09-24,39.65364
2020-09-25,30.01776
2020-09-26,18.8277
2020-09-27,19.18294
2020-09-28,33.39253
2020-09-29,26.8206
2020-09-30,14.74245
2020-10-01,16.38543
2020-10-02,18.56127
2020-10-03,18.38365
2020-10-04,22.15808
2020-10-05,30.59502
2020-10-06,33.43694
2020-10-07,30.15097
2020-10-08,30.63943
2020-10-09,21.00355
2020-10-10,20.11545
2020-10-11,22.20248
2020-10-12,30.01776
2020-10-13,36.6341
2020-10-14,32.1492
2020-10-15,31.61634
2020-10-16,29.21847
2020-10-17,17.49555
2020-10-18,16.65186
2020-10-19,25.9325
2020-10-20,28.90763
2020-10-21,26.77619
2020-10-22,27.44227
2020-10-23,23.75666
2020-10-24,16.03019
2020-10-25,14.69804
2020-10-26,26.19893
2020-10-27,24.37833
2020-10-28,23.97868
2020-10-29,25.39964
2020-10-30,21.75843
2020-10-31,12.65541
2020-11-01,12.96625
2020-11-02,22.51332
2020-11-03,21.84724
2020-11-04,24.02309
2020-11-05,23.09058
2020-11-06,22.60213
2020-11-07,14.74245
2020-11-08,14.87566
2020-11-09,28.19715
2020-11-10,33.57015
2020-11-11,29.21847
2020-11-12,29.4849
2020-11-13,26.90941
2020-11-14,17.49555
2020-11-15,19.40497
2020-11-16,30.32859
2020-11-17,39.3428
2020-11-18,33.43694
2020-11-19,37.83303
2020-11-20,31.83836
2020-11-21,24.51154
2020-11-22,22.24689
2020-11-23,33.92539
2020-11-24,38.36589
2020-11-25,36.50088
2020-11-26,39.52042
2020-11-27,34.0142
2020-11-28,26.73179
2020-11-29,25.0
2020-11-30,37.12255
2020-12-01,40.36412
2020-12-02,44.36056
2020-12-03,44.6714
2020-12-04,46.80284
2020-12-05,26.46536
2020-12-06,26.50976
2020-12-07,50.31083
2020-12-08,51.06571
2020-12-09,54.30728
2020-12-10,48.75666
2020-12-11,42.49555
2020-12-12,31.74955
2020-12-13,30.23978
2020-12-14,52.30905
2020-12-15,45.07104
2020-12-16,44.62699
2020-12-17,43.69449
2020-12-18,40.27531
2020-12-19,29.5293
2020-12-20,31.2611
2020-12-21,46.22557
2020-12-22,51.99822
2020-12-23,48.88987
2020-12-24,42.85079
2020-12-25,24.37833
2020-12-26,30.4174
2020-12-27,35.03552
2020-12-28,61.05683
2020-12-29,62.38898
2020-12-30,49.86678
2020-12-31,38.98756
2021-01-01,32.59325
2021-01-02,28.50799
2021-01-03,35.96802
2021-01-04,67.49555
2021-01-05,67.18472
2021-01-06,67.62877
2021-01-07,62.5222
2021-01-08,70.64831
2021-01-09,42.9396
2021-01-10,41.119
2021-01-11,85.746
2021-01-12,76.33214
2021-01-13,63.09946
2021-01-14,60.70159
2021-01-15,51.50976
2021-01-16,31.3055
2021-01-17,33.61456
2021-01-18,54.39609
2021-01-19,58.17051
2021-01-20,61.32326
2021-01-21,64.74245
2021-01-22,56.3055
2021-01-23,36.45648
2021-01-24,38.01065
2021-01-25,59.8579
2021-01-26,60.30195
2021-01-27,51.19893
2021-01-28,52.17584
2021-01-29,50.31083
2021-01-30,30.63943
2021-01-31,30.15097
2021-02-01,54.08525
2021-02-02,58.70337
