date,필리핀환율
2020-11-07,6.89655
2020-11-08,5.56584
2020-11-09,13.70053
2020-11-10,13.2666
2020-11-11,13.15089
2020-11-12,11.24739
2020-11-13,11.6061
2020-11-14,6.49155
2020-11-15,5.58898
2020-11-16,12.04582
2020-11-17,12.18467
2020-11-18,11.06803
2020-11-19,11.75653
2020-11-20,10.80189
2020-11-21,5.73941
2020-11-22,5.51376
2020-11-23,10.63411
2020-11-24,10.33904
2020-11-25,10.70932
2020-11-26,10.92918
2020-11-27,10.70932
2020-11-28,6.5494
2020-11-29,5.59476
2020-11-30,10.23489
2020-12-01,11.25318
2020-12-02,10.76718
2020-12-03,12.50289
2020-12-04,15.50566
2020-12-05,7.9669
2020-12-06,6.45105
2020-12-07,13.41124
2020-12-08,11.66975
2020-12-09,11.66396
2020-12-10,11.86068
2020-12-11,11.57718
2020-12-12,6.9949
2020-12-13,5.92455
2020-12-14,11.09118
2020-12-15,11.65239
2020-12-16,11.09118
2020-12-17,10.51839
2020-12-18,10.20597
2020-12-19,6.8329
2020-12-20,6.08655
2020-12-21,11.40939
2020-12-22,11.69289
2020-12-23,10.92918
2020-12-24,9.40754
2020-12-25,7.09326
2020-12-26,6.37005
2020-12-27,6.21962
2020-12-28,10.88868
2020-12-29,11.39203
2020-12-30,10.92918
2020-12-31,9.37861
2021-01-01,7.11062
2021-01-02,6.5494
2021-01-03,6.47998
2021-01-04,12.23675
2021-01-05,11.65239
2021-01-06,11.05068
2021-01-07,10.21175
2021-01-08,10.24647
2021-01-09,6.87919
2021-01-10,5.76255
2021-01-11,11.98796
2021-01-12,11.76232
2021-01-13,10.61675
2021-01-14,10.42582
2021-01-15,11.16061
2021-01-16,7.34205
2021-01-17,6.35269
2021-01-18,11.92432
2021-01-19,11.70446
2021-01-20,11.17218
2021-01-21,10.87711
2021-01-22,11.00439
2021-01-23,6.93705
2021-01-24,6.33533
2021-01-25,10.80768
2021-01-26,10.77296
2021-01-27,10.23489
2021-01-28,11.5251
2021-01-29,12.30039
2021-01-30,7.11062
2021-01-31,6.61883
2021-02-01,12.46817
2021-02-02,11.48461
2021-02-03,11.10853
2021-02-04,10.80189
2021-02-05,11.80282
2021-02-06,7.40569
2021-02-07,6.48576
2021-02-08,10.78454
2021-02-09,10.74404
2021-02-10,10.58782
2021-02-11,7.77019
2021-02-12,6.34691
2021-02-13,6.55519
2021-02-14,6.40476
2021-02-15,11.76232
2021-02-16,11.15482
2021-02-17,10.66304
2021-02-18,10.09604
2021-02-19,10.86554
2021-02-20,7.35362
2021-02-21,5.57741
2021-02-22,11.53668
2021-02-23,10.66882
2021-02-24,10.36797
2021-02-25,9.98032
2021-02-26,12.31196
2021-02-27,6.7114
2021-02-28,5.96505
2021-03-01,8.80583
2021-03-02,12.53182
2021-03-03,11.22425
2021-03-04,10.47211
2021-03-05,10.48947
2021-03-06,6.16755
2021-03-07,5.49641
2021-03-08,11.59453
2021-03-09,12.95417
2021-03-10,11.32839
2021-03-11,10.86554
2021-03-12,10.69196
2021-03-13,6.51469
2021-03-14,5.55426
2021-03-15,11.20111
2021-03-16,10.92339
2021-03-17,10.17704
2021-03-18,10.92339
2021-03-19,10.80768
2021-03-20,6.75769
2021-03-21,6.28326
2021-03-22,11.08539
2021-03-23,10.51839
2021-03-24,10.09604
2021-03-25,10.43739
2021-03-26,9.89932
2021-03-27,6.09233
2021-03-28,5.51376
2021-03-29,9.36125
2021-03-30,9.49433
2021-03-31,10.49525
2021-04-01,8.56861
2021-04-02,8.23883
2021-04-03,6.01712
2021-04-04,5.60055
2021-04-05,10.44318
2021-04-06,9.56375
2021-04-07,10.09025
2021-04-08,10.21754
2021-04-09,8.9794
2021-04-10,5.75098
2021-04-11,4.95255
2021-04-12,10.28697
2021-04-13,9.33811
2021-04-14,10.20597
2021-04-15,9.08933
2021-04-16,8.73061
2021-04-17,5.42119
2021-04-18,5.03934
2021-04-19,9.43647
2021-04-20,8.84633
2021-04-21,9.07197
2021-04-22,8.95626
2021-04-23,8.86947
2021-04-24,5.17819
2021-04-25,5.01041
2021-04-26,9.07197
2021-04-27,9.81254
2021-04-28,8.74218
2021-04-29,8.88683
2021-04-30,9.32075
2021-05-01,5.77991
2021-05-02,4.94677
2021-05-03,9.76047
2021-05-04,9.3439
2021-05-05,7.98426
2021-05-06,10.21175
2021-05-07,9.00254
2021-05-08,5.46169
2021-05-09,5.00462
2021-05-10,9.63318
2021-05-11,8.95626
2021-05-12,9.4249
2021-05-13,8.81161
2021-05-14,9.0199
2021-05-15,5.49641
2021-05-16,5.21291
2021-05-17,10.14232
2021-05-18,9.7489
2021-05-19,6.87919
2021-05-20,9.40175
2021-05-21,8.66697
2021-05-22,5.17819
2021-05-23,5.02198
2021-05-24,9.80097
2021-05-25,9.86461
2021-05-26,9.5059
2021-05-27,9.4654
2021-05-28,8.87526
2021-05-29,5.72784
2021-05-30,4.78477
2021-05-31,10.06132
2021-06-01,9.81832
2021-06-02,9.56954
2021-06-03,8.55704
2021-06-04,8.73061
2021-06-05,5.99976
2021-06-06,5.34019
2021-06-07,9.49433
2021-06-08,8.8984
2021-06-09,8.7364
2021-06-10,8.19254
2021-06-11,7.78176
2021-06-12,5.21291
2021-06-13,4.49548
2021-06-14,8.77111
2021-06-15,8.53968
2021-06-16,8.40661
2021-06-17,8.7364
2021-06-18,8.44133
2021-06-19,5.16084
2021-06-20,4.87155
2021-06-21,9.27447
2021-06-22,8.7364
2021-06-23,8.27354
2021-06-24,8.70747
2021-06-25,8.30826
2021-06-26,5.31705
2021-06-27,5.08562
2021-06-28,8.37769
2021-06-29,7.85119
2021-06-30,9.1819
2021-07-01,10.02661
2021-07-02,8.32561
2021-07-03,5.47905
2021-07-04,4.79055
2021-07-05,10.00925
2021-07-06,9.1819
2021-07-07,9.13561
2021-07-08,9.29761
2021-07-09,9.44804
2021-07-10,5.50798
2021-07-11,4.62277
2021-07-12,8.95047
2021-07-13,9.15297
2021-07-14,9.73732
2021-07-15,9.98611
2021-07-16,9.57532
2021-07-17,5.35177
2021-07-18,4.83105
2021-07-19,9.03725
2021-07-20,10.00925
2021-07-21,10.43161
2021-07-22,9.69104
2021-07-23,9.21083
2021-07-24,5.54848
2021-07-25,4.91205
2021-07-26,9.11825
2021-07-27,9.77782
2021-07-28,9.55797
2021-07-29,9.03147
2021-07-30,9.55797
2021-07-31,5.75676
2021-08-01,6.30641
2021-08-02,9.85304
2021-08-03,9.55797
2021-08-04,9.3034
2021-08-05,8.84633
2021-08-06,8.4934
2021-08-07,5.82619
2021-08-08,5.12612
