date,계약서
2020-03-20,88.88888
2020-03-21,42.88888
2020-03-22,33.77777
2020-03-23,96.44444
2020-03-24,92.44444
2020-03-25,87.77777
2020-03-26,96.44444
2020-03-27,91.11111
2020-03-28,42.88888
2020-03-29,43.77777
2020-03-30,98.88888
2020-03-31,93.77777
2020-04-01,87.33333
2020-04-02,90.44444
2020-04-03,68.88888
2020-04-04,37.77777
2020-04-05,39.11111
2020-04-06,87.33333
2020-04-07,87.77777
2020-04-08,81.33333
2020-04-09,78.88888
2020-04-10,70.44444
2020-04-11,35.11111
2020-04-12,41.11111
2020-04-13,92.66666
2020-04-14,73.11111
2020-04-15,48.22222
2020-04-16,90.88888
2020-04-17,90.66666
2020-04-18,38.44444
2020-04-19,42.22222
2020-04-20,94.66666
2020-04-21,80.0
2020-04-22,80.22222
2020-04-23,100.0
2020-04-24,79.33333
2020-04-25,43.77777
2020-04-26,37.11111
2020-04-27,84.22222
2020-04-28,84.22222
2020-04-29,88.22222
2020-04-30,40.0
2020-05-01,44.44444
2020-05-02,37.77777
2020-05-03,34.44444
2020-05-04,69.11111
2020-05-05,45.77777
2020-05-06,82.44444
2020-05-07,81.77777
2020-05-08,78.88888
2020-05-09,46.66666
2020-05-10,38.22222
2020-05-11,89.33333
2020-05-12,77.55555
2020-05-13,91.11111
2020-05-14,78.66666
2020-05-15,84.0
2020-05-16,33.33333
2020-05-17,37.77777
2020-05-18,86.22222
2020-05-19,81.11111
2020-05-20,80.22222
2020-05-21,83.33333
2020-05-22,75.11111
2020-05-23,35.11111
2020-05-24,38.22222
2020-05-25,92.0
2020-05-26,81.77777
2020-05-27,86.66666
2020-05-28,93.55555
2020-05-29,79.33333
2020-05-30,44.0
2020-05-31,37.77777
2020-06-01,85.55555
2020-06-02,88.44444
2020-06-03,84.88888
2020-06-04,82.66666
2020-06-05,85.77777
2020-06-06,37.33333
2020-06-07,39.77777
2020-06-08,86.44444
2020-06-09,78.22222
2020-06-10,87.33333
2020-06-11,83.11111
2020-06-12,73.77777
2020-06-13,38.66666
2020-06-14,37.77777
2020-06-15,87.11111
2020-06-16,84.0
2020-06-17,98.88888
2020-06-18,90.0
2020-06-19,73.55555
2020-06-20,41.11111
2020-06-21,37.77777
2020-06-22,94.0
2020-06-23,84.88888
2020-06-24,97.33333
2020-06-25,81.99999
2020-06-26,77.55555
2020-06-27,36.44444
2020-06-28,38.22222
2020-06-29,88.66666
2020-06-30,83.33333
2020-07-01,84.0
2020-07-02,76.22222
2020-07-03,72.22222
2020-07-04,38.44444
2020-07-05,39.11111
2020-07-06,88.66666
2020-07-07,84.66666
2020-07-08,93.55555
2020-07-09,85.11111
2020-07-10,82.66666
2020-07-11,40.0
2020-07-12,41.77777
2020-07-13,95.55555
2020-07-14,85.11111
2020-07-15,94.88888
2020-07-16,82.44444
2020-07-17,82.66666
2020-07-18,32.44444
2020-07-19,38.66666
2020-07-20,82.88888
2020-07-21,85.55555
2020-07-22,80.0
2020-07-23,91.55555
2020-07-24,83.55555
2020-07-25,36.0
2020-07-26,32.44444
2020-07-27,88.22222
2020-07-28,92.44444
2020-07-29,85.33333
2020-07-30,84.66666
2020-07-31,79.33333
2020-08-01,35.33333
2020-08-02,37.77777
2020-08-03,78.0
2020-08-04,75.77777
2020-08-05,81.55555
2020-08-06,72.0
2020-08-07,78.66666
2020-08-08,37.11111
2020-08-09,40.0
2020-08-10,76.88888
2020-08-11,89.77777
2020-08-12,78.0
2020-08-13,77.77777
2020-08-14,62.44444
2020-08-15,31.77777
2020-08-16,29.33333
2020-08-17,48.0
2020-08-18,74.66666
2020-08-19,81.33333
2020-08-20,80.44444
2020-08-21,74.88888
2020-08-22,38.22222
2020-08-23,36.44444
2020-08-24,83.77777
2020-08-25,76.22222
2020-08-26,81.33333
2020-08-27,87.55555
2020-08-28,87.33333
2020-08-29,41.77777
2020-08-30,36.0
2020-08-31,84.88888
2020-09-01,88.44444
2020-09-02,85.11111
2020-09-03,83.55555
2020-09-04,74.22222
2020-09-05,34.66666
2020-09-06,38.66666
2020-09-07,82.88888
2020-09-08,89.33333
2020-09-09,81.55555
2020-09-10,86.88888
2020-09-11,83.77777
2020-09-12,37.11111
2020-09-13,39.11111
2020-09-14,90.88888
2020-09-15,88.88888
2020-09-16,94.22222
2020-09-17,85.11111
2020-09-18,73.11111
2020-09-19,41.33333
2020-09-20,36.44444
2020-09-21,91.55555
2020-09-22,82.44444
2020-09-23,85.11111
2020-09-24,81.99999
2020-09-25,71.77777
2020-09-26,38.88888
2020-09-27,36.44444
2020-09-28,76.66666
2020-09-29,60.44444
2020-09-30,26.66666
2020-10-01,22.88888
2020-10-02,28.44444
2020-10-03,29.11111
2020-10-04,38.0
2020-10-05,78.44444
2020-10-06,92.0
2020-10-07,82.22222
2020-10-08,79.11111
2020-10-09,44.88888
2020-10-10,35.11111
2020-10-11,38.88888
2020-10-12,87.77777
2020-10-13,78.88888
2020-10-14,81.55555
2020-10-15,81.11111
2020-10-16,75.33333
2020-10-17,40.44444
2020-10-18,35.55555
2020-10-19,80.44444
2020-10-20,80.88888
2020-10-21,81.33333
2020-10-22,84.0
2020-10-23,70.66666
2020-10-24,38.44444
2020-10-25,41.77777
2020-10-26,95.11111
2020-10-27,85.11111
2020-10-28,86.44444
2020-10-29,82.88888
2020-10-30,72.66666
2020-10-31,40.88888
2020-11-01,38.44444
2020-11-02,78.44444
2020-11-03,77.11111
2020-11-04,86.0
2020-11-05,82.44444
2020-11-06,72.0
2020-11-07,40.44444
2020-11-08,32.22222
2020-11-09,82.88888
2020-11-10,92.0
2020-11-11,80.88888
2020-11-12,79.77777
2020-11-13,74.88888
2020-11-14,35.55555
2020-11-15,34.44444
2020-11-16,79.11111
2020-11-17,80.22222
2020-11-18,78.66666
2020-11-19,75.33333
2020-11-20,65.77777
2020-11-21,42.88888
2020-11-22,34.88888
2020-11-23,98.0
2020-11-24,78.22222
2020-11-25,84.0
2020-11-26,85.77777
2020-11-27,76.88888
2020-11-28,36.0
2020-11-29,37.11111
2020-11-30,88.22222
2020-12-01,81.55555
2020-12-02,85.33333
2020-12-03,81.33333
2020-12-04,77.33333
2020-12-05,40.22222
2020-12-06,34.0
2020-12-07,86.22222
2020-12-08,84.44444
2020-12-09,81.55555
2020-12-10,70.88888
2020-12-11,75.11111
2020-12-12,34.0
2020-12-13,29.11111
2020-12-14,81.33333
2020-12-15,79.33333
2020-12-16,84.66666
2020-12-17,71.77777
2020-12-18,72.22222
2020-12-19,45.11111
2020-12-20,41.55555
2020-12-21,92.44444
2020-12-22,84.88888
2020-12-23,78.88888
2020-12-24,75.11111
2020-12-25,32.22222
2020-12-26,40.66666
2020-12-27,40.22222
2020-12-28,81.99999
2020-12-29,81.99999
2020-12-30,73.33333
2020-12-31,67.33333
2021-01-01,34.0
2021-01-02,35.33333
2021-01-03,42.44444
2021-01-04,94.22222
2021-01-05,84.0
2021-01-06,75.77777
2021-01-07,79.33333
2021-01-08,76.66666
2021-01-09,46.0
2021-01-10,40.66666
2021-01-11,90.22222
2021-01-12,88.0
2021-01-13,81.55555
2021-01-14,86.44444
2021-01-15,82.44444
2021-01-16,44.66666
2021-01-17,40.0
2021-01-18,82.88888
2021-01-19,88.44444
2021-01-20,91.33333
2021-01-21,88.88888
2021-01-22,89.55555
2021-01-23,45.55555
2021-01-24,41.77777
2021-01-25,96.0
2021-01-26,94.22222
2021-01-27,81.55555
2021-01-28,91.11111
2021-01-29,78.44444
2021-01-30,46.22222
2021-01-31,41.55555
2021-02-01,90.88888
2021-02-02,98.0
2021-02-03,92.22222
2021-02-04,85.11111
2021-02-05,81.33333
2021-02-06,36.88888
2021-02-07,44.22222
2021-02-08,91.11111
2021-02-09,80.44444
2021-02-10,67.11111
2021-02-11,27.77777
2021-02-12,26.44444
2021-02-13,34.22222
2021-02-14,40.0
2021-02-15,76.66666
2021-02-16,86.88888
2021-02-17,85.77777
2021-02-18,88.0
2021-02-19,77.77777
2021-02-20,43.11111
2021-02-21,44.88888
2021-02-22,90.22222
2021-02-23,92.22222
2021-02-24,86.66666
2021-02-25,85.77777
2021-02-26,79.33333
2021-02-27,44.66666
2021-02-28,38.88888
2021-03-01,49.33333
2021-03-02,89.77777
2021-03-03,86.22222
2021-03-04,90.88888
2021-03-05,78.0
2021-03-06,46.44444
2021-03-07,43.11111
2021-03-08,84.0
2021-03-09,91.11111
2021-03-10,89.33333
2021-03-11,88.88888
2021-03-12,81.99999
2021-03-13,41.55555
2021-03-14,45.11111
2021-03-15,83.77777
2021-03-16,93.33333
2021-03-17,94.44444
2021-03-18,89.55555
2021-03-19,80.0
2021-03-20,46.22222
2021-03-21,42.22222
2021-03-22,87.33333
2021-03-23,90.0
2021-03-24,82.44444
2021-03-25,83.11111
2021-03-26,73.55555
2021-03-27,42.22222
2021-03-28,42.88888
2021-03-29,81.55555
2021-03-30,87.55555
2021-03-31,87.77777
