date,정기적금
2020-03-20,19.89528
2020-03-21,10.52356
2020-03-22,12.04188
2020-03-23,23.24607
2020-03-24,19.52879
2020-03-25,24.81675
2020-03-26,21.98952
2020-03-27,19.1623
2020-03-28,11.83246
2020-03-29,11.09947
2020-03-30,21.25654
2020-03-31,23.82198
2020-04-01,23.66492
2020-04-02,19.79057
2020-04-03,17.43455
2020-04-04,11.15183
2020-04-05,13.9267
2020-04-06,19.94764
2020-04-07,18.84816
2020-04-08,19.37172
2020-04-09,17.74869
2020-04-10,18.27225
2020-04-11,11.46596
2020-04-12,14.29319
2020-04-13,23.14136
2020-04-14,18.27225
2020-04-15,11.36125
2020-04-16,20.05235
2020-04-17,20.9424
2020-04-18,12.09424
2020-04-19,12.82722
2020-04-20,22.51308
2020-04-21,21.98952
2020-04-22,22.72251
2020-04-23,20.78534
2020-04-24,22.19895
2020-04-25,11.83246
2020-04-26,12.04188
2020-04-27,23.76963
2020-04-28,23.35078
2020-04-29,22.56544
2020-04-30,11.15183
2020-05-01,14.08376
2020-05-02,11.15183
2020-05-03,12.35602
2020-05-04,24.08376
2020-05-05,12.6178
2020-05-06,26.17801
2020-05-07,20.68062
2020-05-08,19.68586
2020-05-09,9.52879
2020-05-10,11.83246
2020-05-11,23.66492
2020-05-12,19.68586
2020-05-13,16.80628
2020-05-14,18.63874
2020-05-15,19.58115
2020-05-16,10.15706
2020-05-17,11.7801
2020-05-18,20.31413
2020-05-19,19.10994
2020-05-20,16.75392
2020-05-21,17.64397
2020-05-22,18.69109
2020-05-23,8.90052
2020-05-24,11.93717
2020-05-25,25.81151
2020-05-26,23.50785
2020-05-27,18.79581
2020-05-28,18.11518
2020-05-29,17.0157
2020-05-30,8.53403
2020-05-31,11.36125
2020-06-01,24.13612
2020-06-02,21.3089
2020-06-03,16.70157
2020-06-04,17.95811
2020-06-05,14.65968
2020-06-06,8.84816
2020-06-07,9.31937
2020-06-08,19.58115
2020-06-09,13.61256
2020-06-10,18.74345
2020-06-11,15.65445
2020-06-12,12.40837
2020-06-13,7.27748
2020-06-14,9.1623
2020-06-15,18.69109
2020-06-16,15.49738
2020-06-17,18.21989
2020-06-18,18.53403
2020-06-19,15.86387
2020-06-20,8.37696
2020-06-21,7.95811
2020-06-22,18.27225
2020-06-23,17.12041
2020-06-24,16.5445
2020-06-25,19.47643
