date,코인선물
2020-03-24,1.03806
2020-04-07,1.03806
2020-07-22,1.21107
2020-08-20,0.86505
2020-09-02,1.03806
2020-09-04,0.86505
2020-09-08,1.21107
2020-09-10,1.03806
2020-09-12,0.86505
2020-09-24,0.86505
2020-11-11,1.03806
2020-11-17,1.03806
2020-11-18,1.03806
2020-11-22,0.86505
2020-11-23,1.90311
2020-11-24,3.28719
2020-11-25,2.24913
2020-11-26,3.11418
2020-11-27,3.4602
2020-11-28,2.24913
2020-11-29,1.21107
2020-12-01,2.24913
2020-12-02,0.86505
2020-12-03,2.07612
2020-12-05,0.86505
2020-12-07,1.03806
2020-12-09,0.86505
2020-12-10,2.24913
2020-12-11,1.90311
2020-12-12,1.55709
2020-12-14,0.86505
2020-12-17,2.07612
2020-12-18,2.94117
2020-12-20,2.42214
2020-12-22,1.21107
2020-12-23,4.15224
2020-12-24,5.88235
2020-12-25,2.94117
2020-12-26,2.42214
2020-12-27,5.88235
2020-12-28,5.19031
2020-12-29,3.80622
2020-12-30,12.28373
2020-12-31,8.65051
2021-01-01,6.40138
2021-01-02,7.61245
2021-01-03,10.55363
2021-01-04,8.99653
2021-01-05,4.32525
2021-01-06,6.40138
2021-01-07,8.65051
2021-01-08,7.26643
2021-01-09,6.40138
2021-01-10,8.13148
2021-01-11,8.13148
2021-01-12,6.40138
2021-01-13,3.97923
2021-01-14,5.70934
2021-01-15,7.43944
2021-01-16,5.36332
2021-01-17,5.53633
2021-01-18,5.53633
2021-01-19,5.36332
2021-01-20,3.97923
2021-01-21,7.78546
2021-01-22,6.40138
2021-01-23,5.19031
2021-01-24,3.97923
2021-01-25,6.05536
2021-01-26,6.92041
2021-01-27,10.89965
2021-01-28,7.78546
2021-01-29,5.53633
2021-01-30,4.67128
2021-01-31,4.84429
2021-02-01,13.32179
2021-02-02,9.68858
2021-02-03,10.72664
2021-02-04,7.43944
2021-02-05,6.22837
2021-02-06,5.70934
2021-02-07,9.34256
2021-02-08,8.13148
2021-02-09,8.4775
2021-02-10,8.30449
2021-02-11,7.95847
2021-02-12,10.38062
2021-02-13,12.97577
2021-02-14,14.53287
2021-02-15,25.43252
2021-02-16,14.87889
2021-02-17,12.28373
2021-02-18,21.10726
2021-02-19,14.70588
2021-02-20,21.28027
2021-02-21,18.3391
2021-02-22,22.49134
2021-02-23,23.01038
