date,화재
2020-03-20,1.1917
2020-03-21,0.75484
2020-03-22,0.90165
2020-03-23,0.83361
2020-03-24,1.05419
2020-03-25,0.80927
2020-03-26,0.75842
2020-03-27,0.72905
2020-03-28,0.75197
2020-03-29,0.70614
2020-03-30,0.70327
2020-03-31,0.99332
2020-04-01,0.94677
2020-04-02,0.79709
2020-04-03,0.92242
2020-04-04,0.9217
2020-04-05,1.44236
2020-04-06,1.02841
2020-04-07,0.71831
2020-04-08,3.84081
2020-04-09,2.50802
2020-04-10,1.00836
2020-04-11,0.75484
2020-04-12,0.95035
2020-04-13,0.91168
2020-04-14,1.23037
2020-04-15,1.10146
2020-04-16,1.08929
2020-04-17,0.82717
2020-04-18,0.47911
2020-04-19,0.55359
2020-04-20,0.59441
2020-04-21,6.62455
2020-04-22,2.46003
2020-04-23,1.45382
2020-04-24,1.32276
2020-04-25,1.78683
2020-04-26,1.79113
2020-04-27,1.51397
2020-04-28,0.9482
2020-04-29,22.75624
2020-04-30,9.99914
2020-05-01,5.86828
2020-05-02,5.03108
2020-05-03,18.10401
2020-05-04,2.56388
2020-05-05,5.23805
2020-05-06,2.4765
2020-05-07,3.06591
2020-05-08,1.99739
2020-05-09,1.24613
2020-05-10,0.80568
2020-05-11,1.04703
2020-05-12,1.35785
2020-05-13,1.42087
2020-05-14,1.72883
2020-05-15,1.02555
2020-05-16,0.86298
2020-05-17,0.90666
2020-05-18,0.84364
2020-05-19,1.07067
2020-05-20,1.06207
2020-05-21,0.86799
2020-05-22,0.84078
2020-05-23,0.57436
2020-05-24,1.21032
2020-05-25,0.92099
2020-05-26,1.29125
2020-05-27,1.8162
2020-05-28,0.99905
2020-05-29,1.34782
2020-05-30,1.5061
2020-05-31,2.18574
2020-06-01,1.2318
2020-06-02,1.47817
2020-06-03,1.07138
2020-06-04,0.85367
2020-06-05,0.86656
2020-06-06,1.01051
2020-06-07,0.84364
2020-06-08,1.10719
2020-06-09,1.28623
2020-06-10,0.90308
2020-06-11,1.0678
2020-06-12,1.09287
2020-06-13,1.17666
2020-06-14,0.83863
2020-06-15,1.00979
2020-06-16,1.01481
2020-06-17,0.85295
2020-06-18,0.7047
2020-06-19,1.14801
2020-06-20,15.59169
2020-06-21,1.39581
2020-06-22,1.21963
2020-06-23,3.03297
2020-06-24,0.93674
2020-06-25,0.91884
2020-06-26,1.2669
2020-06-27,0.85796
2020-06-28,0.54858
2020-06-29,0.64956
2020-06-30,1.16807
2020-07-01,0.79351
2020-07-02,0.8329
2020-07-03,0.9525
2020-07-04,0.91096
2020-07-05,0.52709
2020-07-06,0.90452
2020-07-07,1.04775
2020-07-08,0.62951
2020-07-09,0.77919
2020-07-10,2.2237
2020-07-11,1.14801
2020-07-12,0.95178
2020-07-13,0.89234
2020-07-14,0.93173
2020-07-15,1.02268
2020-07-16,0.80425
2020-07-17,1.19385
2020-07-18,1.88996
2020-07-19,0.60086
2020-07-20,0.85367
2020-07-21,5.5768
2020-07-22,2.00383
2020-07-23,1.26188
2020-07-24,1.17379
2020-07-25,48.81832
2020-07-26,1.9272
2020-07-27,1.13441
2020-07-28,0.86942
2020-07-29,0.80282
2020-07-30,0.74481
2020-07-31,0.8107
2020-08-01,0.51707
2020-08-02,0.60444
2020-08-03,0.8551
2020-08-04,0.62521
2020-08-05,1.05992
2020-08-06,0.83433
2020-08-07,0.6911
2020-08-08,0.4519
2020-08-09,0.39675
2020-08-10,0.54357
2020-08-11,0.8859
2020-08-12,1.41872
2020-08-13,0.73407
2020-08-14,0.98258
2020-08-15,0.70327
2020-08-16,0.54142
2020-08-17,0.60731
2020-08-18,1.14873
2020-08-19,0.84507
2020-08-20,2.49584
2020-08-21,0.77561
2020-08-22,0.71187
2020-08-23,0.95035
2020-08-24,1.1695
2020-08-25,0.73335
2020-08-26,0.61805
2020-08-27,0.57293
2020-08-28,0.66388
2020-08-29,1.16807
2020-08-30,0.62449
2020-08-31,0.71187
2020-09-01,0.50275
2020-09-02,0.52351
2020-09-03,0.50418
2020-09-04,0.67964
2020-09-05,0.78348
2020-09-06,0.74696
2020-09-07,0.62091
2020-09-08,0.62951
2020-09-09,0.72619
2020-09-10,0.8107
2020-09-11,0.83147
2020-09-12,0.47768
2020-09-13,1.18454
2020-09-14,2.0819
2020-09-15,0.9969
2020-09-16,1.58058
2020-09-17,1.69302
2020-09-18,2.97281
2020-09-19,1.77752
2020-09-20,14.23885
2020-09-21,11.48304
2020-09-22,1.39939
2020-09-23,1.33064
2020-09-24,0.84579
2020-09-25,1.03486
2020-09-26,1.70089
2020-09-27,0.78921
2020-09-28,1.47459
2020-09-29,100.0
2020-09-30,1.1831
2020-10-01,1.11149
2020-10-02,0.6116
2020-10-03,0.60086
2020-10-04,0.59083
2020-10-05,1.02698
2020-10-06,1.75604
2020-10-07,0.89162
2020-10-08,1.19958
2020-10-09,31.50065
2020-10-10,9.29801
2020-10-11,1.78325
2020-10-12,2.11054
2020-10-13,1.73384
2020-10-14,0.99618
2020-10-15,2.22012
2020-10-16,1.23539
2020-10-17,0.87444
2020-10-18,0.81714
2020-10-19,0.94247
2020-10-20,1.1251
2020-10-21,1.33422
2020-10-22,0.85295
2020-10-23,1.22106
2020-10-24,0.81428
2020-10-25,0.95536
2020-10-26,1.07783
2020-10-27,1.05419
2020-10-28,3.70617
2020-10-29,0.9926
2020-10-30,23.97516
2020-10-31,1.10862
2020-11-01,0.39675
2020-11-02,0.83361
2020-11-03,0.78133
2020-11-04,0.99332
2020-11-05,0.91884
