date,세무사
2020-03-20,28.05527
2020-03-21,15.05994
2020-03-22,16.18381
2020-03-23,24.63369
2020-03-24,24.57542
2020-03-25,22.47752
2020-03-26,20.81252
2020-03-27,21.64502
2020-03-28,13.96103
2020-03-29,13.99433
2020-03-30,25.02497
2020-03-31,26.5318
2020-04-01,22.33599
2020-04-02,21.59507
2020-04-03,21.82817
2020-04-04,14.91008
2020-04-05,15.40959
2020-04-06,26.30702
2020-04-07,25.4329
2020-04-08,26.3653
2020-04-09,28.57142
2020-04-10,22.41924
2020-04-11,14.56043
2020-04-12,15.86746
2020-04-13,29.14585
2020-04-14,27.38095
2020-04-15,16.64169
2020-04-16,58.23343
2020-04-17,29.17915
2020-04-18,17.19946
2020-04-19,19.63869
2020-04-20,30.90243
2020-04-21,24.75857
2020-04-22,30.31135
2020-04-23,26.9647
2020-04-24,25.24975
2020-04-25,15.46786
2020-04-26,16.96636
2020-04-27,30.00333
2020-04-28,29.10422
2020-04-29,73.32667
2020-04-30,18.82284
2020-05-01,22.25274
2020-05-02,14.89343
2020-05-03,17.71561
2020-05-04,31.74325
2020-05-05,19.59706
2020-05-06,34.47385
2020-05-07,32.13453
2020-05-08,27.32267
2020-05-09,16.27539
2020-05-10,16.81651
2020-05-11,36.66333
2020-05-12,32.11788
2020-05-13,28.73792
2020-05-14,27.50582
2020-05-15,25.77422
2020-05-16,14.69363
2020-05-17,15.23476
2020-05-18,31.993
2020-05-19,30.77755
2020-05-20,33.18348
2020-05-21,28.04695
2020-05-22,28.22177
2020-05-23,15.97569
2020-05-24,16.86646
2020-05-25,35.90576
2020-05-26,33.84115
2020-05-27,30.01165
2020-05-28,29.37895
2020-05-29,31.05228
2020-05-30,16.70829
2020-05-31,16.95804
2020-06-01,31.84315
2020-06-02,24.33399
2020-06-03,21.23709
2020-06-04,21.06227
2020-06-05,19.30569
2020-06-06,12.35431
2020-06-07,13.30336
2020-06-08,24.94172
2020-06-09,22.73559
2020-06-10,21.02897
2020-06-11,20.60439
2020-06-12,18.09024
2020-06-13,13.66133
