date,바이오ETF
2020-03-20,6.08044
2020-03-21,7.48362
2020-03-22,5.14499
2020-03-23,4.67726
2020-03-24,3.27408
2020-03-25,5.05144
2020-03-26,6.36108
2020-03-27,5.14499
2020-03-28,4.02245
2020-03-29,3.55472
2020-03-30,6.73526
2020-03-31,8.79326
2020-04-01,9.82226
2020-04-02,3.46117
2020-04-03,2.8999
2020-04-04,3.46117
2020-04-05,2.61927
2020-04-06,5.05144
2020-04-07,3.27408
2020-04-08,3.55472
2020-04-09,4.49017
2020-04-10,5.61272
2020-04-11,3.27408
2020-04-12,5.14499
2020-04-13,3.9289
2020-04-14,4.77081
2020-04-15,2.24508
2020-04-16,3.46117
2020-04-17,2.80636
2020-04-18,2.43217
2020-04-19,3.9289
2020-04-20,2.8999
2020-04-21,2.99345
2020-04-22,2.8999
2020-04-23,4.67726
2020-04-24,2.33863
2020-04-25,1.40318
2020-04-26,2.33863
2020-04-27,2.61927
2020-04-28,2.05799
2020-04-29,2.71281
2020-04-30,2.71281
2020-05-01,1.77736
2020-05-02,1.8709
2020-05-03,1.96445
2020-05-04,3.55472
2020-05-05,5.05144
2020-05-06,5.9869
2020-05-07,2.80636
2020-05-08,3.27408
2020-05-09,5.61272
2020-05-10,2.24508
2020-05-11,4.30308
2020-05-12,5.14499
2020-05-13,3.83536
2020-05-14,3.46117
2020-05-15,3.64826
2020-05-16,3.27408
2020-05-17,4.39663
2020-05-18,4.9579
2020-05-19,4.11599
2020-05-20,4.11599
2020-05-21,3.36763
2020-05-22,3.9289
2020-05-23,2.24508
2020-05-24,3.55472
2020-05-25,3.18054
2020-05-26,5.14499
2020-05-27,4.9579
2020-05-28,4.20954
2020-05-29,2.71281
2020-05-30,1.68381
2020-05-31,2.24508
2020-06-01,5.79981
2020-06-02,6.45463
2020-06-03,5.23854
2020-06-04,3.46117
2020-06-05,3.08699
2020-06-06,2.61927
2020-06-07,1.30963
2020-06-08,4.30308
2020-06-09,4.11599
2020-06-10,7.76426
2020-06-11,8.88681
2020-06-12,6.82881
2020-06-13,4.58372
2020-06-14,7.48362
2020-06-15,8.0449
2020-06-16,5.42563
2020-06-17,7.29653
2020-06-18,4.02245
2020-06-19,2.99345
2020-06-20,2.52572
2020-06-21,1.96445
2020-06-22,3.36763
2020-06-23,5.79981
2020-06-24,6.36108
2020-06-25,3.74181
2020-06-26,3.9289
2020-06-27,1.49672
2020-06-28,2.52572
2020-06-29,3.74181
2020-06-30,3.9289
2020-07-01,4.30308
2020-07-02,6.26753
2020-07-03,4.02245
2020-07-04,1.59027
2020-07-05,1.40318
2020-07-06,3.46117
2020-07-07,3.46117
2020-07-08,3.83536
2020-07-09,2.61927
2020-07-10,3.18054
2020-07-11,1.68381
2020-07-12,2.71281
2020-07-13,5.61272
2020-07-14,4.11599
2020-07-15,3.9289
2020-07-16,3.08699
2020-07-17,2.15154
2020-07-18,1.21608
2020-07-19,0.56127
2020-07-20,4.02245
2020-07-21,5.05144
2020-07-22,6.08044
2020-07-23,17.02525
2020-07-24,9.9158
2020-07-25,2.80636
2020-07-26,4.77081
2020-07-27,8.0449
2020-07-28,9.16744
2020-07-29,5.89335
2020-07-30,4.67726
2020-07-31,3.9289
2020-08-01,6.08044
2020-08-02,5.61272
2020-08-03,6.92235
2020-08-04,9.35453
2020-08-05,17.49298
2020-08-06,17.77362
2020-08-07,11.59962
2020-08-08,4.86435
2020-08-09,7.57717
2020-08-10,9.16744
2020-08-11,8.32553
2020-08-12,7.85781
2020-08-13,6.08044
2020-08-14,3.08699
2020-08-15,1.96445
2020-08-16,2.71281
2020-08-17,2.33863
2020-08-18,4.9579
2020-08-19,4.9579
2020-08-20,4.30308
2020-08-21,3.55472
2020-08-22,2.61927
2020-08-23,13.47053
2020-08-24,14.40598
2020-08-25,12.06735
2020-08-26,7.48362
2020-08-27,6.92235
2020-08-28,5.05144
2020-08-29,5.14499
2020-08-30,5.9869
2020-08-31,6.73526
2020-09-01,5.89335
2020-09-02,5.42563
2020-09-03,7.10944
2020-09-04,4.11599
2020-09-05,3.08699
2020-09-06,3.18054
2020-09-07,5.05144
2020-09-08,4.11599
2020-09-09,3.36763
2020-09-10,2.33863
2020-09-11,2.71281
2020-09-12,2.15154
2020-09-13,3.27408
2020-09-14,3.46117
