date,천연가스선물
2020-03-20,6.93323
2020-03-21,2.82078
2020-03-22,1.42463
2020-03-23,6.69579
2020-03-24,7.20866
2020-03-25,6.76227
2020-03-26,6.16392
2020-03-27,4.72979
2020-03-28,1.88052
2020-03-29,0.90226
2020-03-30,4.23591
2020-03-31,5.34713
2020-04-01,4.03647
2020-04-02,5.99297
2020-04-03,7.21815
2020-04-04,3.84651
2020-04-05,2.22243
2020-04-06,6.88574
2020-04-07,8.80425
2020-04-08,10.1624
2020-04-09,7.75002
2020-04-10,5.41361
2020-04-11,2.04197
2020-04-12,1.49111
2020-04-13,5.56558
2020-04-14,4.62532
2020-04-15,3.98898
2020-04-16,6.04045
2020-04-17,6.31588
2020-04-18,3.78953
2020-04-19,1.60509
2020-04-20,4.63481
2020-04-21,10.26688
2020-04-22,9.69702
2020-04-23,9.3741
2020-04-24,6.19242
2020-04-25,3.63757
2020-04-26,2.00398
2020-04-27,7.55057
2020-04-28,8.27239
2020-04-29,6.89524
2020-04-30,7.58856
2020-05-01,6.97122
2020-05-02,2.83977
2020-05-03,1.47212
2020-05-04,5.80302
2020-05-05,9.41209
2020-05-06,8.69978
2020-05-07,9.75401
2020-05-08,7.35112
2020-05-09,4.50185
2020-05-10,1.89951
2020-05-11,6.16392
2020-05-12,6.61031
2020-05-13,13.61952
2020-05-14,14.63576
2020-05-15,10.45683
2020-05-16,5.64156
2020-05-17,2.65932
2020-05-18,7.98746
2020-05-19,9.33611
2020-05-20,7.61705
2020-05-21,9.67803
2020-05-22,8.02545
2020-05-23,3.32415
2020-05-24,1.97549
2020-05-25,6.18292
2020-05-26,7.09469
2020-05-27,7.60756
2020-05-28,6.93323
2020-05-29,5.89799
2020-05-30,2.82078
2020-05-31,1.64308
2020-06-01,8.48133
2020-06-02,7.22765
2020-06-03,8.64279
2020-06-04,7.29413
2020-06-05,5.88849
2020-06-06,2.99173
2020-06-07,1.89951
2020-06-08,6.60081
2020-06-09,5.92648
2020-06-10,7.13268
2020-06-11,5.50859
2020-06-12,3.96998
2020-06-13,2.3269
2020-06-14,1.34865
2020-06-15,4.13144
2020-06-16,6.93323
2020-06-17,6.15443
2020-06-18,5.38512
2020-06-19,4.62532
2020-06-20,2.06097
2020-06-21,1.20619
2020-06-22,4.3024
2020-06-23,4.74878
2020-06-24,4.62532
2020-06-25,5.97397
2020-06-26,9.91547
2020-06-27,3.15319
2020-06-28,1.79504
2020-06-29,5.84101
2020-06-30,9.33611
2020-07-01,5.98347
2020-07-02,5.10019
2020-07-03,4.08395
2020-07-04,2.17494
2020-07-05,1.11121
2020-07-06,7.4366
