date,코인투자방법
2020-06-04,0.96899
2020-08-07,0.96899
2020-11-24,1.55038
2020-12-02,1.16279
2020-12-06,1.35658
2020-12-17,1.55038
2020-12-20,1.74418
2021-01-01,0.96899
2021-01-02,1.16279
2021-01-04,0.96899
2021-01-07,1.35658
2021-01-12,0.96899
2021-02-03,1.55038
2021-02-04,2.32558
2021-02-05,2.71317
2021-02-07,1.35658
2021-02-08,2.32558
2021-02-10,2.90697
2021-02-11,1.35658
2021-02-15,2.13178
2021-02-16,1.55038
2021-02-17,3.10077
2021-02-18,7.75193
2021-02-19,6.20155
2021-02-20,4.06976
2021-02-21,3.48837
2021-02-22,3.68217
2021-02-23,3.48837
2021-02-24,2.51937
2021-02-25,4.45736
2021-02-26,1.16279
2021-02-27,1.16279
2021-02-28,1.35658
2021-03-02,0.96899
2021-03-03,2.13178
2021-03-04,1.93798
2021-03-05,1.74418
2021-03-06,1.35658
2021-03-08,1.93798
2021-03-09,1.93798
2021-03-10,1.93798
2021-03-11,2.51937
2021-03-12,4.06976
2021-03-13,5.03875
2021-03-14,3.29457
2021-03-15,4.65116
2021-03-16,6.39534
2021-03-17,6.39534
2021-03-18,6.78294
2021-03-19,5.81395
2021-03-20,5.81395
2021-03-21,17.24806
2021-03-22,19.18604
2021-03-23,12.4031
2021-03-24,18.41085
2021-03-25,17.44186
2021-03-26,16.66666
2021-03-27,18.99224
2021-03-28,27.32558
2021-03-29,31.97674
2021-03-30,37.98449
2021-03-31,50.38759
2021-04-01,68.02325
2021-04-02,93.99224
2021-04-03,86.4341
2021-04-04,67.44186
2021-04-05,92.05426
2021-04-06,87.59689
2021-04-07,67.05426
2021-04-08,40.89147
2021-04-09,49.6124
2021-04-10,45.93023
2021-04-11,60.85271
2021-04-12,48.06201
2021-04-13,51.74418
2021-04-14,50.38759
2021-04-15,46.89922
2021-04-16,63.75968
2021-04-17,76.74418
2021-04-18,54.26356
2021-04-19,58.33333
2021-04-20,87.79069
2021-04-21,100.0
2021-04-22,61.8217
2021-04-23,41.47286
2021-04-24,27.32558
2021-04-25,25.77519
2021-04-26,35.85271
2021-04-27,31.00775
2021-04-28,29.26356
2021-04-29,27.51937
2021-04-30,27.90697
2021-05-01,24.031
2021-05-02,25.38759
2021-05-03,33.91472
2021-05-04,34.49612
2021-05-05,49.2248
2021-05-06,50.0
2021-05-07,48.64341
2021-05-08,57.17054
2021-05-09,52.51937
2021-05-10,46.89922
2021-05-11,34.49612
2021-05-12,43.02325
2021-05-13,28.68217
2021-05-14,25.0
2021-05-15,25.58139
2021-05-16,18.79844
2021-05-17,21.12403
2021-05-18,17.82945
2021-05-19,18.79844
2021-05-20,19.18604
2021-05-21,17.82945
2021-05-22,14.92248
2021-05-23,16.66666
2021-05-24,14.72868
2021-05-25,25.38759
2021-05-26,13.56589
2021-05-27,15.50387
2021-05-28,10.27131
2021-05-29,10.65891
2021-05-30,8.52713
2021-05-31,7.94573
2021-06-01,6.58914
2021-06-02,7.94573
2021-06-03,10.07751
2021-06-04,8.91472
2021-06-05,10.07751
2021-06-06,5.81395
2021-06-07,7.75193
2021-06-08,5.03875
2021-06-09,1.35658
2021-06-10,2.32558
2021-06-18,0.96899
2021-06-19,1.16279
2021-06-21,1.74418
2021-06-22,1.55038
2021-06-23,2.90697
2021-06-24,5.42635
2021-06-25,6.97674
2021-06-26,14.72868
2021-06-27,10.27131
2021-06-28,9.10852
2021-06-29,10.07751
2021-06-30,10.27131
2021-07-01,10.27131
2021-07-02,3.87596
2021-07-03,8.13953
2021-07-04,8.33333
2021-07-05,6.20155
2021-07-06,5.23255
2021-07-07,5.81395
2021-07-08,3.87596
2021-07-09,1.93798
2021-07-10,5.42635
2021-07-11,2.71317
2021-07-12,2.71317
2021-07-13,1.93798
2021-07-14,1.55038
2021-07-15,1.35658
2021-07-17,1.93798
2021-07-21,1.55038
2021-07-29,1.55038
2021-07-31,1.16279
2021-08-07,1.35658
2021-08-08,1.74418
2021-08-09,1.55038
2021-08-10,2.71317
2021-08-11,1.16279
2021-08-12,3.10077
2021-08-13,1.93798
2021-08-14,1.55038
2021-08-15,4.26356
2021-08-16,3.10077
2021-08-17,1.16279
2021-08-18,1.55038
2021-08-19,1.74418
2021-08-21,1.55038
2021-08-22,1.74418
2021-08-23,3.29457
2021-08-24,4.26356
2021-08-25,1.35658
2021-08-26,0.96899
2021-08-29,4.45736
2021-08-31,1.93798
2021-09-02,1.35658
2021-09-03,2.71317
2021-09-04,3.68217
2021-09-05,1.35658
2021-09-06,1.93798
2021-09-07,4.06976
2021-09-08,1.16279
2021-09-09,2.13178
2021-09-10,1.16279
2021-09-11,1.16279
2021-09-12,1.74418
2021-09-13,0.96899
2021-09-14,0.96899
2021-09-16,2.13178
2021-09-17,2.13178
2021-09-18,1.55038
2021-09-19,4.06976
2021-09-20,1.16279
2021-09-22,1.74418
2021-09-23,1.55038
2021-09-24,1.93798
2021-09-26,0.96899
2021-09-28,0.96899
2021-09-29,0.96899
2021-10-02,1.55038
2021-10-04,1.16279
2021-10-05,2.51937
2021-10-06,2.32558
2021-10-07,2.32558
2021-10-08,2.90697
2021-10-09,1.35658
2021-10-10,1.35658
2021-10-11,2.32558
2021-10-13,1.55038
2021-10-14,5.62015
2021-10-15,3.48837
2021-10-16,2.13178
2021-10-17,2.32558
2021-10-18,1.16279
2021-10-19,2.71317
2021-10-21,3.10077
2021-10-22,1.74418
2021-10-23,0.96899
2021-10-24,0.96899
2021-10-25,1.74418
2021-10-26,2.71317
2021-10-27,2.32558
2021-10-28,1.16279
2021-10-29,2.71317
2021-10-31,2.51937
2021-11-01,0.96899
2021-11-02,2.32558
2021-11-03,2.90697
2021-11-04,1.35658
2021-11-05,1.16279
2021-11-06,0.96899
2021-11-07,3.10077
2021-11-08,3.29457
2021-11-09,5.23255
2021-11-10,3.29457
2021-11-11,2.13178
2021-11-12,0.96899
2021-11-13,1.55038
2021-11-14,1.74418
