date,돈버는
2020-03-20,2.95857
2020-03-21,2.95857
2020-03-22,8.87573
2020-03-23,17.15976
2020-03-24,11.2426
2020-03-25,8.87573
2020-03-26,23.66863
2020-03-27,19.52662
2020-03-28,10.05917
2020-03-29,4.73372
2020-03-30,26.0355
2020-03-31,34.91124
2020-04-01,14.20118
2020-04-02,15.97633
2020-04-03,27.81065
2020-04-04,2.95857
2020-04-05,7.10059
2020-04-06,9.46745
2020-04-07,6.50887
2020-04-08,24.26035
2020-04-09,28.99408
2020-04-10,22.4852
2020-04-11,8.87573
2020-04-12,11.2426
2020-04-13,6.50887
2020-04-14,7.10059
2020-04-15,8.87573
2020-04-16,26.0355
2020-04-17,30.17751
2020-04-18,4.14201
2020-04-19,8.28402
2020-04-20,20.11834
2020-04-21,11.2426
2020-04-22,36.68639
2020-04-23,30.17751
2020-04-24,13.60946
2020-04-25,5.32544
2020-04-26,15.97633
2020-04-27,20.11834
2020-04-28,21.89349
2020-04-29,26.0355
2020-04-30,5.91715
2020-05-01,6.50887
2020-05-02,4.14201
2020-05-03,4.14201
2020-05-04,7.6923
2020-05-05,7.6923
2020-05-06,13.60946
2020-05-07,9.46745
2020-05-08,17.15976
2020-05-09,2.95857
2020-05-11,26.0355
2020-05-12,15.38461
2020-05-13,7.6923
2020-05-14,17.75147
2020-05-15,57.39644
2020-05-16,12.42603
2020-05-17,4.14201
2020-05-18,26.0355
2020-05-19,16.56804
2020-05-20,26.0355
2020-05-21,17.75147
2020-05-22,36.09467
2020-05-23,6.50887
2020-05-24,8.87573
2020-05-25,17.15976
2020-05-26,20.11834
2020-05-27,20.71005
2020-05-28,17.15976
2020-05-29,44.97041
2020-05-30,4.73372
2020-05-31,4.14201
2020-06-01,33.13609
2020-06-02,18.34319
2020-06-03,11.83431
2020-06-04,17.75147
2020-06-05,42.01183
2020-06-06,6.50887
2020-06-07,7.10059
2020-06-08,13.60946
2020-06-09,15.97633
2020-06-10,6.50887
2020-06-11,20.71005
2020-06-12,63.90532
2020-06-13,7.6923
2020-06-14,7.10059
2020-06-15,42.60355
2020-06-16,44.37869
2020-06-17,29.58579
2020-06-18,47.92899
2020-06-19,57.98816
2020-06-20,6.50887
2020-06-21,13.60946
2020-06-22,47.33727
2020-06-23,43.19526
2020-06-24,26.62721
2020-06-25,46.74556
2020-06-26,77.51479
2020-06-27,13.60946
2020-06-28,10.65088
2020-06-29,36.09467
2020-06-30,53.84615
2020-07-01,78.1065
2020-07-02,20.11834
2020-07-03,26.0355
2020-07-04,5.91715
2020-07-06,39.05325
2020-07-07,67.45562
2020-07-08,42.60355
2020-07-09,45.56213
2020-07-10,27.21893
2020-07-11,4.73372
2020-07-12,10.05917
2020-07-13,58.57988
2020-07-14,55.6213
2020-07-15,38.46153
2020-07-16,31.36094
2020-07-17,23.07692
2020-07-18,5.91715
