date,자동차다이렉트
2020-03-20,76.98412
2020-03-21,38.09523
2020-03-22,38.88888
2020-03-23,81.3492
2020-03-24,72.42063
2020-03-25,82.9365
2020-03-26,78.96825
2020-03-27,69.04761
2020-03-28,36.90476
2020-03-29,35.91269
2020-03-30,89.88095
2020-03-31,68.25396
2020-04-01,73.71031
2020-04-02,74.20634
2020-04-03,67.16269
2020-04-04,35.61507
2020-04-05,40.07936
2020-04-06,88.69047
2020-04-07,82.8373
2020-04-08,74.80158
2020-04-09,76.38888
2020-04-10,72.42063
2020-04-11,36.60714
2020-04-12,39.88095
2020-04-13,89.98015
2020-04-14,69.54365
2020-04-15,44.54365
2020-04-16,79.46428
2020-04-17,80.85317
2020-04-18,36.40873
2020-04-19,38.69047
2020-04-20,94.94047
2020-04-21,82.8373
2020-04-22,82.34126
2020-04-23,74.00793
2020-04-24,64.1865
2020-04-25,40.6746
2020-04-26,37.00396
2020-04-27,88.19444
2020-04-28,78.86904
2020-04-29,77.38095
2020-04-30,41.17063
2020-05-01,51.88492
2020-05-02,35.11904
2020-05-03,33.92857
2020-05-04,89.78174
2020-05-05,46.9246
2020-05-06,86.60714
2020-05-07,84.82142
2020-05-08,77.67857
2020-05-09,42.16269
2020-05-10,45.83333
2020-05-11,95.73412
2020-05-12,77.28174
2020-05-13,84.92063
2020-05-14,79.7619
2020-05-15,76.28968
2020-05-16,34.12698
2020-05-17,38.98809
2020-05-18,89.38492
2020-05-19,79.36507
2020-05-20,83.23412
2020-05-21,74.30555
2020-05-22,66.26984
2020-05-23,34.62301
2020-05-24,33.82936
2020-05-25,90.97222
2020-05-26,77.77777
2020-05-27,81.94444
2020-05-28,64.88095
2020-05-29,62.99603
2020-05-30,32.8373
2020-05-31,36.60714
2020-06-01,83.03571
2020-06-02,75.99206
2020-06-03,72.81746
2020-06-04,75.29761
2020-06-05,64.0873
2020-06-06,33.63095
2020-06-07,44.64285
2020-06-08,87.10317
2020-06-09,72.42063
2020-06-10,81.54761
2020-06-11,78.2738
2020-06-12,67.55952
2020-06-13,35.81349
2020-06-14,39.0873
2020-06-15,91.66666
2020-06-16,81.25
2020-06-17,75.79365
2020-06-18,76.88492
2020-06-19,65.47619
2020-06-20,34.62301
2020-06-21,39.48412
2020-06-22,88.78968
2020-06-23,81.3492
2020-06-24,78.2738
2020-06-25,81.84523
2020-06-26,68.94841
2020-06-27,29.46428
2020-06-28,38.88888
2020-06-29,91.46825
2020-06-30,80.95238
2020-07-01,73.71031
2020-07-02,71.42857
2020-07-03,66.36904
2020-07-04,32.9365
2020-07-05,41.07142
2020-07-06,92.85714
2020-07-07,74.70238
2020-07-08,68.45238
2020-07-09,70.4365
2020-07-10,64.1865
2020-07-11,29.26587
2020-07-12,34.5238
2020-07-13,85.71428
2020-07-14,78.96825
2020-07-15,70.03968
2020-07-16,67.46031
2020-07-17,61.70634
2020-07-18,32.04365
2020-07-19,36.40873
2020-07-20,86.80555
2020-07-21,73.90873
2020-07-22,67.55952
2020-07-23,65.47619
2020-07-24,65.17857
2020-07-25,31.15079
2020-07-26,37.40079
2020-07-27,85.51587
2020-07-28,67.95634
2020-07-29,66.96428
2020-07-30,69.94047
2020-07-31,60.21825
2020-08-01,33.43253
2020-08-02,35.21825
2020-08-03,69.94047
2020-08-04,66.36904
2020-08-05,66.86507
2020-08-06,62.99603
2020-08-07,62.00396
2020-08-08,31.44841
2020-08-09,32.73809
2020-08-10,83.33333
2020-08-11,72.91666
2020-08-12,69.54365
2020-08-13,61.0119
2020-08-14,63.09523
2020-08-15,32.24206
2020-08-16,31.3492
2020-08-17,51.38888
2020-08-18,87.5
2020-08-19,85.91269
