date,SPYETF
2020-03-20,66.2676
2020-03-21,56.19718
2020-03-22,60.91549
2020-03-23,51.12676
2020-03-24,52.95774
2020-03-25,50.91549
2020-03-26,44.22535
2020-03-27,34.0845
2020-03-28,23.38028
2020-03-29,25.35211
2020-03-30,24.0845
2020-03-31,23.38028
2020-04-01,20.14084
2020-04-02,18.38028
2020-04-03,17.88732
2020-04-04,14.78873
2020-04-05,17.53521
2020-04-06,18.94366
2020-04-07,20.84507
2020-04-08,20.42253
2020-04-09,22.04225
2020-04-10,21.19718
2020-04-11,18.66197
2020-04-12,18.52112
2020-04-13,18.94366
2020-04-14,16.9014
2020-04-15,17.8169
2020-04-16,13.30985
2020-04-17,18.02816
2020-04-18,15.35211
2020-04-19,18.73239
2020-04-20,20.28169
2020-04-21,15.6338
2020-04-22,15.6338
2020-04-23,15.77464
2020-04-24,13.87323
2020-04-25,14.36619
2020-04-26,18.87323
2020-04-27,15.35211
2020-04-28,13.66197
2020-04-29,13.73239
2020-04-30,15.07042
2020-05-01,12.95774
2020-05-02,14.0845
2020-05-03,15.28169
2020-05-04,12.60563
2020-05-05,15.14084
2020-05-06,13.87323
2020-05-07,15.07042
2020-05-08,10.84507
2020-05-09,12.04225
2020-05-10,10.42253
2020-05-11,15.14084
2020-05-12,12.95774
2020-05-13,12.11267
2020-05-14,13.4507
2020-05-15,10.42253
2020-05-16,12.67605
2020-05-17,10.70422
2020-05-18,13.38028
2020-05-19,17.46478
2020-05-20,25.21126
2020-05-21,22.25352
2020-05-22,19.0845
2020-05-23,13.94366
2020-05-24,13.94366
2020-05-25,18.94366
2020-05-26,21.2676
2020-05-27,16.05633
2020-05-28,14.7183
2020-05-29,11.69014
2020-05-30,10.0
2020-05-31,11.40845
2020-06-01,12.60563
2020-06-02,13.80281
2020-06-03,13.73239
2020-06-04,14.92957
2020-06-05,13.66197
2020-06-06,10.70422
2020-06-07,12.88732
2020-06-08,14.92957
2020-06-09,15.70422
2020-06-10,15.42253
2020-06-11,15.49295
2020-06-12,14.78873
2020-06-13,11.33802
2020-06-14,11.12676
2020-06-15,10.84507
2020-06-16,11.12676
2020-06-17,11.2676
2020-06-18,10.21126
