date,트레이딩뷰
2020-03-20,19.42907
2020-03-21,12.63553
2020-03-22,11.90528
2020-03-23,19.58397
2020-03-24,16.75149
2020-03-25,17.63664
2020-03-26,16.17614
2020-03-27,14.58287
2020-03-28,10.5333
2020-03-29,9.73666
2020-03-30,15.20247
2020-03-31,14.58287
2020-04-01,14.98119
2020-04-02,15.77782
2020-04-03,16.92852
2020-04-04,11.52909
2020-04-05,9.09493
2020-04-06,15.09183
2020-04-07,18.74308
2020-04-08,16.77362
2020-04-09,14.82628
2020-04-10,15.29099
2020-04-11,11.30781
2020-04-12,10.64394
2020-04-13,15.2246
2020-04-14,14.14029
2020-04-15,12.83469
2020-04-16,16.84
2020-04-17,15.51228
2020-04-18,10.66607
2020-04-19,10.33414
2020-04-20,15.20247
2020-04-21,22.32794
2020-04-22,14.98119
2020-04-23,15.31312
2020-04-24,14.47222
2020-04-25,9.95795
2020-04-26,9.98008
2020-04-27,13.94113
2020-04-28,12.90108
2020-04-29,16.04337
2020-04-30,13.919
2020-05-01,13.23301
2020-05-02,10.77672
2020-05-03,9.55963
2020-05-04,14.09603
2020-05-05,11.86103
2020-05-06,13.1445
2020-05-07,12.87895
2020-05-08,15.00331
2020-05-09,11.90528
2020-05-10,13.34366
2020-05-11,21.95175
2020-05-12,16.39743
2020-05-13,14.40584
2020-05-14,16.02124
2020-05-15,15.40163
2020-05-16,11.88315
2020-05-17,8.94003
2020-05-18,14.11816
2020-05-19,14.09603
2020-05-20,12.19296
2020-05-21,13.56494
2020-05-22,12.32573
2020-05-23,9.60389
2020-05-24,8.2319
2020-05-25,12.23722
2020-05-26,12.59128
2020-05-27,11.86103
2020-05-28,11.46271
2020-05-29,10.46691
2020-05-30,9.42686
2020-05-31,9.58176
2020-06-01,13.25514
2020-06-02,15.09183
2020-06-03,13.52069
2020-06-04,13.85262
2020-06-05,13.63133
2020-06-06,9.11706
2020-06-07,8.18765
2020-06-08,14.51648
2020-06-09,13.38791
2020-06-10,15.0697
2020-06-11,14.93693
2020-06-12,15.3795
2020-06-13,8.58597
2020-06-14,8.54171
2020-06-15,14.95906
2020-06-16,16.39743
2020-06-17,13.94113
2020-06-18,13.1445
2020-06-19,14.29519
2020-06-20,9.05067
2020-06-21,8.96215
2020-06-22,15.26886
2020-06-23,14.29519
2020-06-24,14.58287
2020-06-25,13.7641
2020-06-26,12.08231
2020-06-27,8.58597
2020-06-28,9.89156
2020-06-29,12.98959
2020-06-30,12.12657
2020-07-01,12.1487
2020-07-02,12.59128
2020-07-03,10.57756
2020-07-04,6.92631
2020-07-05,6.94843
2020-07-06,12.83469
2020-07-07,13.10024
2020-07-08,13.65346
2020-07-09,14.20668
2020-07-10,11.97167
2020-07-11,8.63022
2020-07-12,8.34255
2020-07-13,12.61341
2020-07-14,13.4543
2020-07-15,12.65766
2020-07-16,12.59128
2020-07-17,12.19296
2020-07-18,8.36468
2020-07-19,8.20978
2020-07-20,11.61761
2020-07-21,13.80836
2020-07-22,13.21088
2020-07-23,13.2994
2020-07-24,15.13609
2020-07-25,9.2277
2020-07-26,11.48484
2020-07-27,14.40584
2020-07-28,16.2204
2020-07-29,13.41004
2020-07-30,13.54281
2020-07-31,12.4585
2020-08-01,10.95375
2020-08-02,12.87895
2020-08-03,14.00752
2020-08-04,14.20668
2020-08-05,12.94534
2020-08-06,12.90108
2020-08-07,13.6092
2020-08-08,10.20137
2020-08-09,9.16131
2020-08-10,13.43217
2020-08-11,14.7599
2020-08-12,15.51228
2020-08-13,13.2994
2020-08-14,12.19296
2020-08-15,8.87364
2020-08-16,8.58597
2020-08-17,11.61761
2020-08-18,14.51648
2020-08-19,14.87054
2020-08-20,13.47643
2020-08-21,11.90528
2020-08-22,10.97587
2020-08-23,8.40894
2020-08-24,13.96326
2020-08-25,12.76831
2020-08-26,13.4543
2020-08-27,14.11816
2020-08-28,13.41004
2020-08-29,10.90949
2020-08-30,9.47112
2020-08-31,13.43217
2020-09-01,14.29519
2020-09-02,15.57866
2020-09-03,16.0655
2020-09-04,18.16773
2020-09-05,12.06019
2020-09-06,12.76831
2020-09-07,14.82628
2020-09-08,15.40163
2020-09-09,15.44589
2020-09-10,16.13188
2020-09-11,13.12237
2020-09-12,9.27196
2020-09-13,10.93162
2020-09-14,15.11396
2020-09-15,14.80416
2020-09-16,15.93272
2020-09-17,15.26886
2020-09-18,13.67559
2020-09-19,12.1487
2020-09-20,10.26775
2020-09-21,14.16242
2020-09-22,13.89687
2020-09-23,12.72405
2020-09-24,15.09183
2020-09-25,13.27727
2020-09-26,7.98849
2020-09-27,9.13919
2020-09-28,12.10444
2020-09-29,10.8431
2020-09-30,8.69661
2020-10-01,7.4574
2020-10-02,9.95795
2020-10-03,8.32042
2020-10-04,7.36888
2020-10-05,11.92741
2020-10-06,12.12657
2020-10-07,12.83469
2020-10-08,11.26355
2020-10-09,9.60389
2020-10-10,8.80725
2020-10-11,7.94423
2020-10-12,11.08652
2020-10-13,10.90949
2020-10-14,11.37419
2020-10-15,12.67979
2020-10-16,10.35627
2020-10-17,7.9221
2020-10-18,7.54591
2020-10-19,10.8431
2020-10-20,13.7641
2020-10-21,12.23722
2020-10-22,14.09603
2020-10-23,11.684
2020-10-24,8.2319
2020-10-25,9.18344
2020-10-26,12.48063
2020-10-27,11.66187
2020-10-28,13.36578
2020-10-29,12.43637
2020-10-30,12.63553
2020-10-31,9.36047
2020-11-01,7.03695
2020-11-02,12.34786
2020-11-03,12.06019
2020-11-04,12.4585
2020-11-05,15.20247
2020-11-06,15.91059
2020-11-07,8.03275
2020-11-08,8.65235
2020-11-09,14.69351
2020-11-10,13.05598
2020-11-11,13.56494
2020-11-12,13.58707
2020-11-13,13.69772
2020-11-14,9.31622
2020-11-15,9.05067
2020-11-16,12.48063
2020-11-17,14.45009
2020-11-18,16.97278
2020-11-19,15.51228
2020-11-20,13.36578
2020-11-21,11.57335
2020-11-22,13.12237
2020-11-23,17.61451
2020-11-24,21.9075
2020-11-25,18.10134
2020-11-26,22.39433
2020-11-27,19.98229
2020-11-28,13.32153
2020-11-29,14.05178
2020-11-30,21.59769
2020-12-01,21.99601
2020-12-02,18.43328
2020-12-03,16.24253
2020-12-04,15.33525
2020-12-05,11.63974
2020-12-06,10.75459
2020-12-07,15.33525
2020-12-08,16.66297
2020-12-09,18.87585
2020-12-10,16.44169
2020-12-11,15.97698
2020-12-12,13.36578
2020-12-13,13.49856
2020-12-14,15.3795
2020-12-15,15.75569
2020-12-16,19.38481
2020-12-17,25.31533
2020-12-18,18.43328
2020-12-19,13.41004
2020-12-20,13.80836
2020-12-21,22.32794
2020-12-22,20.447
2020-12-23,24.78424
2020-12-24,22.85903
2020-12-25,17.94644
2020-12-26,17.70303
2020-12-27,24.45231
2020-12-28,23.76631
2020-12-29,22.23943
2020-12-30,22.50497
2020-12-31,19.91591
2021-01-01,20.2921
2021-01-02,20.80106
2021-01-03,27.97078
2021-01-04,31.35649
2021-01-05,30.05089
2021-01-06,37.22062
2021-01-07,35.18477
2021-01-08,34.0562
2021-01-09,27.92653
2021-01-10,29.29851
2021-01-11,36.71166
2021-01-12,37.15423
2021-01-13,32.2859
2021-01-14,30.93604
2021-01-15,33.48085
2021-01-16,40.34078
2021-01-17,27.77163
2021-01-18,31.66629
2021-01-19,30.80327
2021-01-20,30.38282
2021-01-21,32.48506
2021-01-22,34.8971
2021-01-23,23.69993
2021-01-24,20.73467
2021-01-25,27.61672
2021-01-26,29.76322
2021-01-27,28.90019
2021-01-28,30.60411
2021-01-29,33.56937
2021-01-30,23.05819
2021-01-31,22.54923
2021-02-01,30.55985
2021-02-02,29.91812
2021-02-03,29.80747
2021-02-04,31.40075
2021-02-05,29.65257
2021-02-06,28.16994
2021-02-07,25.82429
2021-02-08,31.75481
2021-02-09,35.6716
2021-02-10,31.22372
2021-02-11,29.80747
2021-02-12,27.61672
2021-02-13,30.31644
2021-02-14,35.38393
2021-02-15,42.84133
2021-02-16,38.4377
2021-02-17,37.72958
2021-02-18,36.40185
2021-02-19,35.71586
