date,PYTHON
2020-03-20,62.44292
2020-03-21,40.75342
2020-03-22,48.63013
2020-03-23,70.54794
2020-03-24,81.27853
2020-03-25,71.34703
2020-03-26,68.26484
2020-03-27,61.30136
2020-03-28,41.09589
2020-03-29,43.83561
2020-03-30,62.67123
2020-03-31,60.73059
2020-04-01,64.61187
2020-04-02,60.84474
2020-04-03,50.57077
2020-04-04,38.01369
2020-04-05,43.15068
2020-04-06,53.53881
2020-04-07,62.10045
2020-04-08,53.08219
2020-04-09,64.04109
2020-04-10,50.57077
2020-04-11,33.56164
2020-04-12,37.78538
2020-04-13,56.05022
2020-04-14,54.90867
2020-04-15,49.08675
2020-04-16,68.03652
2020-04-17,67.12328
2020-04-18,42.92237
2020-04-19,37.67123
2020-04-20,64.95433
2020-04-21,68.37899
2020-04-22,64.72602
2020-04-23,60.27397
2020-04-24,46.46118
2020-04-25,32.87671
2020-04-26,36.9863
2020-04-27,56.27853
2020-04-28,54.90867
2020-04-29,51.2557
2020-04-30,36.07305
2020-05-01,34.9315
2020-05-02,26.94063
2020-05-03,32.6484
2020-05-04,47.71689
2020-05-05,33.44748
2020-05-06,55.70776
2020-05-07,55.02283
2020-05-08,53.42465
2020-05-09,40.2968
2020-05-10,40.98173
2020-05-11,60.61643
2020-05-12,59.24657
2020-05-13,59.9315
2020-05-14,57.42009
2020-05-15,48.9726
2020-05-16,33.9041
2020-05-17,39.84018
2020-05-18,55.82191
2020-05-19,58.56164
2020-05-20,59.70319
2020-05-21,53.08219
2020-05-22,49.77168
2020-05-23,33.21917
2020-05-24,35.27397
2020-05-25,55.5936
2020-05-26,61.64383
2020-05-27,54.68036
2020-05-28,49.20091
2020-05-29,43.83561
2020-05-30,31.73515
2020-05-31,32.99086
2020-06-01,54.79452
2020-06-02,52.16894
2020-06-03,52.96803
2020-06-04,56.05022
2020-06-05,48.40182
2020-06-06,32.19178
2020-06-07,37.10045
2020-06-08,56.96347
2020-06-09,57.6484
2020-06-10,56.96347
