date,ROE
2020-03-20,42.71575
2020-03-21,33.17498
2020-03-22,38.40063
2020-03-23,52.41488
2020-03-24,48.49564
2020-03-25,45.68487
2020-03-26,45.48693
2020-03-27,39.74663
2020-03-28,33.84798
2020-03-29,38.24228
2020-03-30,43.11163
2020-03-31,45.05146
2020-04-01,47.54552
2020-04-02,46.08076
2020-04-03,39.70704
2020-04-04,35.55027
2020-04-05,51.06888
2020-04-06,50.83135
2020-04-07,54.63182
2020-04-08,52.73159
2020-04-09,52.019
2020-04-10,47.03087
2020-04-11,36.1441
2020-04-12,40.41963
2020-04-13,42.95328
2020-04-14,41.8844
2020-04-15,34.63974
2020-04-16,40.97387
2020-04-17,43.66587
2020-04-18,34.48139
2020-04-19,43.78463
2020-04-20,44.49722
2020-04-21,44.37846
2020-04-22,46.15993
2020-04-23,48.37688
2020-04-24,41.80522
2020-04-25,29.49326
2020-04-26,31.86856
2020-04-27,41.64687
2020-04-28,40.02375
2020-04-29,40.14251
2020-04-30,29.21615
2020-05-01,25.81155
2020-05-02,22.01108
2020-05-03,28.78068
2020-05-04,33.33333
2020-05-05,33.17498
2020-05-06,40.77593
2020-05-07,42.12193
2020-05-08,34.75851
2020-05-09,32.10609
2020-05-10,29.61203
2020-05-11,38.87569
2020-05-12,43.82422
2020-05-13,38.79651
2020-05-14,38.24228
2020-05-15,34.91686
2020-05-16,27.63262
2020-05-17,31.35391
2020-05-18,35.62945
2020-05-19,39.66745
2020-05-20,40.38004
2020-05-21,38.95486
2020-05-22,39.11322
2020-05-23,32.58115
2020-05-24,36.50039
2020-05-25,44.22011
2020-05-26,45.44734
2020-05-27,46.71417
2020-05-28,40.45922
2020-05-29,39.19239
2020-05-30,26.24703
2020-05-31,28.89944
2020-06-01,37.1338
2020-06-02,41.76563
2020-06-03,45.52652
2020-06-04,42.63657
2020-06-05,35.39192
2020-06-06,26.9992
2020-06-07,39.19239
2020-06-08,41.72604
2020-06-09,39.90498
2020-06-10,40.1821
2020-06-11,40.22169
2020-06-12,39.74663
2020-06-13,36.57957
2020-06-14,31.51227
2020-06-15,33.88756
2020-06-16,40.81551
2020-06-17,44.85352
2020-06-18,45.44734
2020-06-19,46.15993
2020-06-20,34.63974
