date,신용카드캐시백이벤트
2020-07-01,1.72413
2020-08-17,1.43678
2020-09-01,1.43678
2020-09-07,1.72413
2020-10-06,1.43678
2020-11-12,3.44827
2020-11-30,1.43678
2021-01-16,1.43678
2021-01-20,1.43678
2021-01-21,1.43678
2021-01-22,2.5862
2021-01-27,1.43678
2021-01-28,1.43678
2021-01-31,1.72413
2021-02-08,2.87356
2021-02-09,1.43678
2021-02-12,1.43678
2021-02-15,1.43678
2021-02-18,1.43678
2021-02-20,1.72413
2021-03-17,1.43678
2021-04-06,1.43678
2021-04-28,2.01149
2021-05-02,2.01149
2021-05-03,1.43678
2021-05-11,1.43678
2021-05-30,2.01149
2021-05-31,1.43678
2021-06-11,1.43678
2021-06-23,1.43678
2021-06-24,1.43678
2021-06-26,1.43678
2021-06-27,1.43678
2021-06-29,1.43678
2021-07-01,1.72413
2021-07-06,1.43678
2021-07-08,2.01149
2021-07-11,1.72413
2021-07-20,2.5862
2021-07-21,2.29885
2021-07-24,3.44827
2021-07-25,1.72413
2021-07-30,2.01149
2021-08-01,1.72413
2021-08-02,2.29885
2021-08-03,3.16091
2021-08-04,1.43678
2021-08-05,1.72413
2021-08-06,3.16091
2021-08-08,1.43678
2021-08-09,1.43678
2021-08-13,2.01149
2021-08-17,1.72413
2021-08-18,2.01149
2021-08-20,1.72413
2021-08-21,1.43678
2021-08-22,2.29885
2021-08-24,1.43678
2021-08-25,1.43678
2021-08-30,1.72413
2021-08-31,4.02298
2021-09-01,5.74712
2021-09-02,6.60919
2021-09-03,2.01149
2021-09-04,2.29885
2021-09-05,6.03448
2021-09-06,6.60919
2021-09-07,6.60919
2021-09-08,4.02298
2021-09-09,2.29885
2021-09-10,2.87356
2021-09-11,2.01149
2021-09-12,2.87356
2021-09-13,3.16091
2021-09-14,2.01149
2021-09-15,2.29885
2021-09-16,2.01149
2021-09-17,1.43678
2021-09-18,1.72413
2021-09-19,2.5862
2021-09-20,1.72413
2021-09-21,3.44827
2021-09-22,1.43678
2021-09-23,3.44827
2021-09-24,6.60919
2021-09-25,1.72413
2021-09-26,4.02298
2021-09-27,100.0
2021-09-28,22.70114
2021-09-29,19.54022
2021-09-30,32.1839
2021-10-01,45.40229
2021-10-02,16.95402
2021-10-03,8.04597
2021-10-04,8.90804
2021-10-05,7.75862
2021-10-06,11.7816
2021-10-07,10.91954
2021-10-08,4.02298
2021-10-09,4.5977
2021-10-10,2.01149
2021-10-11,3.73563
2021-10-12,8.33333
2021-10-13,3.44827
2021-10-14,4.31034
2021-10-15,4.31034
2021-10-16,2.5862
2021-10-17,2.87356
2021-10-18,4.5977
2021-10-19,6.89655
2021-10-20,1.72413
2021-10-21,8.04597
2021-10-22,4.02298
2021-10-23,2.5862
2021-10-24,5.17241
2021-10-25,3.73563
2021-10-26,6.03448
2021-10-27,6.32183
2021-10-28,6.32183
2021-10-29,2.5862
2021-10-30,2.5862
2021-10-31,5.17241
2021-11-01,16.66666
2021-11-02,4.5977
2021-11-03,8.62068
2021-11-04,6.32183
2021-11-05,11.49425
2021-11-06,3.44827
2021-11-07,4.02298
2021-11-08,10.34482
2021-11-09,12.06896
2021-11-10,12.64367
2021-11-11,8.33333
2021-11-12,6.89655
2021-11-13,5.74712
2021-11-14,9.1954
2021-11-15,15.22988
2021-11-16,8.90804
2021-11-17,10.05747
2021-11-18,7.1839
2021-11-19,3.73563
2021-11-21,4.88505
2021-11-22,8.62068
2021-11-23,6.32183
2021-11-24,5.45977
2021-11-25,4.5977
2021-11-26,5.45977
2021-11-27,6.60919
2021-11-28,6.03448
2021-11-29,6.32183
2021-11-30,12.93103
2021-12-01,12.64367
2021-12-02,6.32183
2021-12-03,4.02298
2021-12-04,3.16091
2021-12-05,5.17241
2021-12-06,5.74712
2021-12-07,2.87356
2021-12-08,5.74712
2021-12-09,5.74712
2021-12-10,5.45977
2021-12-11,4.02298
2021-12-12,6.89655
2021-12-13,6.89655
2021-12-14,13.21839
2021-12-15,10.91954
2021-12-16,5.74712
2021-12-17,9.77011
2021-12-18,5.45977
2021-12-19,8.90804
2021-12-20,8.90804
2021-12-21,7.1839
2021-12-22,5.74712
2021-12-23,4.02298
2021-12-24,7.1839
2021-12-25,4.5977
2021-12-26,3.44827
2021-12-27,7.47126
2021-12-28,4.88505
2021-12-29,3.16091
2021-12-31,2.5862
2022-01-01,2.29885
2022-01-02,1.72413
2022-01-03,5.45977
2022-01-04,6.03448
2022-01-05,3.44827
2022-01-06,4.31034
2022-01-07,12.93103
2022-01-08,5.17241
2022-01-09,9.1954
2022-01-10,12.35632
2022-01-11,14.08045
2022-01-12,8.62068
2022-01-13,8.90804
2022-01-14,6.60919
2022-01-15,8.04597
2022-01-16,8.62068
2022-01-17,12.64367
2022-01-18,11.7816
2022-01-19,10.05747
2022-01-20,6.32183
2022-01-21,8.04597
2022-01-22,3.73563
2022-01-23,4.31034
2022-01-24,8.90804
2022-01-25,9.1954
2022-01-26,14.65517
2022-01-27,6.32183
2022-01-28,6.32183
2022-01-29,3.16091
2022-01-30,6.03448
2022-01-31,7.75862
2022-02-01,12.06896
2022-02-02,12.93103
2022-02-03,16.66666
2022-02-04,13.50574
2022-02-05,10.34482
2022-02-06,15.51724
2022-02-07,16.09195
2022-02-08,14.65517
2022-02-09,15.22988
2022-02-10,12.64367
2022-02-11,12.06896
2022-02-12,10.34482
2022-02-13,8.33333
2022-02-14,11.20689
2022-02-15,9.48275
2022-02-16,14.08045
2022-02-17,11.7816
2022-02-18,12.64367
2022-02-19,8.04597
2022-02-20,7.47126
2022-02-21,9.48275
2022-02-22,10.34482
2022-02-23,7.47126
2022-02-24,12.64367
2022-02-25,9.1954
2022-02-26,6.03448
2022-02-27,4.31034
2022-02-28,8.04597
2022-03-01,27.29885
2022-03-02,14.36781
2022-03-03,14.08045
2022-03-04,8.33333
2022-03-05,5.74712
2022-03-06,4.5977
2022-03-07,10.34482
2022-03-08,6.60919
2022-03-09,9.1954
2022-03-10,10.05747
2022-03-11,8.90804
2022-03-12,4.5977
2022-03-13,6.03448
2022-03-14,8.04597
2022-03-15,4.31034
2022-03-17,2.5862
2022-03-18,3.16091
2022-03-19,2.01149
2022-03-20,1.43678
2022-03-21,2.01149
2022-03-24,2.01149
2022-03-25,1.72413
2022-03-27,1.72413
2022-03-28,1.72413
2022-03-29,3.73563
2022-03-30,3.16091
2022-03-31,2.87356
2022-04-01,2.01149
2022-04-02,3.16091
2022-04-03,2.29885
2022-04-04,3.16091
2022-04-05,4.31034
2022-04-06,2.5862
2022-04-08,2.01149
2022-04-09,1.43678
2022-04-11,1.43678
2022-04-13,4.02298
2022-04-14,1.72413
2022-04-15,1.72413
2022-04-16,1.72413
2022-04-17,1.72413
2022-04-21,1.72413
2022-04-23,2.01149
2022-04-24,2.29885
2022-04-25,2.5862
2022-04-26,2.01149
2022-04-27,3.16091
2022-04-29,5.74712
2022-05-01,3.44827
2022-05-02,7.1839
2022-05-03,2.29885
2022-05-07,1.72413
2022-05-08,3.44827
2022-05-09,2.29885
2022-05-10,1.72413
2022-05-11,3.73563
2022-05-12,4.5977
2022-05-13,3.73563
2022-05-16,2.01149
2022-05-17,2.5862
2022-05-19,3.16091
2022-05-20,1.43678
2022-05-21,1.72413
2022-05-22,1.43678
2022-05-23,1.43678
2022-05-24,2.29885
2022-05-25,1.72413
2022-05-26,4.5977
2022-05-27,2.5862
2022-05-29,1.43678
2022-05-30,3.44827
2022-05-31,2.01149
2022-06-01,4.02298
2022-06-02,4.31034
2022-06-03,2.01149
2022-06-04,3.73563
2022-06-05,1.72413
2022-06-06,1.72413
2022-06-07,1.72413
2022-06-08,2.87356
2022-06-09,1.72413
2022-06-10,5.45977
2022-06-13,1.43678
2022-06-14,2.01149
2022-06-15,2.87356
2022-06-16,2.5862
2022-06-17,2.5862
2022-06-18,1.43678
2022-06-19,1.43678
2022-06-20,3.73563
2022-06-21,5.17241
2022-06-27,2.87356
2022-06-28,1.72413
2022-06-29,2.01149
2022-06-30,2.29885
2022-07-01,3.73563
