date,두산로보틱스주가
2022-09-21,0.46696
2022-09-22,0.43287
2022-09-23,0.17837
2022-09-24,0.05794
2022-09-25,0.07953
2022-09-26,0.22268
2022-09-27,0.18292
2022-09-28,0.10339
2022-09-29,0.49877
2022-09-30,0.70782
2022-10-01,0.27608
2022-10-02,0.15906
2022-10-03,0.40901
2022-10-04,0.36811
2022-10-05,0.2579
2022-10-06,0.73736
2022-10-07,0.55785
2022-10-08,0.18292
2022-10-09,0.18405
2022-10-10,0.19201
2022-10-11,0.28858
2022-10-12,0.21473
2022-10-13,0.13747
2022-10-14,0.24427
2022-10-15,0.52831
2022-10-16,0.14315
2022-10-17,0.37493
2022-10-18,0.39538
2022-10-19,0.33971
2022-10-20,0.13065
2022-10-21,0.21473
2022-10-22,0.14883
2022-10-23,0.19769
2022-10-24,0.19769
2022-10-25,0.13293
2022-10-26,0.1227
2022-10-27,0.11134
2022-10-28,0.26699
2022-10-29,0.10339
2022-10-30,0.07271
2022-10-31,0.1761
2022-11-01,0.15338
2022-11-02,0.10907
2022-11-03,0.14429
2022-11-04,0.13179
2022-11-05,0.13065
2022-11-06,0.0943
2022-11-07,0.11247
2022-11-08,0.11247
2022-11-09,0.13179
2022-11-10,0.09657
2022-11-11,0.12043
2022-11-12,0.12043
2022-11-13,0.0568
2022-11-14,0.10111
2022-11-15,0.13861
2022-11-16,0.05794
2022-11-17,0.08862
2022-11-18,0.06476
2022-11-19,0.04544
2022-11-20,0.04771
2022-11-21,0.06816
2022-11-22,0.5124
2022-11-23,0.43401
2022-11-24,0.16587
2022-11-25,0.12611
2022-11-26,0.09998
2022-11-27,0.0977
2022-11-28,0.11475
2022-11-29,0.08293
2022-11-30,0.23063
2022-12-01,0.13293
2022-12-02,0.11588
2022-12-03,0.06589
2022-12-04,0.06021
2022-12-05,0.14429
2022-12-06,0.09884
2022-12-07,0.07839
2022-12-08,0.07271
2022-12-09,0.05453
2022-12-10,0.04544
2022-12-11,0.04317
2022-12-12,0.05226
2022-12-13,0.05112
2022-12-14,0.05112
2022-12-15,0.04771
2022-12-16,0.05226
2022-12-17,0.03976
2022-12-18,0.03294
2022-12-19,0.06703
2022-12-20,0.04544
2022-12-21,0.02158
2022-12-22,0.03294
2022-12-23,0.03635
2022-12-24,0.02385
2022-12-25,0.02499
2022-12-26,0.04658
2022-12-27,0.03294
2022-12-28,0.07839
2022-12-29,0.08407
2022-12-30,0.02613
2022-12-31,0.00795
2023-01-01,0.03067
2023-01-02,0.06021
2023-01-03,0.17042
2023-01-04,0.25449
2023-01-05,0.14997
2023-01-06,0.18973
2023-01-07,0.15451
2023-01-08,0.05112
2023-01-09,0.2954
2023-01-10,0.26586
2023-01-11,0.1477
2023-01-12,0.15565
2023-01-13,0.11361
2023-01-14,0.07725
2023-01-15,0.07498
2023-01-16,0.21473
2023-01-17,0.21473
2023-01-18,0.09998
2023-01-19,0.12384
2023-01-20,0.06021
2023-01-21,0.02385
2023-01-22,0.08634
2023-01-23,0.08293
2023-01-24,0.11475
2023-01-25,1.15547
2023-01-26,1.00663
2023-01-27,0.57035
2023-01-28,0.26358
2023-01-29,0.22836
2023-01-30,0.66237
2023-01-31,0.46468
2023-02-01,0.25222
2023-02-02,0.1227
2023-02-03,0.13974
2023-02-04,0.08293
2023-02-05,0.10452
2023-02-06,0.09089
2023-02-07,0.17383
2023-02-08,0.31357
2023-02-09,0.11816
2023-02-10,0.10566
2023-02-11,0.08066
2023-02-12,0.07271
2023-02-13,0.17269
2023-02-14,0.16701
2023-02-15,0.09543
2023-02-16,0.07385
2023-02-17,0.0693
2023-02-18,0.03976
2023-02-19,0.03862
2023-02-20,0.10452
2023-02-21,0.12384
2023-02-22,0.07157
2023-02-23,0.38402
2023-02-24,0.18519
2023-02-25,0.35675
2023-02-26,0.34084
2023-02-27,1.69969
2023-02-28,1.43723
2023-03-01,0.62261
2023-03-02,1.68719
2023-03-03,1.79058
2023-03-04,0.69646
2023-03-05,0.75327
2023-03-06,1.20773
2023-03-07,0.70328
2023-03-08,0.60102
2023-03-09,1.11797
2023-03-10,0.90892
2023-03-11,0.33516
2023-03-12,0.33289
2023-03-13,0.47264
2023-03-14,0.41015
2023-03-15,0.53512
2023-03-16,0.83507
2023-03-17,1.01799
2023-03-18,1.40315
2023-03-19,0.8487
2023-03-20,0.69078
2023-03-21,0.9964
2023-03-22,1.05094
2023-03-23,1.21909
2023-03-24,0.80667
2023-03-25,0.33062
2023-03-26,0.37152
2023-03-27,0.5124
2023-03-28,0.54421
2023-03-29,0.46355
2023-03-30,0.6726
2023-03-31,0.45105
2023-04-01,0.34766
2023-04-02,0.20678
2023-04-03,0.35334
2023-04-04,0.46468
2023-04-05,0.39992
2023-04-06,0.37265
2023-04-07,0.29312
2023-04-08,0.17837
2023-04-09,0.15678
2023-04-10,0.29085
2023-04-11,0.2579
2023-04-12,0.2454
2023-04-13,0.27267
2023-04-14,0.20223
2023-04-15,0.0693
2023-04-16,0.13179
2023-04-17,0.4181
2023-04-18,0.66237
2023-04-19,0.2954
2023-04-20,0.31017
2023-04-21,0.36357
2023-04-22,0.27835
2023-04-23,0.17383
2023-04-24,0.23177
2023-04-25,0.17837
2023-04-26,0.21473
2023-04-27,0.30789
2023-04-28,0.22155
2023-04-29,0.14656
2023-04-30,0.74304
2023-05-01,0.68851
2023-05-02,0.40901
2023-05-03,0.26472
2023-05-04,0.17724
2023-05-05,0.15451
2023-05-06,0.12497
2023-05-07,0.12952
2023-05-08,0.22836
2023-05-09,0.2295
2023-05-10,0.33971
2023-05-11,0.92142
2023-05-12,0.56239
2023-05-13,0.33175
2023-05-14,0.42605
2023-05-15,0.52831
2023-05-16,0.30335
2023-05-17,0.27608
2023-05-18,0.23632
2023-05-19,0.24427
2023-05-20,0.14429
2023-05-21,0.16815
2023-05-22,0.3522
2023-05-23,0.24768
2023-05-24,0.35561
2023-05-25,0.32948
2023-05-26,0.27949
2023-05-27,0.1477
2023-05-28,0.14656
2023-05-29,0.11929
2023-05-30,0.25563
2023-05-31,0.20223
2023-06-01,0.22155
2023-06-02,0.21814
2023-06-03,0.14315
2023-06-04,0.22382
2023-06-05,0.25677
2023-06-06,0.22836
2023-06-07,0.74191
2023-06-08,0.83393
2023-06-09,0.85211
2023-06-10,0.51922
2023-06-11,0.37379
2023-06-12,0.51695
2023-06-13,0.8862
2023-06-14,0.44878
2023-06-15,0.27154
2023-06-16,0.2704
2023-06-17,0.21814
2023-06-18,0.34539
2023-06-19,0.3113
2023-06-20,0.31812
2023-06-21,0.28403
2023-06-22,0.33062
2023-06-23,0.27835
2023-06-24,0.17724
2023-06-25,0.24768
2023-06-26,0.38742
2023-06-27,0.28631
2023-06-28,0.21586
2023-06-29,0.29767
2023-06-30,0.25904
2023-07-01,0.27267
2023-07-02,0.18064
2023-07-03,0.37834
2023-07-04,0.28403
2023-07-05,0.36243
2023-07-06,0.31357
2023-07-07,0.24427
2023-07-08,0.14542
2023-07-09,0.217
2023-07-10,0.27495
2023-07-11,0.35902
2023-07-12,0.53967
2023-07-13,0.41924
2023-07-14,0.39311
2023-07-15,0.2045
2023-07-16,0.14429
2023-07-17,0.2579
2023-07-18,0.30108
2023-07-19,0.27381
2023-07-20,0.25904
2023-07-21,0.26358
2023-07-22,0.1511
2023-07-23,0.13747
2023-07-24,0.30108
2023-07-25,0.25109
2023-07-26,0.22836
2023-07-27,0.21018
2023-07-28,0.17724
2023-07-29,0.16133
2023-07-30,0.13633
2023-07-31,0.33403
2023-08-01,0.44423
2023-08-02,0.47491
2023-08-03,0.29426
2023-08-04,0.54421
2023-08-05,0.22609
2023-08-06,0.18632
2023-08-07,0.42605
2023-08-08,0.34766
2023-08-09,0.51922
2023-08-10,0.42378
2023-08-11,0.32494
2023-08-12,0.19769
2023-08-13,0.2295
2023-08-14,0.39538
2023-08-15,0.23063
2023-08-16,0.38856
2023-08-17,0.37265
2023-08-18,0.37265
2023-08-19,0.15678
2023-08-20,0.11929
2023-08-21,0.20791
2023-08-22,0.19655
2023-08-23,0.30676
2023-08-24,0.78394
2023-08-25,0.45673
2023-08-26,0.39765
2023-08-27,0.21132
2023-08-28,0.57716
2023-08-29,0.58625
2023-08-30,0.55671
2023-08-31,0.72486
2023-09-01,0.68737
2023-09-02,0.3488
2023-09-03,0.26586
2023-09-04,1.02822
2023-09-05,1.17933
2023-09-06,0.93164
2023-09-07,1.35657
2023-09-08,1.18842
2023-09-09,0.75099
2023-09-10,0.99981
2023-09-11,3.35166
2023-09-12,2.43137
2023-09-13,1.17478
2023-09-14,1.19978
2023-09-15,1.452
2023-09-16,0.56467
2023-09-17,0.40901
2023-09-18,1.05321
2023-09-19,1.27363
2023-09-20,1.45768
2023-09-21,2.48818
2023-09-22,2.80858
2023-09-23,1.04526
2023-09-24,0.62829
2023-09-25,3.54481
2023-09-26,2.19164
2023-09-27,1.27704
2023-09-28,0.62943
2023-09-29,0.6601
2023-09-30,0.56353
2023-10-01,0.5533
2023-10-02,0.56807
2023-10-03,0.78167
2023-10-04,4.49918
2023-10-05,100.0
2023-10-06,41.08003
2023-10-07,4.40033
2023-10-08,2.63588
2023-10-09,2.58248
2023-10-10,26.01004
2023-10-11,19.72823
2023-10-12,17.48318
2023-10-13,12.02054
2023-10-14,1.32589
2023-10-15,1.08502
2023-10-16,13.71227
2023-10-17,12.62611
2023-10-18,10.60375
2023-10-19,10.52081
2023-10-20,9.15969
2023-10-21,1.18387
2023-10-22,0.84075
2023-10-23,9.76981
2023-10-24,8.50868
2023-10-25,7.60884
2023-10-26,7.57816
2023-10-27,7.3532
2023-10-28,1.04526
2023-10-29,0.72941
2023-10-30,34.57325
2023-10-31,13.71341
2023-11-01,15.8971
2023-11-02,12.57498
2023-11-03,15.59602
2023-11-04,1.75309
2023-11-05,1.41678
2023-11-06,15.77667
2023-11-07,11.47745
2023-11-08,11.93646
2023-11-09,10.89574
2023-11-10,9.10289
2023-11-11,1.15206
2023-11-12,0.89642
2023-11-13,9.17446
2023-11-14,8.96768
2023-11-15,11.72968
2023-11-16,18.83975
2023-11-17,14.04176
2023-11-18,1.31794
2023-11-19,1.10661
2023-11-20,28.89701
2023-11-21,20.76327
2023-11-22,30.68078
2023-11-23,25.17155
2023-11-24,33.66546
2023-11-25,7.28276
2023-11-26,4.7764
2023-11-27,43.4046
2023-11-28,32.07371
2023-11-29,45.68033
2023-11-30,41.3527
2023-12-01,31.00345
2023-12-02,3.20737
2023-12-03,2.36207
2023-12-04,24.95455
2023-12-05,22.20391
2023-12-06,24.82503
2023-12-07,20.07248
2023-12-08,20.12588
2023-12-09,1.80876
2023-12-10,1.4645
2023-12-11,21.10184
2023-12-12,16.75718
2023-12-13,13.79521
2023-12-14,15.33925
2023-12-15,21.35748
2023-12-16,3.31076
2023-12-17,2.35638
2023-12-18,33.63706
2023-12-19,32.0453
2023-12-20,38.5998
2023-12-21,24.43419
2023-12-22,19.51463
2023-12-23,2.10189
2023-12-24,1.63379
2023-12-25,1.66901
2023-12-26,17.53203
2023-12-27,17.49681
2023-12-28,20.34061
2023-12-29,4.87865
2023-12-30,1.51904
2023-12-31,1.34407
2024-01-01,1.50313
2024-01-02,14.52576
2024-01-03,14.13379
2024-01-04,13.09193
2024-01-05,20.02135
2024-01-06,2.05076
2024-01-07,1.46223
2024-01-08,12.65224
2024-01-09,12.58293
2024-01-10,13.76681
2024-01-11,14.60984
2024-01-12,13.08852
2024-01-13,1.72809
2024-01-14,1.49745
2024-01-15,11.99781
2024-01-16,12.01031
2024-01-17,11.39224
2024-01-18,11.34339
2024-01-19,11.23772
2024-01-20,1.59175
2024-01-21,1.64174
2024-01-22,10.62874
2024-01-23,10.3981
2024-01-24,10.03226
2024-01-25,9.95841
2024-01-26,9.18014
2024-01-27,1.55539
2024-01-28,1.17819
2024-01-29,9.88229
2024-01-30,9.40851
2024-01-31,9.19946
2024-02-01,10.09702
2024-02-02,9.79708
2024-02-03,1.2884
2024-02-04,1.03731
2024-02-05,8.58821
2024-02-06,8.3962
2024-02-07,8.3996
2024-02-08,9.64597
2024-02-09,1.1941
2024-02-10,0.89301
2024-02-11,0.89756
2024-02-12,0.98618
2024-02-13,10.90483
2024-02-14,21.24159
2024-02-15,12.88174
2024-02-16,10.77076
2024-02-17,1.40542
2024-02-18,1.10434
2024-02-19,9.6721
2024-02-20,9.13243
2024-02-21,8.5598
2024-02-22,10.30039
2024-02-23,8.32689
2024-02-24,1.11797
2024-02-25,0.96686
2024-02-26,8.16215
2024-02-27,7.96559
2024-02-28,7.70314
2024-02-29,6.83398
2024-03-01,1.07934
2024-03-02,0.83962
2024-03-03,0.76917
2024-03-04,9.27104
2024-03-05,8.51436
2024-03-06,9.04494
2024-03-07,8.07012
2024-03-08,8.6007
2024-03-09,1.33271
2024-03-10,1.02594
2024-03-11,15.17224
2024-03-12,11.14229
2024-03-13,13.0658
2024-03-14,13.53617
2024-03-15,11.33316
2024-03-16,1.60538
2024-03-17,1.22477
2024-03-18,13.3453
2024-03-19,12.70678
2024-03-20,10.52535
