date,플렌스테드모빌
2020-03-20,38.15789
2020-03-21,33.33333
2020-03-22,39.91228
2020-03-23,44.73684
2020-03-24,41.22807
2020-03-25,40.35087
2020-03-26,46.92982
2020-03-27,38.15789
2020-03-28,32.89473
2020-03-29,25.87719
2020-03-30,35.52631
2020-03-31,39.47368
2020-04-01,31.14035
2020-04-02,34.21052
2020-04-03,33.33333
2020-04-04,21.92982
2020-04-05,26.31578
2020-04-06,33.77192
2020-04-07,31.14035
2020-04-08,28.07017
2020-04-09,34.64912
2020-04-10,34.64912
2020-04-11,41.66666
2020-04-12,41.66666
2020-04-13,34.21052
2020-04-14,34.21052
2020-04-15,41.66666
2020-04-16,41.22807
2020-04-17,25.43859
2020-04-18,28.94736
2020-04-19,34.64912
2020-04-20,33.77192
2020-04-21,36.8421
2020-04-22,38.15789
2020-04-23,30.26315
2020-04-24,20.17543
2020-04-25,27.19298
2020-04-26,33.33333
2020-04-27,30.26315
2020-04-28,41.22807
2020-04-29,39.03508
2020-04-30,30.26315
2020-05-01,28.94736
2020-05-02,26.75438
2020-05-03,37.71929
2020-05-04,34.21052
2020-05-05,35.96491
2020-05-06,27.63157
2020-05-07,35.08771
2020-05-08,27.19298
2020-05-09,26.31578
2020-05-10,24.1228
2020-05-11,31.14035
2020-05-12,28.94736
2020-05-13,27.63157
2020-05-14,28.07017
2020-05-15,23.68421
2020-05-16,26.31578
2020-05-17,22.36842
2020-05-18,31.14035
2020-05-19,37.71929
2020-05-20,21.05263
2020-05-21,29.38596
2020-05-22,25.0
2020-05-23,18.42105
2020-05-24,31.57894
2020-05-25,27.19298
2020-05-26,21.92982
2020-05-27,19.73684
2020-05-28,16.22807
2020-05-29,15.78947
2020-05-30,26.31578
2020-05-31,25.0
2020-06-01,28.94736
2020-06-02,37.2807
2020-06-03,24.5614
2020-06-04,22.36842
2020-06-05,20.17543
2020-06-06,19.29824
2020-06-07,20.61403
2020-06-08,24.1228
2020-06-09,31.57894
2020-06-10,19.73684
2020-06-11,21.92982
2020-06-12,22.80701
2020-06-13,18.42105
2020-06-14,25.87719
2020-06-15,35.52631
2020-06-16,28.07017
2020-06-17,25.87719
2020-06-18,21.92982
2020-06-19,24.1228
2020-06-20,20.61403
2020-06-21,20.17543
2020-06-22,29.38596
2020-06-23,21.05263
2020-06-24,25.43859
2020-06-25,36.4035
2020-06-26,39.91228
2020-06-27,16.66666
2020-06-28,16.66666
2020-06-29,26.75438
2020-06-30,24.1228
2020-07-01,18.85964
2020-07-02,28.50877
2020-07-03,20.61403
2020-07-04,24.1228
2020-07-05,16.22807
2020-07-06,32.45614
2020-07-07,30.26315
2020-07-08,26.75438
2020-07-09,21.05263
2020-07-10,25.43859
2020-07-11,17.98245
2020-07-12,27.63157
