date,국내증시전망
2020-03-20,39.9449
2020-03-21,29.09779
2020-03-22,30.54407
2020-03-23,36.98347
2020-03-24,37.12121
2020-03-25,37.87878
2020-03-26,28.6157
2020-03-27,21.03994
2020-03-28,18.42286
2020-03-29,17.80303
2020-03-30,19.76584
2020-03-31,16.1157
2020-04-01,17.8719
2020-04-02,16.46005
2020-04-03,11.3292
2020-04-04,8.9876
2020-04-05,11.81129
2020-04-06,17.35537
2020-04-07,18.00964
2020-04-08,12.19008
2020-04-09,11.67355
2020-04-10,11.05371
2020-04-11,10.67493
2020-04-12,12.22451
2020-04-13,12.25895
2020-04-14,10.19283
2020-04-15,7.2314
2020-04-16,10.70936
2020-04-17,12.70661
2020-04-18,9.573
2020-04-19,10.8471
2020-04-20,10.33057
2020-04-21,10.22727
2020-04-22,10.2617
2020-04-23,6.74931
2020-04-24,6.33608
2020-04-25,6.02617
2020-04-26,8.67768
2020-04-27,7.88567
2020-04-28,5.50964
2020-04-29,5.78512
2020-04-30,4.02892
2020-05-01,5.33746
2020-05-02,4.7865
2020-05-03,5.88842
2020-05-04,6.54269
2020-05-05,4.33884
2020-05-06,4.71763
2020-05-07,3.719
2020-05-08,3.47796
2020-05-09,4.2011
2020-05-10,5.26859
2020-05-11,7.47245
2020-05-12,5.9573
2020-05-13,4.47658
2020-05-14,4.23553
2020-05-15,3.06473
2020-05-16,2.89256
2020-05-17,3.89118
2020-05-18,3.51239
2020-05-19,5.23415
2020-05-20,3.40909
2020-05-21,3.65013
2020-05-22,3.75344
2020-05-23,3.1336
2020-05-24,4.8898
2020-05-25,3.44352
2020-05-26,4.16666
2020-05-27,4.09779
2020-05-28,6.47382
2020-05-29,3.6157
2020-05-30,5.09641
2020-05-31,5.4752
2020-06-01,6.19834
2020-06-02,6.68044
2020-06-03,12.25895
2020-06-04,10.2617
2020-06-05,7.02479
2020-06-06,6.33608
2020-06-07,6.99035
2020-06-08,6.23278
2020-06-09,4.3044
2020-06-10,3.89118
2020-06-11,5.23415
2020-06-12,8.43663
2020-06-13,5.3719
2020-06-14,8.84986
2020-06-15,25.61983
2020-06-16,16.18457
2020-06-17,11.22589
2020-06-18,7.19696
2020-06-19,4.51101
2020-06-20,5.23415
2020-06-21,6.19834
2020-06-22,5.3719
2020-06-23,4.47658
2020-06-24,3.65013
2020-06-25,6.47382
2020-06-26,3.92561
2020-06-27,7.12809
2020-06-28,8.81542
2020-06-29,10.88154
2020-06-30,5.16528
2020-07-01,5.88842
2020-07-02,3.82231
2020-07-03,2.99586
2020-07-04,4.16666
2020-07-05,4.57988
