date,가상화폐전망
2020-03-20,4.78866
2020-03-21,3.51843
2020-03-22,3.22616
2020-03-23,3.8669
2020-03-24,4.058
2020-03-25,4.23785
2020-03-26,4.10296
2020-03-27,3.16996
2020-03-28,3.92311
2020-03-29,2.77652
2020-03-30,2.79901
2020-03-31,2.59667
2020-04-01,2.57419
2020-04-02,2.39433
2020-04-03,2.2482
2020-04-04,2.3044
2020-04-05,1.98965
2020-04-06,3.38354
2020-04-07,4.00179
2020-04-08,2.52922
2020-04-09,2.70908
2020-04-10,2.90017
2020-04-11,2.16951
2020-04-12,2.15827
2020-04-13,2.54046
2020-04-14,2.20323
2020-04-15,1.74235
2020-04-16,2.36061
2020-04-17,2.52922
2020-04-18,2.07958
2020-04-19,1.866
2020-04-20,2.3044
2020-04-21,2.22571
2020-04-22,1.93345
2020-04-23,1.59622
2020-04-24,1.84352
2020-04-25,1.65242
2020-04-26,1.73111
2020-04-27,1.85476
2020-04-28,1.82104
2020-04-29,3.03507
2020-04-30,3.3723
2020-05-01,2.52922
2020-05-02,1.95593
2020-05-03,2.1133
2020-05-04,1.95593
2020-05-05,1.47257
2020-05-06,1.82104
2020-05-07,1.67491
2020-05-08,1.64118
2020-05-09,1.38264
2020-05-10,2.69784
2020-05-11,2.39433
2020-05-12,1.65242
2020-05-13,1.38264
2020-05-14,1.21402
2020-05-15,1.32643
2020-05-16,0.91052
2020-05-17,1.19154
2020-05-18,1.57374
2020-05-19,1.6187
2020-05-20,1.57374
2020-05-21,1.36016
2020-05-22,1.54001
2020-05-23,1.13534
2020-05-24,1.06789
2020-05-25,1.24775
2020-05-26,1.54001
2020-05-27,1.4276
2020-05-28,1.15782
2020-05-29,0.94424
2020-05-30,1.01169
2020-05-31,1.38264
2020-06-01,1.47257
2020-06-02,1.93345
2020-06-03,1.6187
2020-06-04,1.21402
2020-06-05,1.47257
2020-06-06,1.21402
2020-06-07,1.34892
2020-06-08,1.67491
2020-06-09,1.82104
2020-06-10,1.93345
2020-06-11,1.31519
2020-06-12,1.92221
2020-06-13,0.73066
2020-06-14,1.03417
2020-06-15,2.19199
2020-06-16,1.60746
2020-06-17,1.83228
2020-06-18,1.60746
2020-06-19,1.10161
2020-06-20,0.77562
2020-06-21,1.04541
2020-06-22,1.22526
2020-06-23,1.16906
2020-06-24,1.31519
2020-06-25,1.14658
2020-06-26,1.07913
2020-06-27,0.80935
2020-06-28,1.21402
2020-06-29,1.25899
2020-06-30,1.06789
2020-07-01,1.45008
2020-07-02,1.4276
2020-07-03,1.07913
2020-07-04,0.94424
2020-07-05,0.97796
2020-07-06,1.51753
2020-07-07,1.54001
2020-07-08,2.13579
2020-07-09,1.96717
2020-07-10,1.55125
2020-07-11,0.96672
2020-07-12,1.19154
2020-07-13,1.52877
2020-07-14,1.85476
2020-07-15,1.97841
2020-07-16,1.76483
2020-07-17,1.54001
2020-07-18,1.14658
2020-07-19,1.34892
2020-07-20,1.47257
2020-07-21,1.45008
2020-07-22,1.39388
2020-07-23,1.85476
2020-07-24,1.64118
2020-07-25,1.6187
2020-07-26,1.98965
2020-07-27,2.48426
2020-07-28,2.81025
2020-07-29,2.6866
2020-07-30,2.28192
2020-07-31,2.21447
2020-08-01,3.85566
2020-08-02,7.28417
2020-08-03,4.7437
2020-08-04,3.94559
2020-08-05,3.31609
2020-08-06,2.59667
2020-08-07,2.86645
2020-08-08,2.13579
2020-08-09,2.6866
2020-08-10,3.43974
