date,국고채권
2020-03-20,6.3492
2020-03-22,6.3492
2020-03-23,13.49206
2020-03-24,10.31746
2020-03-25,6.3492
2020-03-26,5.55555
2020-03-27,3.96825
2020-03-30,3.96825
2020-03-31,6.3492
2020-04-01,11.11111
2020-04-02,4.7619
2020-04-06,3.96825
2020-04-08,15.87301
2020-04-13,3.96825
2020-04-14,3.96825
2020-04-17,3.96825
2020-04-20,4.7619
2020-04-21,7.14285
2020-04-22,3.96825
2020-04-23,3.96825
2020-04-24,4.7619
2020-05-06,7.9365
2020-05-08,3.96825
2020-05-13,3.96825
2020-05-14,3.96825
2020-05-15,6.3492
2020-05-18,3.96825
2020-05-20,5.55555
2020-05-22,3.96825
2020-05-26,9.5238
2020-05-27,3.96825
2020-05-31,4.7619
2020-06-02,9.5238
2020-06-04,3.96825
2020-06-11,5.55555
2020-06-17,3.96825
2020-06-30,5.55555
2020-07-14,4.7619
2020-07-16,5.55555
2020-07-23,8.73015
2020-07-27,7.14285
2020-07-29,3.96825
2020-07-31,6.3492
2020-08-02,3.96825
2020-08-03,3.96825
2020-08-10,3.96825
2020-08-27,3.96825
2020-08-29,3.96825
2020-08-31,6.3492
2020-09-02,5.55555
2020-09-04,11.11111
2020-09-06,9.5238
2020-09-07,3.96825
2020-09-10,11.90476
2020-09-14,3.96825
2020-09-16,5.55555
2020-09-18,3.96825
2020-09-24,3.96825
2020-09-25,8.73015
2020-09-26,5.55555
2020-09-28,3.96825
2020-10-06,5.55555
2020-10-07,3.96825
2020-10-14,6.3492
2020-10-21,4.7619
2020-10-26,4.7619
2020-10-29,3.96825
2020-10-30,3.96825
2020-11-02,9.5238
2020-11-03,6.3492
2020-11-06,3.96825
2020-11-10,3.96825
2020-11-11,7.14285
2020-11-19,7.9365
2020-11-24,3.96825
2020-11-25,3.96825
2020-11-26,5.55555
2020-12-01,8.73015
2020-12-03,7.9365
2020-12-04,4.7619
2020-12-06,4.7619
2020-12-09,3.96825
2020-12-10,3.96825
2020-12-11,5.55555
2020-12-16,8.73015
2020-12-17,3.96825
2020-12-18,9.5238
2020-12-24,3.96825
2020-12-28,4.7619
2020-12-29,4.7619
2020-12-31,4.7619
2021-01-04,3.96825
2021-01-05,4.7619
2021-01-06,3.96825
2021-01-07,5.55555
2021-01-08,10.31746
2021-01-11,11.11111
2021-01-12,11.90476
2021-01-13,7.9365
2021-01-14,10.31746
2021-01-15,10.31746
2021-01-16,3.96825
2021-01-18,4.7619
2021-01-20,10.31746
2021-01-22,3.96825
2021-01-25,3.96825
2021-01-26,14.28571
2021-01-27,5.55555
2021-01-28,7.14285
2021-01-29,3.96825
2021-01-31,5.55555
2021-02-02,9.5238
2021-02-03,3.96825
2021-02-08,5.55555
2021-02-09,3.96825
2021-02-13,5.55555
2021-02-15,3.96825
2021-02-16,7.14285
2021-02-17,3.96825
2021-02-19,4.7619
2021-02-22,4.7619
2021-02-23,11.90476
2021-02-24,4.7619
2021-02-25,7.9365
2021-02-26,7.14285
2021-02-27,4.7619
2021-03-01,3.96825
2021-03-02,12.69841
2021-03-03,3.96825
2021-03-04,3.96825
2021-03-05,9.5238
2021-03-06,5.55555
2021-03-08,15.87301
2021-03-09,13.49206
2021-03-10,4.7619
