date,실시간다우선물지수
2020-03-20,30.63125
2020-03-21,7.19558
2020-03-22,4.73266
2020-03-23,41.66264
2020-03-24,29.24456
2020-03-25,40.52431
2020-03-26,30.12073
2020-03-27,25.25008
2020-03-28,5.80889
2020-03-29,3.58744
2020-03-30,35.98482
2020-03-31,21.50396
2020-04-01,26.416
2020-04-02,26.88513
2020-04-03,20.93825
2020-04-04,3.55294
2020-04-05,2.11797
2020-04-06,17.26802
2020-04-07,21.2487
2020-04-08,22.5595
2020-04-09,18.86857
2020-04-10,9.98275
2020-04-11,1.50396
2020-04-12,1.47637
2020-04-13,17.57847
2020-04-14,11.86616
2020-04-15,11.05208
2020-04-16,14.12211
2020-04-17,12.2111
2020-04-18,2.23525
2020-04-19,1.02794
2020-04-20,14.64642
2020-04-21,16.7368
2020-04-22,15.92273
2020-04-23,13.32873
2020-04-24,11.70058
2020-04-25,1.54536
2020-04-26,0.82097
2020-04-27,9.47223
2020-04-28,9.6378
2020-04-29,7.37495
2020-04-30,5.39496
2020-05-01,8.82373
2020-05-02,1.94549
2020-05-03,0.97964
2020-05-04,11.51431
2020-05-05,9.43083
2020-05-06,11.76957
2020-05-07,11.18316
2020-05-08,7.76819
2020-05-09,1.15212
2020-05-10,0.6071
2020-05-11,9.60331
2020-05-12,9.87926
2020-05-13,11.10037
2020-05-14,13.35632
2020-05-15,9.34805
2020-05-16,1.19351
2020-05-17,0.72438
2020-05-18,9.81027
2020-05-19,11.02449
2020-05-20,9.88616
2020-05-21,9.49292
2020-05-22,10.48637
2020-05-23,1.41428
2020-05-24,0.53811
2020-05-25,8.16143
2020-05-26,8.43739
2020-05-27,9.09279
2020-05-28,10.20351
2020-05-29,7.86478
2020-05-30,1.09003
2020-05-31,0.57261
2020-06-01,10.19661
2020-06-02,7.15419
2020-06-03,6.57468
2020-06-04,7.0507
2020-06-05,5.80889
2020-06-06,0.88306
2020-06-07,0.65539
2020-06-08,7.38185
2020-06-09,7.58192
2020-06-10,7.31286
2020-06-11,10.52776
2020-06-12,17.79924
2020-06-13,2.22835
2020-06-14,0.79337
2020-06-15,23.04242
2020-06-16,17.02656
2020-06-17,13.25974
2020-06-18,12.8872
2020-06-19,9.61021
2020-06-20,1.73163
2020-06-21,0.77957
2020-06-22,10.72783
2020-06-23,12.14901
2020-06-24,12.26629
2020-06-25,19.47568
2020-06-26,12.18351
2020-06-27,2.91824
2020-06-28,1.2832
2020-06-29,19.10313
2020-06-30,13.4874
2020-07-01,13.515
2020-07-02,11.51431
2020-07-03,9.16177
2020-07-04,1.77302
2020-07-05,0.85546
2020-07-06,10.2932
2020-07-07,12.12142
2020-07-08,11.39013
2020-07-09,9.09968
2020-07-10,9.82407
2020-07-11,1.41428
2020-07-12,0.5933
2020-07-13,8.52707
2020-07-14,11.65229
2020-07-15,9.81717
2020-07-16,11.14867
2020-07-17,8.78923
2020-07-18,1.51776
2020-07-19,0.6278
2020-07-20,8.63056
2020-07-21,6.94032
2020-07-22,8.06484
2020-07-23,7.81648
2020-07-24,9.49982
2020-07-25,1.38668
2020-07-26,0.53811
2020-07-27,8.13383
2020-07-28,7.38875
2020-07-29,7.45084
2020-07-30,9.25146
2020-07-31,7.7199
2020-08-01,1.41428
2020-08-02,0.24146
2020-08-03,6.89893
2020-08-04,6.86443
2020-08-05,7.0852
2020-08-06,7.41635
2020-08-07,6.46429
2020-08-08,1.42117
2020-08-09,0.44843
2020-08-10,6.38151
2020-08-11,7.40255
2020-08-12,8.03035
2020-08-13,6.79544
2020-08-14,6.64367
2020-08-15,0.97964
2020-08-16,0.51052
2020-08-17,5.62952
2020-08-18,8.9962
2020-08-19,6.53328
2020-08-20,9.61021
2020-08-21,6.00206
2020-08-22,0.87616
2020-08-23,0.42083
2020-08-24,5.49844
2020-08-25,6.90582
2020-08-26,7.09899
2020-08-27,6.91962
2020-08-28,5.64332
2020-08-29,0.77268
2020-08-30,0.27595
2020-08-31,6.84373
2020-09-01,6.78854
2020-09-02,6.11935
2020-09-03,7.38875
2020-09-04,15.4467
2020-09-05,2.86995
2020-09-06,0.66229
2020-09-07,9.42393
2020-09-08,15.87443
2020-09-09,16.36426
2020-09-10,13.41152
2020-09-11,11.31424
2020-09-12,1.84891
2020-09-13,0.64849
2020-09-14,9.45153
2020-09-15,8.78923
2020-09-16,9.13418
2020-09-17,13.70127
2020-09-18,9.36184
2020-09-19,1.62124
2020-09-20,0.55191
2020-09-21,17.14384
2020-09-22,22.12487
2020-09-23,14.96378
2020-09-24,25.37426
2020-09-25,13.515
2020-09-26,1.35219
2020-09-27,0.70369
2020-09-28,8.12004
2020-09-29,6.02276
2020-09-30,5.29837
2020-10-01,4.79475
2020-10-02,20.77268
2020-10-03,3.96688
2020-10-04,1.60745
2020-10-05,9.43773
2020-10-06,9.51362
2020-10-07,10.15522
2020-10-08,5.7537
2020-10-09,3.97378
2020-10-10,1.02794
2020-10-11,0.44153
2020-10-12,6.86443
2020-10-13,7.90617
2020-10-14,7.92687
2020-10-15,12.34908
2020-10-16,8.85132
2020-10-17,1.14522
2020-10-18,0.6416
2020-10-19,8.03725
2020-10-20,10.18282
2020-10-21,11.79027
2020-10-22,12.43187
2020-10-23,8.327
2020-10-24,1.33149
2020-10-25,0.64849
2020-10-26,10.87271
2020-10-27,13.25284
2020-10-28,17.406
2020-10-29,21.30389
2020-10-30,19.02725
2020-10-31,3.23559
2020-11-01,1.2694
2020-11-02,16.30217
2020-11-03,12.79751
2020-11-04,20.31735
2020-11-05,17.04035
2020-11-06,13.63918
2020-11-07,2.15936
2020-11-08,0.96585
2020-11-09,18.34425
2020-11-10,19.64815
2020-11-11,15.25353
2020-11-12,15.72956
2020-11-13,11.5764
2020-11-14,2.07657
2020-11-15,0.77268
2020-11-16,13.45291
2020-11-17,14.12211
2020-11-18,13.30803
2020-11-19,14.62573
2020-11-20,10.63125
2020-11-21,1.71783
2020-11-22,0.92445
2020-11-23,9.33425
2020-11-24,10.74853
2020-11-25,12.80441
2020-11-26,10.18282
2020-11-27,8.17523
2020-11-28,1.53156
2020-11-29,0.5933
2020-11-30,11.62469
2020-12-01,10.72783
2020-12-02,10.50017
2020-12-03,9.12728
2020-12-04,7.44394
2020-12-05,1.37978
2020-12-06,0.87616
2020-12-07,9.09279
2020-12-08,10.9624
2020-12-09,9.26526
2020-12-10,11.46602
2020-12-11,10.41048
2020-12-12,1.95929
2020-12-13,0.614
2020-12-14,10.58295
2020-12-15,11.14177
2020-12-16,9.12728
2020-12-17,8.74784
2020-12-18,7.11279
2020-12-19,1.2625
2020-12-20,0.6002
2020-12-21,17.59227
2020-12-22,16.31597
2020-12-23,11.54191
2020-12-24,7.44394
2020-12-25,1.61434
2020-12-26,0.34494
2020-12-27,0.48292
2020-12-28,7.55432
2020-12-29,7.93377
2020-12-30,5.58813
