date,파이코인상장
2020-11-07,0.94837
2020-11-08,0.96993
2020-11-09,1.31479
2020-11-10,1.25013
2020-11-11,1.43334
2020-11-12,1.43334
2020-11-13,1.50878
2020-11-14,1.34712
2020-11-15,1.36868
2020-11-16,1.6381
2020-11-17,5.39928
2020-11-18,6.81107
2020-11-19,3.71807
2020-11-20,3.49175
2020-11-21,3.48097
2020-11-22,3.01756
2020-11-23,3.82584
2020-11-24,3.90128
2020-11-25,3.2331
2020-11-26,2.92057
2020-11-27,2.45716
2020-11-28,2.93135
2020-11-29,2.93135
2020-11-30,3.18999
2020-12-01,3.20077
2020-12-02,3.17922
2020-12-03,3.3301
2020-12-04,3.12533
2020-12-05,3.15766
2020-12-06,3.59952
2020-12-07,3.8905
2020-12-08,4.22459
2020-12-09,4.37547
2020-12-10,3.093
2020-12-11,2.88824
2020-12-12,2.60803
2020-12-13,3.83662
2020-12-14,3.12533
2020-12-15,2.8128
2020-12-16,2.80202
2020-12-17,4.1707
2020-12-18,3.17922
2020-12-19,2.7158
2020-12-20,2.96368
2020-12-21,2.70503
2020-12-22,3.20077
2020-12-23,2.66192
2020-12-24,2.25239
2020-12-25,1.96141
2020-12-26,2.38172
2020-12-27,2.99601
2020-12-28,3.68574
2020-12-29,3.24388
2020-12-30,3.4702
2020-12-31,3.08222
2021-01-01,2.99601
2021-01-02,4.09526
2021-01-03,5.83036
2021-01-04,6.21834
2021-01-05,5.18374
2021-01-06,6.50932
2021-01-07,6.72486
2021-01-08,7.70557
2021-01-09,11.59607
2021-01-10,8.61084
2021-01-11,7.83489
2021-01-12,7.28526
2021-01-13,8.16898
2021-01-14,7.78101
2021-01-15,6.97273
2021-01-16,5.87347
2021-01-17,7.14516
2021-01-18,8.26597
2021-01-19,8.30908
2021-01-20,8.50307
2021-01-21,8.60006
2021-01-22,8.6755
2021-01-23,10.24894
2021-01-24,9.39756
2021-01-25,11.81161
2021-01-26,10.04418
2021-01-27,9.66698
2021-01-28,8.82638
2021-01-29,8.6755
2021-01-30,8.5354
2021-01-31,8.98803
2021-02-01,9.77476
2021-02-02,10.971
2021-02-03,10.93867
2021-02-04,10.11962
2021-02-05,8.97726
2021-02-06,8.79405
2021-02-07,8.97726
2021-02-08,11.40209
2021-02-09,14.57053
2021-02-10,11.82239
