date,다우나스닥
2020-11-07,15.08929
2020-11-08,1.8847
2020-11-09,11.93066
2020-11-10,29.64923
2020-11-11,25.58897
2020-11-12,23.56465
2020-11-13,20.86556
2020-11-14,12.79157
2020-11-15,2.19882
2020-11-16,8.32994
2020-11-17,22.15112
2020-11-18,22.22092
2020-11-19,21.83119
2020-11-20,19.56256
2020-11-21,13.47798
2020-11-22,2.12902
2020-11-23,5.20039
2020-11-24,18.37589
2020-11-25,18.75399
2020-11-26,18.5504
2020-11-27,13.38491
2020-11-28,10.24373
2020-11-29,1.90797
2020-11-30,5.01425
2020-12-01,18.16648
2020-12-02,16.86347
2020-12-03,17.18922
2020-12-04,15.46739
2020-12-05,10.43569
2020-12-06,1.76255
2020-12-07,4.98516
2020-12-08,17.01471
2020-12-09,18.01524
2020-12-10,19.29497
2020-12-11,17.86981
2020-12-12,12.58798
2020-12-13,1.93706
2020-12-14,4.26385
2020-12-15,17.63713
2020-12-16,16.62497
2020-12-17,17.30556
2020-12-18,14.89151
2020-12-19,11.16281
2020-12-20,1.73346
2020-12-21,7.16654
2020-12-22,22.55249
2020-12-23,19.73707
2020-12-24,15.82223
2020-12-25,9.28392
2020-12-26,2.32098
2020-12-27,1.41934
2020-12-28,3.30405
2020-12-29,13.36164
2020-12-30,13.78046
2020-12-31,8.76039
2021-01-01,4.79902
2021-01-02,1.44843
2021-01-03,0.94817
2021-01-04,3.46693
2021-01-05,20.88302
2021-01-06,18.05595
2021-01-07,21.48217
2021-01-08,17.36955
2021-01-09,12.72759
2021-01-10,2.04176
2021-01-11,6.99203
2021-01-12,23.22727
2021-01-13,19.98138
2021-01-14,18.33517
2021-01-15,18.91105
2021-01-16,14.19929
2021-01-17,2.14647
2021-01-18,4.21732
2021-01-19,13.5536
2021-01-20,14.67628
2021-01-21,16.23523
2021-01-22,16.82275
2021-01-23,11.85504
2021-01-24,1.96032
2021-01-25,4.06026
2021-01-26,18.83543
2021-01-27,19.167
2021-01-28,29.71903
2021-01-29,28.09027
2021-01-30,21.1506
2021-01-31,2.40241
2021-02-01,4.91536
2021-02-02,19.61491
2021-02-03,19.4404
2021-02-04,20.65615
2021-02-05,18.53877
2021-02-06,11.72124
2021-02-07,2.04758
2021-02-08,3.92647
2021-02-09,15.93857
2021-02-10,15.29288
2021-02-11,10.74399
2021-02-12,9.05706
2021-02-13,8.32412
2021-02-14,2.29771
2021-02-15,3.46693
2021-02-16,11.31987
2021-02-17,16.22942
2021-02-18,19.48112
2021-02-19,19.49275
2021-02-20,12.30876
2021-02-21,2.24536
2021-02-22,4.4151
2021-02-23,24.1289
2021-02-24,27.54348
2021-02-25,26.92688
2021-02-26,33.98871
2021-02-27,22.36053
2021-02-28,3.19934
2021-03-01,6.31144
2021-03-02,21.79628
2021-03-03,24.65243
2021-03-04,30.20766
2021-03-05,33.00564
2021-03-06,22.34308
2021-03-07,2.87359
2021-03-08,6.32889
2021-03-09,31.81897
2021-03-10,28.17171
2021-03-11,27.36315
2021-03-12,23.2738
2021-03-13,18.5155
2021-03-14,2.57111
2021-03-15,5.9915
2021-03-16,21.00517
2021-03-17,23.0353
2021-03-18,26.21138
2021-03-19,26.10668
2021-03-20,17.24157
2021-03-21,2.84451
2021-03-22,6.01477
2021-03-23,20.20824
2021-03-24,22.86661
2021-03-25,26.39753
2021-03-26,22.93642
2021-03-27,14.56576
2021-03-28,2.35006
2021-03-29,6.62555
2021-03-30,22.25583
2021-03-31,21.57524
2021-04-01,21.77883
2021-04-02,17.84073
2021-04-03,9.89471
2021-04-04,2.1232
2021-04-05,5.31673
2021-04-06,17.70112
2021-04-07,17.59059
2021-04-08,16.47955
2021-04-09,14.96131
2021-04-10,9.38863
2021-04-11,1.80908
2021-04-12,4.17078
2021-04-13,15.71752
2021-04-14,16.08399
2021-04-15,16.20033
2021-04-16,14.92641
2021-04-17,9.30719
2021-04-18,1.66947
2021-04-19,4.81647
2021-04-20,16.10726
2021-04-21,17.90471
2021-04-22,17.59641
2021-04-23,17.88144
2021-04-24,10.58111
2021-04-25,1.62875
2021-04-26,4.49072
2021-04-27,14.93804
2021-04-28,16.76458
2021-04-29,16.72968
2021-04-30,14.89732
2021-05-01,9.47588
2021-05-02,1.67529
2021-05-03,4.08353
2021-05-04,13.48961
2021-05-05,15.6768
2021-05-06,15.43249
2021-05-07,14.67628
2021-05-08,8.73131
2021-05-09,1.6113
2021-05-10,5.42725
2021-05-11,20.27805
2021-05-12,22.70955
2021-05-13,28.60217
2021-05-14,22.13367
2021-05-15,12.49491
2021-05-16,1.8847
2021-05-17,5.85189
2021-05-18,17.19504
2021-05-19,17.29974
2021-05-20,21.48217
2021-05-21,17.87563
2021-05-22,11.55837
2021-05-23,2.18137
2021-05-24,6.13693
2021-05-25,17.17759
2021-05-26,18.88197
2021-05-27,18.40497
2021-05-28,16.45046
2021-05-29,10.12739
2021-05-30,2.00104
2021-05-31,4.46163
2021-06-01,11.44203
2021-06-02,16.99726
2021-06-03,18.39916
2021-06-04,18.17811
2021-06-05,10.28445
2021-06-06,1.75091
2021-06-07,5.17131
2021-06-08,17.85818
2021-06-09,17.63713
2021-06-10,17.78837
2021-06-11,15.64772
2021-06-12,9.53987
2021-06-13,1.77418
2021-06-14,5.04333
2021-06-15,15.23471
2021-06-16,16.63661
2021-06-17,18.16648
2021-06-18,16.63079
2021-06-19,11.97719
2021-06-20,2.07085
2021-06-21,6.18346
2021-06-22,18.63765
2021-06-23,16.66569
2021-06-24,16.26432
2021-06-25,14.86242
2021-06-26,9.66784
2021-06-27,2.16973
2021-06-28,5.02006
2021-06-29,14.32726
2021-06-30,14.63556
2021-07-01,14.50759
2021-07-02,13.18131
2021-07-03,9.16758
2021-07-04,1.59385
2021-07-05,3.973
2021-07-06,10.49386
2021-07-07,15.19399
2021-07-08,17.3521
2021-07-09,19.26589
2021-07-10,11.56419
2021-07-11,1.65784
2021-07-12,5.17131
2021-07-13,16.1538
2021-07-14,16.71805
2021-07-15,17.1834
2021-07-16,17.46844
2021-07-17,10.76726
2021-07-18,1.48915
2021-07-19,8.60915
2021-07-20,23.77988
2021-07-21,19.11465
2021-07-22,16.47373
2021-07-23,15.51393
2021-07-24,9.91798
2021-07-25,1.79163
2021-07-26,5.31673
2021-07-27,15.79896
2021-07-28,19.49275
2021-07-29,16.497
2021-07-30,15.46739
2021-07-31,10.24373
2021-08-01,1.66947
2021-08-02,4.93281
2021-08-03,15.27543
2021-08-04,15.32197
2021-08-05,16.48537
2021-08-06,12.44255
2021-08-07,8.6615
2021-08-08,1.70438
2021-08-09,5.08405
2021-08-10,13.92007
2021-08-11,15.90367
