date,비트코인전망
2020-11-07,4.33315
2020-11-08,4.50053
2020-11-09,3.97715
2020-11-10,3.27842
2020-11-11,3.36609
2020-11-12,3.57066
2020-11-13,4.9814
2020-11-14,2.95164
2020-11-15,2.5425
2020-11-16,3.2306
2020-11-17,4.85919
2020-11-18,10.44102
2020-11-19,5.88735
2020-11-20,5.07173
2020-11-21,5.75982
2020-11-22,5.15674
2020-11-23,4.8645
2020-11-24,6.96333
2020-11-25,6.09192
2020-11-26,8.54675
2020-11-27,6.71094
2020-11-28,4.47662
2020-11-29,3.63974
2020-11-30,4.73432
2020-12-01,5.64293
2020-12-02,4.58023
2020-12-03,4.00371
2020-12-04,3.84165
2020-12-05,3.39001
2020-12-06,2.91445
2020-12-07,3.18278
2020-12-08,3.49362
2020-12-09,5.64824
2020-12-10,3.73804
2020-12-11,3.65568
2020-12-12,2.80286
2020-12-13,2.94102
2020-12-14,3.19341
2020-12-15,3.33421
2020-12-16,3.95855
2020-12-17,9.20828
2020-12-18,6.38682
2020-12-19,4.69713
2020-12-20,6.24601
2020-12-21,6.74548
2020-12-22,5.68809
2020-12-23,5.92986
2020-12-24,5.10892
2020-12-25,4.34643
2020-12-26,5.58979
2020-12-27,15.36663
2020-12-28,8.18278
2020-12-29,6.41073
2020-12-30,7.43623
2020-12-31,8.62911
2021-01-01,7.19978
2021-01-02,9.1339
2021-01-03,24.65462
2021-01-04,16.31243
2021-01-05,10.15674
2021-01-06,10.62964
2021-01-07,16.60201
2021-01-08,21.66843
2021-01-09,16.48777
2021-01-10,15.74123
2021-01-11,25.48618
2021-01-12,16.90754
2021-01-13,10.98831
2021-01-14,11.02816
2021-01-15,10.58979
2021-01-16,8.59192
2021-01-17,9.05419
2021-01-18,8.03666
2021-01-19,7.41764
2021-01-20,8.61583
2021-01-21,11.81455
2021-01-22,15.95377
2021-01-23,7.84006
2021-01-24,6.57545
2021-01-25,7.4442
2021-01-26,7.63549
2021-01-27,7.84006
2021-01-28,6.37088
2021-01-29,7.70191
2021-01-30,5.47555
2021-01-31,5.00265
2021-02-01,6.30977
2021-02-02,5.21785
2021-02-03,5.41445
2021-02-04,6.78267
2021-02-05,4.71307
2021-02-06,6.5781
2021-02-07,5.44633
2021-02-08,6.51434
2021-02-09,13.70616
2021-02-10,7.57704
2021-02-11,6.66843
2021-02-12,8.78055
2021-02-13,8.66099
2021-02-14,9.3119
2021-02-15,9.96811
2021-02-16,9.71572
2021-02-17,12.52391
2021-02-18,13.89213
2021-02-19,11.68172
2021-02-20,20.13018
2021-02-21,15.06376
2021-02-22,20.55526
2021-02-23,26.09989
2021-02-24,13.60255
2021-02-25,10.24707
2021-02-26,12.4814
2021-02-27,8.7221
2021-02-28,13.64505
2021-03-01,11.52231
2021-03-02,9.00371
2021-03-03,9.05685
2021-03-04,8.71147
2021-03-05,8.49893
2021-03-06,6.47183
2021-03-07,6.66312
2021-03-08,6.82252
2021-03-09,9.01434
2021-03-10,9.18172
2021-03-11,9.1764
2021-03-12,8.3289
2021-03-13,9.34909
2021-03-14,12.42561
2021-03-15,14.13655
2021-03-16,14.13124
2021-03-17,12.49734
2021-03-18,11.64984
2021-03-19,10.0
2021-03-20,10.51275
2021-03-21,13.18278
2021-03-22,10.83156
2021-03-23,14.57492
2021-03-24,10.48618
2021-03-25,15.62964
2021-03-26,10.44899
2021-03-27,8.10573
2021-03-28,7.8746
2021-03-29,9.24017
2021-03-30,10.40382
2021-03-31,12.43623
2021-04-01,14.39957
2021-04-02,17.61424
2021-04-03,16.82784
2021-04-04,16.37353
2021-04-05,19.60945
2021-04-06,21.78267
2021-04-07,28.7832
2021-04-08,19.36769
2021-04-09,14.97343
2021-04-10,13.04994
2021-04-11,13.66631
2021-04-12,14.35441
2021-04-13,14.99734
2021-04-14,16.26195
2021-04-15,12.84803
2021-04-16,12.94633
2021-04-17,12.10414
2021-04-18,24.18172
2021-04-19,19.92826
2021-04-20,33.80712
2021-04-21,18.43517
2021-04-22,33.21466
2021-04-23,100.0
2021-04-24,48.45642
2021-04-25,35.15143
2021-04-26,25.28958
2021-04-27,17.856
2021-04-28,18.16153
2021-04-29,14.34643
2021-04-30,11.87035
2021-05-01,11.86238
2021-05-02,11.15037
2021-05-03,10.49415
2021-05-04,10.3746
2021-05-05,10.26301
2021-05-06,9.22157
2021-05-07,9.90967
2021-05-08,7.61424
2021-05-09,7.68331
2021-05-10,7.38575
2021-05-11,9.52709
2021-05-12,6.94473
2021-05-13,17.72316
2021-05-14,11.21147
2021-05-15,11.43464
2021-05-16,13.60255
2021-05-17,48.86822
2021-05-18,27.71785
2021-05-19,72.61424
2021-05-20,41.74548
2021-05-21,23.67693
2021-05-22,46.83049
2021-05-23,61.35759
2021-05-24,62.22901
2021-05-25,30.37991
2021-05-26,17.60095
2021-05-27,15.73857
2021-05-28,19.09139
2021-05-29,19.22954
2021-05-30,20.50478
2021-05-31,17.52125
2021-06-01,12.96758
2021-06-02,11.13974
2021-06-03,10.82359
2021-06-04,12.66471
2021-06-05,9.21891
2021-06-06,9.49521
2021-06-07,10.54994
2021-06-08,26.91817
2021-06-09,19.55897
2021-06-10,14.30127
2021-06-11,10.60573
2021-06-12,12.87725
2021-06-13,8.91604
2021-06-14,12.6408
2021-06-15,9.65196
2021-06-16,10.01062
2021-06-17,9.4527
2021-06-18,10.09298
2021-06-19,10.75982
2021-06-20,14.3119
2021-06-21,25.34803
2021-06-22,40.16737
2021-06-23,19.96546
2021-06-24,12.11477
2021-06-25,10.99628
2021-06-26,11.96333
2021-06-27,9.08607
2021-06-28,10.2577
2021-06-29,12.13868
2021-06-30,9.77948
2021-07-01,8.44314
2021-07-02,7.74707
2021-07-03,6.49309
2021-07-04,7.15993
2021-07-05,8.5069
2021-07-06,6.42401
2021-07-07,5.84218
2021-07-08,7.4814
2021-07-09,7.0085
2021-07-10,4.64399
2021-07-11,4.76886
2021-07-12,5.82624
2021-07-13,7.07226
2021-07-14,8.59723
2021-07-15,7.18119
2021-07-16,9.17906
