date,주식공부책
2020-03-20,25.12953
2020-03-21,14.76683
2020-03-22,17.09844
2020-03-23,20.72538
2020-03-24,22.53886
2020-03-25,26.42487
2020-03-26,30.82901
2020-03-27,34.71502
2020-03-28,27.20207
2020-03-29,31.86528
2020-03-30,29.01554
2020-03-31,29.27461
2020-04-01,22.53886
2020-04-02,29.27461
2020-04-03,31.34715
2020-04-04,21.24352
2020-04-05,28.23834
2020-04-06,26.68393
2020-04-07,30.05181
2020-04-08,26.68393
2020-04-09,31.08808
2020-04-10,29.01554
2020-04-11,26.943
2020-04-12,21.24352
2020-04-13,26.68393
2020-04-14,24.09326
2020-04-15,25.12953
2020-04-16,26.42487
2020-04-17,23.05699
2020-04-18,23.31606
2020-04-19,26.1658
2020-04-20,25.64766
2020-04-21,27.46113
2020-04-22,38.34196
2020-04-23,34.45595
2020-04-24,29.79274
2020-04-25,22.79792
2020-04-26,21.50259
2020-04-27,24.87046
2020-04-28,17.87564
2020-04-29,28.75647
2020-04-30,16.83937
2020-05-01,12.6943
2020-05-02,14.50777
2020-05-03,18.13471
2020-05-04,18.65284
2020-05-05,23.05699
2020-05-06,15.54404
2020-05-07,15.8031
2020-05-08,18.13471
2020-05-09,17.09844
2020-05-10,20.46632
2020-05-11,16.58031
2020-05-12,25.90673
2020-05-13,28.23834
2020-05-14,21.50259
2020-05-15,22.79792
2020-05-16,18.39378
2020-05-17,13.98963
2020-05-18,21.24352
2020-05-19,15.8031
2020-05-20,23.83419
2020-05-21,23.57512
2020-05-22,18.91191
2020-05-23,23.57512
2020-05-24,20.46632
2020-05-25,27.97927
2020-05-26,30.05181
2020-05-27,27.20207
2020-05-28,18.39378
2020-05-29,22.53886
2020-05-30,16.58031
2020-05-31,22.79792
2020-06-01,27.20207
2020-06-02,26.68393
2020-06-03,36.01036
2020-06-04,27.97927
2020-06-05,29.53367
2020-06-06,23.83419
2020-06-07,29.01554
2020-06-08,27.7202
2020-06-09,30.31088
2020-06-10,31.08808
2020-06-11,28.4974
2020-06-12,24.61139
2020-06-13,16.58031
2020-06-14,25.90673
2020-06-15,17.35751
2020-06-16,29.27461
2020-06-17,22.02072
2020-06-18,23.05699
2020-06-19,26.1658
2020-06-20,14.76683
2020-06-21,19.43005
2020-06-22,20.46632
2020-06-23,19.43005
2020-06-24,19.94818
2020-06-25,18.65284
2020-06-26,15.28497
2020-06-27,16.06217
2020-06-28,20.20725
2020-06-29,17.87564
2020-06-30,19.68911
2020-07-01,12.43523
2020-07-02,18.39378
2020-07-03,16.83937
2020-07-04,13.21243
2020-07-05,26.42487
2020-07-06,28.23834
2020-07-07,33.67875
2020-07-08,31.60621
2020-07-09,25.12953
2020-07-10,18.39378
2020-07-11,20.46632
2020-07-12,22.53886
2020-07-13,33.16062
2020-07-14,32.38341
2020-07-15,20.98445
2020-07-16,20.46632
2020-07-17,17.61658
2020-07-18,11.65803
2020-07-19,17.09844
2020-07-20,14.50777
2020-07-21,22.79792
2020-07-22,25.90673
2020-07-23,29.79274
2020-07-24,21.50259
2020-07-25,18.13471
2020-07-26,18.39378
2020-07-27,22.27979
2020-07-28,20.98445
2020-07-29,17.09844
2020-07-30,17.09844
2020-07-31,20.20725
2020-08-01,15.0259
2020-08-02,19.17098
2020-08-03,18.65284
2020-08-04,21.50259
2020-08-05,28.23834
2020-08-06,26.68393
2020-08-07,20.46632
2020-08-08,27.7202
2020-08-09,31.86528
2020-08-10,43.52331
2020-08-11,37.30569
2020-08-12,35.75129
2020-08-13,32.64248
2020-08-14,27.46113
2020-08-15,20.20725
2020-08-16,14.50777
2020-08-17,25.12953
2020-08-18,24.35233
2020-08-19,25.3886
2020-08-20,24.35233
2020-08-21,21.76165
2020-08-22,18.91191
2020-08-23,26.1658
2020-08-24,33.41968
2020-08-25,31.60621
2020-08-26,27.7202
2020-08-27,38.0829
2020-08-28,32.38341
2020-08-29,23.57512
2020-08-30,34.19689
2020-08-31,39.37823
2020-09-01,42.74611
2020-09-02,40.4145
2020-09-03,31.34715
2020-09-04,32.38341
2020-09-05,24.35233
2020-09-06,27.20207
2020-09-07,35.75129
2020-09-08,31.08808
2020-09-09,36.26943
2020-09-10,32.64248
2020-09-11,30.56994
2020-09-12,26.943
2020-09-13,24.35233
2020-09-14,28.75647
2020-09-15,43.26424
2020-09-16,32.38341
2020-09-17,27.7202
2020-09-18,20.72538
2020-09-19,18.65284
2020-09-20,22.79792
